indicator,horizon,family,n_tickers,ic_mean,ic_std,ic_t_cross,frac_same_sign,ic_daily_t_mean,ic_train_mean,ic_test_mean,hit_rate_oos_mean,auc_oos_mean,z_combined,p_combined,q_value,q_value_by
range_atr_14,15,volatilite,2,1.7895356602884568e-05,0.001517061671085032,0.016682153727607927,0.5,-0.047449570122168855,-0.00573311948781752,0.007559074992520328,0.49756795569285867,0.498784264235484,-0.059330514039039314,0.9526888572276762,1.0,1.0
session_asia,5,calendrier,2,-4.76800434953402e-05,0.0005481871702325112,-0.12300500235539832,0.5,0.14738788547680465,-0.001575608319921013,0.0008222738793215156,0.498332704350524,0.5020232581192174,0.02423808801257562,0.9806626972055213,1.0,1.0
ls_ratio_accounts_log,10,derives,2,-0.00019779730540054902,0.0033263627151307092,-0.08409414602499764,0.5,2.5758231020008964,0.012188369606909232,-0.0027013545545269335,0.4965207087961886,0.4980969243157911,0.11285456592730668,0.9101458572678375,0.9764091530860527,1.0
roll_spread_60,15,microstructure,2,0.0002450752279506991,0.008041329172946468,0.04310092320752006,0.5,-0.3963840105759427,0.026280673874603526,-0.03647981944192517,0.489154754565118,0.4868718603471492,-0.24012385125853453,0.8102342444203842,0.9267747864260559,1.0
ls_ratio_top_z_1440,10,derives,2,-0.0002834077950156855,0.017175922980753117,-0.02333494088454876,0.5,0.9897708488125994,0.007778451441131335,-0.016030229808783443,0.49940008598831276,0.49742783565656157,0.5953984066364122,0.5515771903472313,0.7140572929301366,1.0
ls_ratio_accounts_log,5,derives,2,-0.00035901483929284486,0.00024454692065921445,-2.0761809367809247,1.0,2.176390070331964,0.0056276993136581775,-0.0005730907677708769,0.49923424227892976,0.5021050006406687,0.0,1.0,1.0,1.0
atr_pct_14,5,volatilite,2,-0.0005020337943581971,0.0009945460405723326,-0.7138764539672925,0.5,-0.4742231039872757,-0.006031566248283122,0.0031432310111019464,0.4993635104128403,0.5004308129888693,0.0,1.0,1.0,1.0
session_asia,10,calendrier,2,-0.0005580638349356044,0.0007862860843365319,-1.0037331955350792,1.0,0.09686287237816822,-0.001655001316689159,-0.0011183281203789846,0.4912415316252777,0.49649726848192877,0.0,1.0,1.0,1.0
ls_ratio_top_z_1440,15,derives,2,-0.000592969868951564,0.019098678061441908,-0.04390806672860306,0.5,0.932230603555813,0.009142420531194047,-0.019076780174531946,0.49920036371416343,0.49438283695109947,0.5167356158196642,0.6053407301080744,0.7589719635630574,1.0
bb_width_rel_20,10,volatilite,2,0.0005989584054233383,0.008073912288434286,0.10491259627138096,0.5,-0.1041498368564514,-0.008204841065423941,0.012020375152957188,0.4955740406211969,0.49388997637494364,0.06523188026013202,0.9479893783985888,1.0,1.0
rv_ratio_15_240,15,volatilite,2,-0.0007321610193682911,0.0002609785296558499,-3.967498954021094,1.0,-0.11363741792576976,-0.0010211703463935094,-0.0006370768840591669,0.49546832859505624,0.493354294360132,-0.06690342070800667,0.946658589811219,1.0,1.0
vr_5_240,15,statistique,2,-0.0007848724190446523,0.0020434807811533437,-0.5431796716576183,0.5,-0.16071933658298093,0.001167251067402003,-0.0073439501639274915,0.5049083301521189,0.5032105956355567,-0.0688708447364945,0.9450924259282663,1.0,1.0
rv_60,5,volatilite,2,0.0008483591636002818,9.977465854427775e-05,12.024706999068176,1.0,-0.20021986489182825,-0.006716053645915841,0.006019739881703234,0.49615655611735243,0.4984992880259065,0.05831346624041779,0.953498941259854,1.0,1.0
rel_volume_1440,5,volume,2,0.0008488189155467264,0.007785980090640083,0.15417599433731893,0.5,-0.2736811038075834,-0.0065838287598228825,0.00931391153163761,0.4968996617812852,0.49984161975473523,0.060887066940509466,0.9514491494220871,1.0,1.0
trades_rel_60,5,flux,2,0.000913778188101884,0.0026100516969611858,0.49511567457417116,0.5,0.11015362522490461,0.0010354003816581113,0.0005962252108732665,0.4992696599278671,0.4989661709579982,0.15578075073762318,0.8762058440585607,0.9647015913461761,1.0
ls_ratio_accounts_log,15,derives,2,-0.0009553828688894559,0.00870126215925833,-0.1552780947997032,0.5,2.615774646106234,0.010482983659526279,0.0013610812419404849,0.4960255058377651,0.5002144057415373,0.2237666951405464,0.8229388462768277,0.9384556805676116,1.0
session_asia,15,calendrier,2,-0.0010594216443111802,0.000175330366585331,-8.54528788615347,1.0,-0.008362990865082534,0.0013770482472174495,-0.006868144804328478,0.4890751796840354,0.49741229225414607,-0.04081284379844044,0.9674451000204503,1.0,1.0
garman_klass_15,5,volatilite,2,-0.0011012547388563477,0.002126906012312958,-0.7322417531861898,0.5,-0.3120548118511071,-0.007511108802327375,0.004653562457104286,0.4985024210364407,0.4997711941407689,0.0,1.0,1.0,1.0
bb_width_20_2,10,volatilite,2,-0.001153628437352088,0.003559992880700952,-0.458280967607264,0.5,-0.45291135523846326,-0.012464255019735904,0.010128809912965045,0.49407894178009815,0.49518909321723603,-0.12754953883609257,0.8985054670058912,0.9704514761714523,1.0
roll_spread_60,5,microstructure,2,-0.0013377399497690196,0.003932424259691783,-0.48108999816818615,0.5,-0.5322691146329902,0.017562780513003584,-0.02659295859350444,0.48484245543654675,0.48260832327577197,-0.29564353039033503,0.7675023263901564,0.896897206981041,1.0
