name,family,description,needs_volume,needs_benchmark,needs_columns
sma_dist_5,tendance,"Écart logarithmique du close à sa moyenne mobile simple sur 5 barres, en unités de volatilité σ60.",False,False,
sma_dist_15,tendance,"Écart logarithmique du close à sa moyenne mobile simple sur 15 barres, en unités de volatilité σ60.",False,False,
sma_dist_30,tendance,"Écart logarithmique du close à sa moyenne mobile simple sur 30 barres, en unités de volatilité σ60.",False,False,
sma_dist_60,tendance,"Écart logarithmique du close à sa moyenne mobile simple sur 60 barres, en unités de volatilité σ60.",False,False,
sma_dist_240,tendance,"Écart logarithmique du close à sa moyenne mobile simple sur 240 barres, en unités de volatilité σ60.",False,False,
ema_dist_5,tendance,"Écart logarithmique du close à sa moyenne mobile exponentielle sur 5 barres, en unités de volatilité σ60.",False,False,
ema_dist_15,tendance,"Écart logarithmique du close à sa moyenne mobile exponentielle sur 15 barres, en unités de volatilité σ60.",False,False,
ema_dist_30,tendance,"Écart logarithmique du close à sa moyenne mobile exponentielle sur 30 barres, en unités de volatilité σ60.",False,False,
ema_dist_60,tendance,"Écart logarithmique du close à sa moyenne mobile exponentielle sur 60 barres, en unités de volatilité σ60.",False,False,
ema_dist_240,tendance,"Écart logarithmique du close à sa moyenne mobile exponentielle sur 240 barres, en unités de volatilité σ60.",False,False,
lin_slope_15,tendance,"Pente de la régression linéaire de ln(close) sur 15 barres, ramenée au mouvement attendu σ60·√15.",False,False,
lin_slope_60,tendance,"Pente de la régression linéaire de ln(close) sur 60 barres, ramenée au mouvement attendu σ60·√60.",False,False,
lin_slope_240,tendance,"Pente de la régression linéaire de ln(close) sur 240 barres, ramenée au mouvement attendu σ60·√240.",False,False,
macd_line_12_26,tendance,Ligne MACD (EMA 12 − EMA 26) rapportée à close·σ60.,False,False,
macd_signal_12_26_9,tendance,"Ligne de signal du MACD (12, 26) : EMA 9 de la ligne MACD, rapportée à close·σ60.",False,False,
macd_hist_12_26_9,tendance,"Histogramme du MACD (12, 26, 9) : ligne − signal, rapporté à close·σ60.",False,False,
macd_line_6_13,tendance,Ligne MACD (EMA 6 − EMA 13) rapportée à close·σ60.,False,False,
macd_signal_6_13_5,tendance,"Ligne de signal du MACD (6, 13) : EMA 5 de la ligne MACD, rapportée à close·σ60.",False,False,
macd_hist_6_13_5,tendance,"Histogramme du MACD (6, 13, 5) : ligne − signal, rapporté à close·σ60.",False,False,
adx_14,tendance,"ADX de Wilder sur 14 barres (force de la tendance, sans signe), dans [0, 1].",False,False,
di_diff_14,tendance,"Écart DI+ − DI− de Wilder sur 14 barres (sens de la tendance), dans [−1, 1].",False,False,
aroon_osc_25,tendance,"Oscillateur Aroon sur 25 barres (Aroon haut − Aroon bas), dans [−1, 1].",False,False,
ema_gap_5_20,tendance,Écart entre EMA 5 et EMA 20 rapporté à close·σ60.,False,False,
ema_gap_15_60,tendance,Écart entre EMA 15 et EMA 60 rapporté à close·σ60.,False,False,
ema_gap_60_240,tendance,Écart entre EMA 60 et EMA 240 rapporté à close·σ60.,False,False,
efficiency_ratio_10,tendance,"Efficiency ratio de Kaufman sur 10 barres : |déplacement net| / chemin parcouru, dans [0, 1].",False,False,
efficiency_ratio_30,tendance,"Efficiency ratio de Kaufman sur 30 barres : |déplacement net| / chemin parcouru, dans [0, 1].",False,False,
ichimoku_tenkan_dist,tendance,"Distance du close à la Tenkan-sen (milieu du range sur 9 barres), en ATR 14.",False,False,
ichimoku_kijun_dist,tendance,"Distance du close à la Kijun-sen (milieu du range sur 26 barres), en ATR 14.",False,False,
ichimoku_tk_diff,tendance,"Écart Tenkan-sen − Kijun-sen, en ATR 14.",False,False,
ichimoku_cloud_dist,tendance,"Distance du close au nuage Ichimoku (spans décalés de 26 barres vers le futur, donc connus), en ATR 14 ; 0 dans le nuage.",False,False,
supertrend_dist,tendance,"Distance signée du close à la ligne Supertrend (ATR 10 × 3), en ATR 10 : positive en tendance haussière.",False,False,
supertrend_dir,tendance,"Direction du Supertrend (ATR 10 × 3) : +1 haussier, −1 baissier.",False,False,
ret_1,momentum,Rendement logarithmique des 1 dernières barres : ln(C_t / C_t−1).,False,False,
ret_5,momentum,Rendement logarithmique des 5 dernières barres : ln(C_t / C_t−5).,False,False,
ret_10,momentum,Rendement logarithmique des 10 dernières barres : ln(C_t / C_t−10).,False,False,
ret_15,momentum,Rendement logarithmique des 15 dernières barres : ln(C_t / C_t−15).,False,False,
ret_30,momentum,Rendement logarithmique des 30 dernières barres : ln(C_t / C_t−30).,False,False,
ret_60,momentum,Rendement logarithmique des 60 dernières barres : ln(C_t / C_t−60).,False,False,
ret_240,momentum,Rendement logarithmique des 240 dernières barres : ln(C_t / C_t−240).,False,False,
ret_vol_1,momentum,Rendement logarithmique sur 1 barres en unités de volatilité (σ60·√1).,False,False,
ret_vol_5,momentum,Rendement logarithmique sur 5 barres en unités de volatilité (σ60·√5).,False,False,
ret_vol_10,momentum,Rendement logarithmique sur 10 barres en unités de volatilité (σ60·√10).,False,False,
ret_vol_15,momentum,Rendement logarithmique sur 15 barres en unités de volatilité (σ60·√15).,False,False,
ret_vol_30,momentum,Rendement logarithmique sur 30 barres en unités de volatilité (σ60·√30).,False,False,
ret_vol_60,momentum,Rendement logarithmique sur 60 barres en unités de volatilité (σ60·√60).,False,False,
ret_vol_240,momentum,Rendement logarithmique sur 240 barres en unités de volatilité (σ60·√240).,False,False,
ret_skip_5,momentum,"Rendement de t−5 à t−1 (sans la dernière barre), en unités de volatilité σ60·√4.",False,False,
ret_skip_15,momentum,"Rendement de t−15 à t−1 (sans la dernière barre), en unités de volatilité σ60·√14.",False,False,
ret_skip_60,momentum,"Rendement de t−60 à t−1 (sans la dernière barre), en unités de volatilité σ60·√59.",False,False,
rsi_2,momentum,"RSI de Wilder sur 2 barres, recentré : (RSI − 50) / 50, dans [−1, 1].",False,False,
rsi_6,momentum,"RSI de Wilder sur 6 barres, recentré : (RSI − 50) / 50, dans [−1, 1].",False,False,
rsi_14,momentum,"RSI de Wilder sur 14 barres, recentré : (RSI − 50) / 50, dans [−1, 1].",False,False,
stoch_k_14,momentum,"Stochastique %K rapide sur 14 barres, ramené à [−1, 1].",False,False,
stoch_d_14_3,momentum,"Stochastique %D : moyenne sur 3 barres du %K 14, ramenée à [−1, 1].",False,False,
stoch_k_5,momentum,"Stochastique %K rapide sur 5 barres, ramené à [−1, 1].",False,False,
stoch_d_5_3,momentum,"Stochastique %D : moyenne sur 3 barres du %K 5, ramenée à [−1, 1].",False,False,
williams_r_14,momentum,"Williams %R sur 14 barres divisé par 100, dans [−1, 0] (miroir du stochastique).",False,False,
cci_20,momentum,"Commodity Channel Index sur 20 barres divisé par 100 (borné à ±6,67 par construction).",False,False,
