ticker,model,horizon,fold,n_train,train_start,train_end,train_end_row,test_start,test_end,test_start_row
BTCUSDT,logit,5,0,1430,2026-08-26 22:54:00+00:00,2026-08-31 22:44:00+00:00,7190,2026-08-31 22:54:00+00:00,2026-09-05 22:49:00+00:00,7200
BTCUSDT,logit,5,1,2868,2026-08-26 22:54:00+00:00,2026-09-05 22:44:00+00:00,14390,2026-09-05 22:54:00+00:00,2026-09-10 22:49:00+00:00,14400
BTCUSDT,logit,5,2,4305,2026-08-26 22:54:00+00:00,2026-09-10 22:44:00+00:00,21590,2026-09-10 22:54:00+00:00,2026-09-15 22:49:00+00:00,21600
BTCUSDT,logit,5,3,5732,2026-08-26 22:54:00+00:00,2026-09-15 22:44:00+00:00,28790,2026-09-15 22:54:00+00:00,2026-09-20 22:49:00+00:00,28800
BTCUSDT,logit,5,4,7170,2026-08-26 22:54:00+00:00,2026-09-20 22:44:00+00:00,35990,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
BTCUSDT,logit,10,0,1437,2026-08-26 22:54:00+00:00,2026-08-31 22:39:00+00:00,7185,2026-08-31 22:54:00+00:00,2026-09-05 22:49:00+00:00,7200
BTCUSDT,logit,10,1,2876,2026-08-26 22:54:00+00:00,2026-09-05 22:39:00+00:00,14385,2026-09-05 22:54:00+00:00,2026-09-10 22:49:00+00:00,14400
BTCUSDT,logit,10,2,4315,2026-08-26 22:54:00+00:00,2026-09-10 22:39:00+00:00,21585,2026-09-10 22:54:00+00:00,2026-09-15 22:49:00+00:00,21600
BTCUSDT,logit,10,3,5754,2026-08-26 22:54:00+00:00,2026-09-15 22:39:00+00:00,28785,2026-09-15 22:54:00+00:00,2026-09-20 22:49:00+00:00,28800
BTCUSDT,logit,10,4,7194,2026-08-26 22:54:00+00:00,2026-09-20 22:39:00+00:00,35985,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
BTCUSDT,logit,15,0,1436,2026-08-26 22:54:00+00:00,2026-08-31 22:34:00+00:00,7180,2026-08-31 22:54:00+00:00,2026-09-05 22:49:00+00:00,7200
BTCUSDT,logit,15,1,2875,2026-08-26 22:54:00+00:00,2026-09-05 22:34:00+00:00,14380,2026-09-05 22:54:00+00:00,2026-09-10 22:49:00+00:00,14400
BTCUSDT,logit,15,2,4313,2026-08-26 22:54:00+00:00,2026-09-10 22:34:00+00:00,21580,2026-09-10 22:54:00+00:00,2026-09-15 22:49:00+00:00,21600
BTCUSDT,logit,15,3,5749,2026-08-26 22:54:00+00:00,2026-09-15 22:34:00+00:00,28780,2026-09-15 22:54:00+00:00,2026-09-20 22:49:00+00:00,28800
BTCUSDT,logit,15,4,7188,2026-08-26 22:54:00+00:00,2026-09-20 22:34:00+00:00,35980,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
BTCUSDT,hgb,5,0,1430,2026-08-26 22:54:00+00:00,2026-08-31 22:44:00+00:00,7190,2026-08-31 22:54:00+00:00,2026-09-05 22:49:00+00:00,7200
BTCUSDT,hgb,5,1,2868,2026-08-26 22:54:00+00:00,2026-09-05 22:44:00+00:00,14390,2026-09-05 22:54:00+00:00,2026-09-10 22:49:00+00:00,14400
BTCUSDT,hgb,5,2,4305,2026-08-26 22:54:00+00:00,2026-09-10 22:44:00+00:00,21590,2026-09-10 22:54:00+00:00,2026-09-15 22:49:00+00:00,21600
BTCUSDT,hgb,5,3,5732,2026-08-26 22:54:00+00:00,2026-09-15 22:44:00+00:00,28790,2026-09-15 22:54:00+00:00,2026-09-20 22:49:00+00:00,28800
BTCUSDT,hgb,5,4,7170,2026-08-26 22:54:00+00:00,2026-09-20 22:44:00+00:00,35990,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
BTCUSDT,hgb,10,0,1437,2026-08-26 22:54:00+00:00,2026-08-31 22:39:00+00:00,7185,2026-08-31 22:54:00+00:00,2026-09-05 22:49:00+00:00,7200
BTCUSDT,hgb,10,1,2876,2026-08-26 22:54:00+00:00,2026-09-05 22:39:00+00:00,14385,2026-09-05 22:54:00+00:00,2026-09-10 22:49:00+00:00,14400
BTCUSDT,hgb,10,2,4315,2026-08-26 22:54:00+00:00,2026-09-10 22:39:00+00:00,21585,2026-09-10 22:54:00+00:00,2026-09-15 22:49:00+00:00,21600
BTCUSDT,hgb,10,3,5754,2026-08-26 22:54:00+00:00,2026-09-15 22:39:00+00:00,28785,2026-09-15 22:54:00+00:00,2026-09-20 22:49:00+00:00,28800
BTCUSDT,hgb,10,4,7194,2026-08-26 22:54:00+00:00,2026-09-20 22:39:00+00:00,35985,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
BTCUSDT,hgb,15,0,1436,2026-08-26 22:54:00+00:00,2026-08-31 22:34:00+00:00,7180,2026-08-31 22:54:00+00:00,2026-09-05 22:49:00+00:00,7200
BTCUSDT,hgb,15,1,2875,2026-08-26 22:54:00+00:00,2026-09-05 22:34:00+00:00,14380,2026-09-05 22:54:00+00:00,2026-09-10 22:49:00+00:00,14400
BTCUSDT,hgb,15,2,4313,2026-08-26 22:54:00+00:00,2026-09-10 22:34:00+00:00,21580,2026-09-10 22:54:00+00:00,2026-09-15 22:49:00+00:00,21600
BTCUSDT,hgb,15,3,5749,2026-08-26 22:54:00+00:00,2026-09-15 22:34:00+00:00,28780,2026-09-15 22:54:00+00:00,2026-09-20 22:49:00+00:00,28800
BTCUSDT,hgb,15,4,7188,2026-08-26 22:54:00+00:00,2026-09-20 22:34:00+00:00,35980,2026-09-20 22:54:00+00:00,2026-09-25 22:49:00+00:00,36000
SOLUSDT,logit,5,0,1402,2026-08-26 22:55:00+00:00,2026-08-31 22:45:00+00:00,7190,2026-08-31 22:55:00+00:00,2026-09-05 22:50:00+00:00,7200
SOLUSDT,logit,5,1,2789,2026-08-26 22:55:00+00:00,2026-09-05 22:45:00+00:00,14390,2026-09-05 22:55:00+00:00,2026-09-10 22:50:00+00:00,14400
