ticker,model,horizon,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,bss,acc_w,up_rate,p_binom
BTCUSDT,logit,5,87294,87294.0,0.517332233601393,0.5173877454683575,0.5251422807080449,0.24995271367137237,0.6930704500409578,0.00013935646283813607,0.5065567710438845,0.4964716933580773,6.599847320483879e-25
BTCUSDT,logit,10,87482,43741.0,0.5191810886811001,0.5194220349033296,0.5258881380586626,0.250463426390563,0.6941698491159233,-0.001882133873322367,0.5090612775340809,0.4973365949566768,5.110779767113703e-16
BTCUSDT,logit,15,87524,29174.666666666668,0.5207714455463645,0.5208832684949736,0.5316254191495768,0.25002822026315746,0.6932729876844372,-0.0001211719089273533,0.5097936314924326,0.49856039486312326,6.657458155715889e-13
BTCUSDT,hgb,5,87294,87294.0,0.5175613444222971,0.5172804060054109,0.5263268006953059,0.2494353958290649,0.6920164804007406,0.002208730878203946,0.5058316629067615,0.4964716933580773,1.6133217687151225e-25
BTCUSDT,hgb,10,87482,43741.0,0.5202441645138428,0.5200527462174893,0.5276085644275186,0.24941800999872446,0.6919824050381999,0.002299650351764826,0.5103868696084973,0.4973365949566768,1.2892696373134322e-17
BTCUSDT,hgb,15,87524,29174.666666666668,0.5248274758923267,0.5247251432884252,0.5343229726551342,0.24917772804121796,0.6915045304113745,0.003280825180882352,0.5117095953738214,0.49856039486312326,1.1915236033514086e-17
BTCUSDT,reversal_h,5,87294,87294.0,0.5155108025752057,0.5155247521261859,0.5156420182768168,0.24977601209705136,0.6926991785353768,0.0008461979578535672,0.509963869536456,0.4964716933580773,2.5272812900766343e-20
BTCUSDT,reversal_h,10,87482,43741.0,0.5140714661301754,0.5140828868851223,0.5141208145515492,0.24983595711117715,0.6928191329756497,0.0006278144637684724,0.5070431559507043,0.4973365949566768,2.032749262516299e-09
BTCUSDT,reversal_h,15,87524,29174.666666666668,0.5212056121749463,0.5212088802397268,0.5212155906056022,0.2495519126182533,0.6922507408131243,0.0017840744648993656,0.5119876169163361,0.49856039486312326,2.1897267747959902e-13
BTCUSDT,momentum_h,5,87294,87294.0,0.4843746420143423,0.4843383745464672,0.4843579817231832,0.2510214585194859,0.6951914011332263,-0.004135835816197364,0.48996599287775316,0.4964716933580773,1.0
BTCUSDT,momentum_h,10,87482,43741.0,0.48589424110102647,0.485876182135909,0.48587918544845077,0.2509630461123431,0.6950745143617093,-0.003880669468701914,0.49299608200701256,0.4973365949566768,0.9999999981894798
BTCUSDT,momentum_h,15,87524,29174.666666666668,0.47881723870024223,0.47881166806919284,0.47878440939439776,0.25124744755724143,0.6956436209999168,-0.00499812151445278,0.48808175257372627,0.49856039486312326,0.9999999999997811
BTCUSDT,always_up,5,87294,87294.0,0.4964716933580773,0.5,0.5,0.2505411322656769,0.694230236460554,-0.0022144351232940007,0.49975634673313796,0.4964716933580773,0.9816149282800846
BTCUSDT,always_up,10,87482,43741.0,0.4973365949566768,0.5,0.5,0.2505065362017329,0.6941610073947311,-0.002054578011088104,0.4996645898884367,0.4973365949566768,0.8683978468428227
BTCUSDT,always_up,15,87524,29174.666666666668,0.49856039486312326,0.5,0.5,0.25045758420547504,0.6940630511365684,-0.0018386419157694345,0.4996023635486808,0.49856039486312326,0.6906330044996376
BTCUSDT,majority_prev_day,5,87294,87294.0,0.5028180630971201,0.5026375230175071,0.5026379986166103,0.2502867963433913,0.6937212924396143,-0.0011970407721950682,0.5013227734666771,0.4964716933580773,0.04827211620859022
BTCUSDT,majority_prev_day,10,87482,43741.0,0.5032578130358245,0.5031338683047304,0.5031840073166004,0.2502666514254361,0.6936809803419882,-0.0010950116782966202,0.5032380170439051,0.4973365949566768,0.08724428729521444
BTCUSDT,majority_prev_day,15,87524,29174.666666666668,0.49956583337141813,0.49949115469448696,0.4991579537770908,0.25042884694483797,0.694005545229877,-0.00172369192030275,0.49761439785908673,0.49856039486312326,0.5628013471381976
SOLUSDT,logit,5,84205,84205.0,0.5141499910931655,0.5141040952884255,0.5223425245464066,0.2503054173186265,0.6938025478209288,-0.001225895459654014,0.5020306534715829,0.4989727450863963,1.113244412289386e-16
SOLUSDT,logit,10,85312,42656.0,0.5165158477119279,0.5162603136088454,0.5242750034300138,0.25074864005194586,0.6947775216119019,-0.0030191024286008172,0.5021918239811847,0.49752672543135784,4.7770253268314534e-12
SOLUSDT,logit,15,85709,28569.666666666668,0.5181952887094704,0.5180571559276576,0.5265598227776729,0.2510263078985223,0.6953948927287517,-0.00410970960822632,0.5058307024067983,0.4989441015529291,4.0793259273202114e-10
SOLUSDT,hgb,5,84205,84205.0,0.5190784395225937,0.5191275010625218,0.5274354203887425,0.24946963806924477,0.6920879222799754,0.0021172356492648037,0.5027642908858495,0.4989727450863963,8.742061732366843e-29
SOLUSDT,hgb,10,85312,42656.0,0.5209935296324081,0.5211160401576637,0.531148207059351,0.24928883545878874,0.6917255169997854,0.002820258823552968,0.5047233259530963,0.49752672543135784,2.1047182788972214e-18
SOLUSDT,hgb,15,85709,28569.666666666668,0.5202837508313013,0.5202965921077767,0.5291309894269642,0.24940877804582295,0.6919664308214233,0.0023604386574016534,0.5048660108263001,0.4989441015529291,3.640460635472512e-12
SOLUSDT,reversal_h,5,84205,84205.0,0.513841220830117,0.5138030826067088,0.5141235631584753,0.24984067454426695,0.6928285649129992,0.0006330834845540423,0.5004318362025685,0.4989727450863963,4.874571574408937e-16
SOLUSDT,reversal_h,10,85312,42656.0,0.517078488372093,0.5170276490390797,0.5173908222728909,0.24971200768942237,0.6925710965876333,0.001127528482702811,0.5037252670560967,0.49752672543135784,9.237267678648013e-13
SOLUSDT,reversal_h,15,85709,28569.666666666668,0.5197820532266156,0.5197616539042924,0.5198836266799197,0.24961293213081473,0.692372840555968,0.0015438186755657446,0.5059988578790274,0.4989441015529291,1.1443642178173003e-11
SOLUSDT,momentum_h,5,84205,84205.0,0.48664568612315184,0.4866046516196645,0.48587643684152465,0.25092849593254557,0.6950053691475743,-0.00371822043546044,0.5001359492527672,0.4989727450863963,0.9999999999999956
SOLUSDT,momentum_h,10,85312,42656.0,0.4831911102775694,0.483115262725447,0.4826091777271092,0.25106750281320334,0.6952835340862757,-0.00429458468257482,0.4968239993947607,0.49752672543135784,0.9999999999981564
SOLUSDT,momentum_h,15,85709,28569.666666666668,0.48085965301193573,0.48083454648336016,0.48011637332008034,0.2511698281394019,0.695488294858304,-0.0046837931319769766,0.4948810479279361,0.4989441015529291,0.9999999999520379
SOLUSDT,always_up,5,84205,84205.0,0.4989727450863963,0.5,0.5,0.25044109019654415,0.6940300455081879,-0.0017685892620409316,0.4995402738126489,0.4989727450863963,0.7256220476855819
SOLUSDT,always_up,10,85312,42656.0,0.49752672543135784,0.5,0.5,0.25049893098274567,0.6941457888367264,-0.0020202417113281967,0.4993661309410741,0.49752672543135784,0.8488024677769133
SOLUSDT,always_up,15,85709,28569.666666666668,0.4989441015529291,0.5,0.5,0.2504422359378828,0.694032338214164,-0.0017734113465111,0.4992245802137,0.4989441015529291,0.6431202266961303
SOLUSDT,majority_prev_day,5,84205,84205.0,0.503046137402767,0.5029941193752618,0.5030326190359752,0.25027587435425447,0.693699436713713,-0.0011077231033591595,0.5046105341962646,0.4989727450863963,0.038830661321494375
SOLUSDT,majority_prev_day,10,85312,42656.0,0.5048879407351838,0.5046939322933226,0.504756018928306,0.2502017629407352,0.6935511347677398,-0.000831540457729929,0.5060004949617709,0.49752672543135784,0.02224878399489825
SOLUSDT,majority_prev_day,15,85709,28569.666666666668,0.504999474967623,0.5049654334872359,0.5049654334872359,0.25020002100129507,0.6935476497300775,-0.0008045472793307695,0.5077782564471608,0.4989441015529291,0.04645463355706522
ETHUSDT,logit,5,87326,87326.0,0.5240134667796532,0.5240096713088918,0.5330474234814663,0.2501499935222213,0.6935623015119428,-0.00059997618827623,0.5040209847698393,0.5000229026864851,5.152219117991818e-46
