family,n_indicators,n_pairs,median_abs_ic,max_abs_ic,best_indicator,best_horizon,best_ic,frac_q_by_05,mean_hit_rate_oos,mean_auc_oos
momentum,30,90,0.02912536956368604,0.07634864833672575,ret_60,15,-0.07634864833672575,0.8444444444444444,0.5169409237553143,0.5228121747849082
tendance,33,99,0.033979956120697416,0.07254040784671376,lin_slope_60,15,-0.07254040784671376,0.7676767676767676,0.5176195877712206,0.5239795544838027
marche,9,27,0.021688646660307943,0.07142596549373262,rel_ret_60,15,-0.07142596549373262,0.2222222222222222,0.5097686140259373,0.515834678351631
statistique,10,30,0.015040009256673842,0.0664435168929201,zscore_60,15,-0.0664435168929201,0.4,0.5078660323976656,0.5118537510647138
flux,12,36,0.028622664312652313,0.06597382452651131,tick_imb_60,15,-0.06597382452651131,0.6111111111111112,0.5146372719311899,0.5202976536306892
volume,15,45,0.03563523757853143,0.06414925487006076,obv_slope_60,15,-0.06414925487006076,0.7111111111111111,0.5115104687167557,0.5188007897730099
volatilite,19,57,0.006605346384780643,0.05856389416699691,donchian_pos_60,15,-0.05856389416699691,0.22807017543859648,0.5052543536940175,0.5074814089003846
calendrier,14,42,0.008794915572489813,0.03653973016342177,session_us,15,0.03653973016342177,0.023809523809523808,0.5018349449495751,0.50415536927315
derives,14,42,0.011257396457948246,0.03379009793635199,funding_rate_bp,15,0.03379009793635199,0.047619047619047616,0.5018339186093477,0.5019692038644981
microstructure,11,33,0.006659654292749845,0.021960254760986977,amihud_rel_60,15,-0.021960254760986977,0.0,0.5000890376552592,0.5007713015481435
