ticker,indicator,horizon,n,ic_spearman,ic_daily_mean,ic_daily_t,n_days,frac_months_same_sign,ic_nw_t,ic_nw_t_2h,p_value,t_cons,p_value_cons,ic_train,ic_test,train_sign,median_train,hit_rate_oos,auc_oos,up_rate_oos,n_oos,n_eff_oos,p_hit
DOGEUSDT,sma_dist_5,5,525534,-0.024165545262034478,-0.027894038190791344,-11.958045497168634,365,0.9230769230769231,-11.882103596323295,-11.54512759851198,1.4663020623695307e-32,-11.54512759851198,7.8125446658251195e-31,-0.02279186393469466,-0.026284856484863187,-1.0,0.0,0.5109390376032524,0.5166742738202874,0.49822072900410524,201206,40241.2,5.747022218156829e-06
DOGEUSDT,sma_dist_5,10,525529,-0.02299203320338061,-0.02854011434309566,-11.883828927868057,365,0.9230769230769231,-10.404280339074681,-10.263131927249198,2.370403646321546e-25,-10.263131927249198,1.0330090870265845e-24,-0.01972965095184297,-0.028496591625257573,-1.0,0.0,0.5129635626735753,0.5198616321613496,0.4982188594812612,203802,20380.2,0.00011136311296516215
DOGEUSDT,sma_dist_5,15,525524,-0.025146211200119114,-0.03179009851497638,-13.79304189411646,365,1.0,-11.114388206926058,-11.032273403525732,1.0678001076546653e-28,-11.032273403525732,2.67028236205436e-28,-0.023873586705563644,-0.027417611319717615,-1.0,0.0,0.5135372500036594,0.5201342307267254,0.49949988533956563,204953,13663.533333333333,0.0008206615333019561
DOGEUSDT,sma_dist_15,5,525534,-0.03533744564755623,-0.041752668995414265,-15.111033948572452,365,0.9230769230769231,-14.46611037268197,-13.646435196495688,1.98377559247754e-47,-13.646435196495688,2.1199825188310435e-42,-0.03382809596828367,-0.037742585703052216,-1.0,-0.03245942988738525,0.51702732522887,0.524128606311907,0.49822072900410524,201206,40241.2,4.242686531409924e-12
DOGEUSDT,sma_dist_15,10,525529,-0.03999342425969176,-0.049106634569557134,-14.372162344967816,365,1.0,-12.932147334094088,-12.25029769230935,2.9642262333782917e-38,-12.25029769230935,1.6738037856864604e-34,-0.03937386340087062,-0.04121957230942757,-1.0,-0.03240381510722119,0.5203972483096339,0.5289788160955504,0.4982188594812612,203802,20380.2,2.910840911179514e-09
DOGEUSDT,sma_dist_15,15,525524,-0.04628289402426564,-0.05712322745144768,-15.157179029685512,365,1.0,-13.42025783916171,-12.86333178217118,4.601096078764631e-41,-12.86333178217118,7.238791578599439e-38,-0.04934813373859297,-0.04128894766368869,-1.0,-0.03236024073396423,0.521265851195152,0.5294001840367428,0.49949988533956563,204953,13663.533333333333,3.47608962183388e-07
DOGEUSDT,sma_dist_30,5,525534,-0.045106638045346,-0.05511801309948939,-18.988728100004263,365,1.0,-17.683638095897127,-16.533535863023694,5.605927520639935e-70,-16.533535863023694,2.104292102006175e-61,-0.0471501979954645,-0.041562061187665644,-1.0,-0.0528208010144262,0.521092810353568,0.5278241865042002,0.49822072900410524,201206,40241.2,1.3858587072517043e-17
DOGEUSDT,sma_dist_30,10,525529,-0.05223704190477036,-0.06577163713545889,-16.806398701749053,365,1.0,-15.452659291785697,-14.348010386474657,7.239398020968108e-54,-14.348010386474657,1.0963765491490192e-46,-0.055914394310191254,-0.046067085951265574,-1.0,-0.05278568833162403,0.5241312646588355,0.5325801061181801,0.4982188594812612,203802,20380.2,2.847845931187482e-12
DOGEUSDT,sma_dist_30,15,525524,-0.057163397875498435,-0.07293341912249376,-15.890955001910237,365,1.0,-14.514319272649551,-13.548831656818033,9.832897303465844e-48,-13.548831656818033,8.050123085881941e-42,-0.06335470633431532,-0.04659706060590128,-1.0,-0.05275900639276421,0.5242762974925959,0.5335612841456652,0.49949988533956563,204953,13663.533333333333,7.369469543671558e-09
DOGEUSDT,sma_dist_60,5,525534,-0.046004248663744925,-0.06109726347787254,-19.9678327776333,365,1.0,-17.671452604353743,-16.516032883610237,6.958187896571544e-70,-16.516032883610237,2.813034106442013e-61,-0.04797256605739248,-0.04249988304139827,-1.0,-0.05562071522830181,0.5207150880192439,0.5285580676684938,0.49822072900410524,201206,40241.2,4.941261384419979e-17
DOGEUSDT,sma_dist_60,10,525529,-0.053242261174080076,-0.07287108833907749,-17.644369630609965,365,1.0,-15.146019047722769,-13.970509774018984,8.049714384168e-52,-13.970509774018984,2.3593185495397443e-44,-0.056014453039612604,-0.04836851099755235,-1.0,-0.055545642150277186,0.5249212470927666,0.5336222264341386,0.4982188594812612,203802,20380.2,5.745691653021357e-13
DOGEUSDT,sma_dist_60,15,525524,-0.05714886342557861,-0.07965553118110096,-16.2569630339615,365,1.0,-13.678402573877227,-12.591908930672664,1.3666203053155273e-42,-12.591908930672664,2.3394640023120632e-36,-0.06065049619133676,-0.05085130426564583,-1.0,-0.05541829489865915,0.5265304728401146,0.5357990222613408,0.49949988533956563,204953,13663.533333333333,2.9081124705891594e-10
DOGEUSDT,sma_dist_240,5,525355,-0.03398999677252907,-0.06824896008923488,-21.310338641136852,365,1.0,-12.855146210935334,-12.049036757665641,8.047355885279516e-38,-12.049036757665641,1.9622962364116305e-33,-0.0317565007049342,-0.03730958185072479,-1.0,-0.2725786582517905,0.5179915111875392,0.5248842693242701,0.49822072900410524,201206,40241.2,2.816586925990743e-13
DOGEUSDT,sma_dist_240,10,525350,-0.03967092958867436,-0.08549577976080577,-19.350276263632846,365,1.0,-10.952762173823448,-10.113485902869416,6.445170057130165e-28,-10.113485902869416,4.814026773368391e-24,-0.0365574915276312,-0.044380678002859116,-1.0,-0.2724406139439976,0.5231695469131804,0.5306851910062418,0.4982188594812612,203802,20380.2,1.9647493659371136e-11
DOGEUSDT,sma_dist_240,15,525345,-0.042849941358418936,-0.09644208903557935,-18.175560583500726,365,1.0,-9.81693612708855,-9.012749901890288,9.519279405987819e-23,-9.012749901890288,2.0095317068472317e-19,-0.039311948719027545,-0.0481083461259898,-1.0,-0.2722875308054317,0.5249398642615624,0.5333889772994189,0.49949988533956563,204953,13663.533333333333,2.9660716655963812e-09
DOGEUSDT,ema_dist_5,5,525534,-0.02802881367595874,-0.03248473546711901,-13.294944720117401,365,0.9230769230769231,-13.281810915360664,-12.774515082845294,2.951683611550676e-40,-12.774515082845294,2.2756150668586132e-37,-0.026380766010189457,-0.0305887584191443,-1.0,-0.00957524024354618,0.5128425593670168,0.519332783994296,0.49822072900410524,201206,40241.2,1.3390529420268547e-07
DOGEUSDT,ema_dist_5,10,525529,-0.028055234756672365,-0.03466856853624634,-12.953255143336701,365,0.9230769230769231,-11.56935543468303,-11.236534924415947,5.892366613000085e-31,-11.236534924415947,2.697642143424594e-29,-0.02487333812669419,-0.03347241795625123,-1.0,-0.009561806727413222,0.5156279133668953,0.5234986564734978,0.4982188594812612,203802,20380.2,4.325373534617062e-06
DOGEUSDT,ema_dist_5,15,525524,-0.031336352408705574,-0.03921850364980031,-14.669089946036678,365,1.0,-12.227765187061074,-11.966201242106289,2.2093360290312075e-34,-11.966201242106289,5.341885703156355e-33,-0.03072417044086494,-0.03254039876466307,-1.0,-0.0095486758640642,0.515986592047933,0.523609952738683,0.49949988533956563,204953,13663.533333333333,9.561320454170011e-05
DOGEUSDT,ema_dist_15,5,525534,-0.03997458754524574,-0.04731683073360165,-17.190821184796036,365,0.9230769230769231,-16.45405182953262,-15.511824352316943,7.844060498621838e-61,-15.511824352316943,2.885620742753131e-54,-0.03974213454357065,-0.04025231522322614,-1.0,-0.02706958964737178,0.5186922855183245,0.5261506916042937,0.49822072900410524,201206,40241.2,3.232404125628057e-14
DOGEUSDT,ema_dist_15,10,525529,-0.04474796200716637,-0.05530723056280616,-15.916754804813053,365,1.0,-14.492238505726755,-13.670251232173978,1.3564898676075798e-47,-13.670251232173978,1.5286649402105898e-42,-0.04508870060212762,-0.044331425743116416,-1.0,-0.02702554522297822,0.5230763191725302,0.5312436883179013,0.4982188594812612,203802,20380.2,2.373252685623792e-11
DOGEUSDT,ema_dist_15,15,525524,-0.05026297072333756,-0.06278568244294949,-16.040489683687316,365,1.0,-14.404767339602735,-13.669691029367092,4.829414012479324e-47,-13.669691029367092,1.5404787978638646e-42,-0.05389998461543426,-0.04427486772136626,-1.0,-0.02700180332614647,0.5229686806243382,0.5318744038280316,0.49949988533956563,204953,13663.533333333333,4.244338562005066e-08
DOGEUSDT,ema_dist_30,5,525534,-0.04622142938287682,-0.05700602020702487,-19.587377031442784,365,1.0,-18.207983065047895,-17.04204560590818,4.460798804413871e-74,-17.04204560590818,4.004757004226057e-65,-0.047310965228744575,-0.044246543979965816,-1.0,-0.03854702815188571,0.5230013021480473,0.5293483048029144,0.49822072900410524,201206,40241.2,1.432884570821231e-20
