ticker,indicator,horizon,n,ic_spearman,ic_daily_mean,ic_daily_t,n_days,frac_months_same_sign,ic_nw_t,ic_nw_t_2h,p_value,t_cons,p_value_cons,ic_train,ic_test,train_sign,median_train,hit_rate_oos,auc_oos,up_rate_oos,n_oos,n_eff_oos,p_hit
ETHUSDT,sma_dist_5,5,525534,-0.03691064532946746,-0.041465856375949385,-18.077308053121453,365,1.0,-18.21745669260439,-17.705359743171236,3.751929548155246e-74,-17.705359743171236,3.8123697806708624e-70,-0.0344527809817679,-0.041043565148364394,-1.0,0.0017446024067003505,0.5178776842778523,0.5261198670644216,0.4972721675170758,209507,41901.4,1.250181806365867e-13
ETHUSDT,sma_dist_5,10,525529,-0.03115881929448642,-0.03621356842652223,-16.61321040472954,365,1.0,-14.145871777831601,-13.997688925359457,1.9804704321950062e-45,-13.997688925359457,1.6102230120987048e-44,-0.02884321458820088,-0.03502027528884299,-1.0,0.0017520759985550265,0.5144651630458091,0.5216408227143641,0.4959184937740947,209849,20984.9,1.3912716324927177e-05
ETHUSDT,sma_dist_5,15,525524,-0.027857195300613757,-0.0341866418391939,-15.802889682258673,365,1.0,-12.408784392166512,-12.362670624434166,2.3418120098766213e-35,-12.362670624434166,4.1609926624049284e-35,-0.02628488338181007,-0.03052553925752638,-1.0,0.0017446024067003505,0.5141011471473761,0.5213170708228563,0.49659857464080187,209912,13994.133333333333,0.0004462863647711453
ETHUSDT,sma_dist_15,5,525534,-0.04724323822339674,-0.053914942203939074,-20.39203888488064,365,1.0,-19.353680622174462,-18.22950480566989,1.897922304202165e-83,-18.22950480566989,3.0103443943436585e-74,-0.04566162384174427,-0.049653266785585085,-1.0,0.002385751026646691,0.5208322394955777,0.5305494460448748,0.4972721675170758,209507,41901.4,7.90159107905352e-18
ETHUSDT,sma_dist_15,10,525529,-0.044881531300244956,-0.05342218753807184,-16.303786919443276,365,1.0,-14.53901044635549,-13.795911248247219,6.857680412883987e-48,-13.795911248247219,2.6972290770142856e-43,-0.04478029538845581,-0.044678284440555646,-1.0,0.0023937648684664438,0.5198881100219682,0.5288671044058699,0.4959184937740947,209849,20984.9,4.43139958973279e-09
ETHUSDT,sma_dist_15,15,525524,-0.04518339855168409,-0.05586575290854957,-15.168922414836109,365,1.0,-13.179441641732762,-12.62972231319948,1.1524056037454976e-39,-12.62972231319948,1.4478827753643056e-36,-0.04714351099125281,-0.04146609497350816,-1.0,0.0023614964175510443,0.5198749952360989,0.5285434611031972,0.49659857464080187,209912,13994.133333333333,1.3514206800108536e-06
ETHUSDT,sma_dist_30,5,525534,-0.05177090637835942,-0.06202039884812824,-21.99705740288124,365,1.0,-20.380985512905458,-19.088485338637703,2.466392342526088e-92,-19.088485338637703,3.1476424557497355e-81,-0.052731393511624355,-0.04968762379776943,-1.0,0.023194909479811267,0.522736710467908,0.5311897276226281,0.4972721675170758,209507,41901.4,6.819126301175775e-21
ETHUSDT,sma_dist_30,10,525529,-0.05231942875146505,-0.06544417472425919,-17.46111089579154,365,1.0,-15.593439285405692,-14.504542211885942,8.067091222116781e-55,-14.504542211885942,1.1339143936529242e-47,-0.05427108851976703,-0.048448712490422145,-1.0,0.023165673843425598,0.5234382818121601,0.5327092490652745,0.4959184937740947,209849,20984.9,5.718710989931512e-12
ETHUSDT,sma_dist_30,15,525524,-0.05307160532495626,-0.0686809698062269,-15.763022443311037,365,1.0,-13.566494876212504,-12.662731481303938,6.327633955839248e-42,-12.662731481303938,9.513077814523458e-37,-0.05551499949048037,-0.04828764738658811,-1.0,0.023094744167061282,0.5238480887228935,0.533011589555861,0.49659857464080187,209912,13994.133333333333,8.53109876914835e-09
ETHUSDT,sma_dist_60,5,525534,-0.05102284479536356,-0.06491984417880615,-22.611685341303435,365,1.0,-19.679603502145326,-18.451834212993443,3.225155909737939e-86,-18.451834212993443,5.040489336231557e-76,-0.05085031575100312,-0.050602987272424016,-1.0,0.06908993521149345,0.522178256573766,0.5319606391128877,0.4972721675170758,209507,41901.4,5.514903765947715e-20
ETHUSDT,sma_dist_60,10,525529,-0.05349129802166634,-0.07132571667750616,-18.40987348580283,365,1.0,-15.322376181649682,-14.152919791220606,5.41993288231376e-53,-14.152919791220606,1.7916124413830698e-45,-0.05287172211676733,-0.05366705134677312,-1.0,0.06902727664663398,0.524786870559307,0.5362600060557225,0.4959184937740947,209849,20984.9,3.6431525556399666e-13
ETHUSDT,sma_dist_60,15,525524,-0.05414205462260154,-0.07486125646534864,-16.34313065284984,365,1.0,-13.026632225301265,-12.000521221006595,8.633493382135656e-39,-12.000521221006595,3.530659246993298e-33,-0.05303753010956421,-0.054977185451061054,-1.0,0.06885023193266934,0.524486451465376,0.5362371341960039,0.49659857464080187,209912,13994.133333333333,3.4844921607890434e-09
ETHUSDT,sma_dist_240,5,525355,-0.039639381349279544,-0.07258091888438487,-23.671447845716145,365,1.0,-14.972203776803527,-14.09421985648341,1.1156226242863243e-50,-14.09421985648341,4.1217760768305844e-45,-0.03740417972026177,-0.04281459239559235,-1.0,0.20414356354354998,0.5210422563446567,0.5283541582726494,0.4972721675170758,209507,41901.4,3.6823751626012266e-18
ETHUSDT,sma_dist_240,10,525350,-0.04509061887003785,-0.08873183821838357,-21.521262119655187,365,1.0,-12.454203663758486,-11.53275428578172,1.3266909604010975e-35,-11.53275428578172,9.021065313151585e-31,-0.04181648044949408,-0.04973834969999703,-1.0,0.2039407258553525,0.5253539449794853,0.5332363887932725,0.4959184937740947,209849,20984.9,1.0700900008166917e-13
ETHUSDT,sma_dist_240,15,525345,-0.04783605721270219,-0.09887615790109361,-19.891118858895172,365,1.0,-10.959774105218147,-10.087926912241363,5.964806841001627e-28,-10.087926912241363,6.2474966279750015e-24,-0.044428898406199485,-0.05236712707062017,-1.0,0.2036521935734752,0.5270160829299897,0.5354851429665051,0.49659857464080187,209912,13994.133333333333,8.637666517988681e-11
ETHUSDT,ema_dist_5,5,525534,-0.041017731309509496,-0.046115203659639926,-19.451790541852983,365,1.0,-19.474994543997994,-18.722810233128246,1.7894341521592907e-84,-18.722810233128246,3.226697477022506e-78,-0.03877323867378758,-0.044736536845778115,-1.0,0.00240409943757835,0.5187559365558191,0.5280585348223639,0.4972721675170758,209507,41901.4,8.550149162211094e-15
ETHUSDT,ema_dist_5,10,525529,-0.03550376749006974,-0.041452538960068716,-16.911514564327696,365,1.0,-14.665198572109514,-14.28120041879139,1.077016206829241e-48,-14.28120041879139,2.866213457622101e-46,-0.03349452752708281,-0.038826949322520954,-1.0,0.0024094695018660123,0.5169050126519545,0.5245148294575321,0.4959184937740947,209849,20984.9,4.91838444428802e-07
ETHUSDT,ema_dist_5,15,525524,-0.032969903124466744,-0.0405315902045385,-15.806963289252403,365,1.0,-12.946379522205284,-12.698014396324135,2.4629870002195946e-38,-12.698014396324135,6.064899909955981e-37,-0.03189916361127608,-0.03470442262623486,-1.0,0.0024011963568052624,0.5170690575098137,0.5241451427184489,0.49659857464080187,209912,13994.133333333333,2.7579628356966212e-05
ETHUSDT,ema_dist_15,5,525534,-0.05128985905836112,-0.05902308474924692,-22.082760500331542,365,1.0,-21.138042614825615,-19.910030900493314,3.555195336388711e-99,-19.910030900493314,3.331094742048951e-88,-0.050303036399546905,-0.052596232407118054,-1.0,0.013359523225155094,0.5218489119695284,0.5327864715631685,0.4972721675170758,209507,41901.4,1.9207871279457935e-19
ETHUSDT,ema_dist_15,10,525529,-0.049045952008679825,-0.059090682360496694,-17.886360871265325,365,1.0,-15.93756429432626,-15.051529076683796,3.4764211993711037e-57,-15.051529076683796,3.3734590665983495e-51,-0.04919145327303042,-0.04837609628487862,-1.0,0.013361994996676235,0.521322474731831,0.5317001782887023,0.4959184937740947,209849,20984.9,3.5121327790550533e-10
ETHUSDT,ema_dist_15,15,525524,-0.04868918057280359,-0.061102293228602673,-16.12413159852894,365,1.0,-14.040965406998268,-13.318450486347771,8.751230756970014e-45,-13.318450486347771,1.808214893964345e-40,-0.0502626596780998,-0.045539064721225486,-1.0,0.013347481605922907,0.5210945539083044,0.5314390969537988,0.49659857464080187,209912,13994.133333333333,3.183628236088594e-07
ETHUSDT,ema_dist_30,5,525534,-0.05428340515953919,-0.06528605979982914,-23.244976974810005,365,1.0,-21.451373203341056,-20.09852622593268,4.433688461408751e-102,-20.09852622593268,7.60177586927272e-90,-0.05409630699714689,-0.054030892523764244,-1.0,0.03169653322966029,0.5237772484928904,0.5339841897760188,0.4972721675170758,209507,41901.4,1.0875871866962275e-22
ETHUSDT,ema_dist_30,10,525529,-0.05465955125638327,-0.06894199630211416,-18.776302417949914,365,1.0,-16.43409067476972,-15.293682345640716,1.0904813937494685e-60,-15.293682345640716,8.424871951393342e-53,-0.055189510300150076,-0.053074752062250576,-1.0,0.0316656039510902,0.5243865827332987,0.535522325704376,0.4959184937740947,209849,20984.9,8.121908064971257e-13
ETHUSDT,ema_dist_30,15,525524,-0.055167357767141066,-0.07220681303268212,-16.86310290516833,365,1.0,-14.248482746623107,-13.275909442536136,4.581267915084584e-46,-13.275909442536136,3.193699869267431e-40,-0.056285074869294134,-0.05248609327825219,-1.0,0.031641253924403534,0.5247818133313007,0.5356245027360762,0.49659857464080187,209912,13994.133333333333,2.3235829645673897e-09
ETHUSDT,ema_dist_60,5,525534,-0.053577148187353686,-0.0685928013563064,-23.647107385173133,365,1.0,-20.662104136903988,-19.353610820977966,7.598027776523108e-95,-19.353610820977966,1.900494772733671e-83,-0.05276534863822291,-0.05419475562195169,-1.0,0.07113802383218135,0.5233715341253514,0.5345027376660401,0.4972721675170758,209507,41901.4,5.4991928773477e-22
