ticker,indicator,horizon,n,ic_spearman,ic_daily_mean,ic_daily_t,n_days,frac_months_same_sign,ic_nw_t,ic_nw_t_2h,p_value,t_cons,p_value_cons,ic_train,ic_test,train_sign,median_train,hit_rate_oos,auc_oos,up_rate_oos,n_oos,n_eff_oos,p_hit
SOLUSDT,sma_dist_5,5,525534,-0.03269157242381748,-0.03680404682893411,-16.795094375510345,365,0.9230769230769231,-16.0692882011405,-15.598837426433041,4.188684278713787e-58,-15.598837426433041,7.41317993585433e-55,-0.033719985861924914,-0.030879690352579457,-1.0,0.0,0.5129949233530731,0.5195244407426831,0.4992417349105247,201117,40223.4,9.658581202386344e-08
SOLUSDT,sma_dist_5,10,525529,-0.02793348843548624,-0.0333375909013279,-15.022051434729748,365,1.0,-12.632407644840965,-12.451631431984719,1.3993022559663991e-36,-12.451631431984719,1.3701546369350112e-35,-0.02888541828795687,-0.026488895301392004,-1.0,0.0,0.5119996466361727,0.518721598243985,0.4984785724101376,203756,20375.6,0.00031434137418917486
SOLUSDT,sma_dist_5,15,525524,-0.024558400434701626,-0.031046330680510017,-14.082817736706096,365,1.0,-10.823756064614345,-10.752280217585215,2.656618966977179e-27,-10.752280217585215,5.7814425966704344e-27,-0.026176496557567062,-0.02194103254829788,-1.0,0.0,0.5101451114571182,0.515724510851937,0.49881148201115794,204877,13658.466666666667,0.008887466634086315
SOLUSDT,sma_dist_15,5,525534,-0.041490577201545295,-0.04804415721656768,-18.639668550693475,365,1.0,-16.963979660205517,-15.95378429695014,1.5171205380715344e-64,-15.95378429695014,2.681443151444437e-57,-0.04474348442858283,-0.03597706454655283,-1.0,0.0,0.5153070103472108,0.5227481955427262,0.4992417349105247,201117,40223.4,4.3011983869035127e-10
SOLUSDT,sma_dist_15,10,525529,-0.03945178602859944,-0.04761930771971231,-14.535342758693465,365,1.0,-12.717466613670668,-12.004671120492734,4.729464429273656e-37,-12.004671120492734,3.3579609600574884e-33,-0.043827323728378324,-0.032049327154239866,-1.0,0.0,0.5160633306503858,0.5229945869673991,0.4984785724101376,203756,20375.6,2.3016599412182844e-06
SOLUSDT,sma_dist_15,15,525524,-0.040173186078813886,-0.04945973671070433,-13.756814511319515,365,1.0,-11.606404111263338,-11.084343599153735,3.8235941324768234e-31,-11.084343599153735,1.4944246305695826e-28,-0.04690812833500882,-0.028722633498372934,-1.0,0.0,0.5145575149968029,0.5208727536836286,0.49881148201115794,204877,13658.466666666667,0.00034035923705665825
SOLUSDT,sma_dist_30,5,525534,-0.045658214927514824,-0.05494378354900296,-20.289560987178923,365,1.0,-17.961876941865704,-16.79087984275022,3.8748085869379275e-72,-16.79087984275022,2.8459435590337323e-63,-0.05128088516848011,-0.036134344001164005,-1.0,0.007156674911142736,0.5177533475539114,0.524024376759522,0.4992417349105247,201117,40223.4,5.360702530569395e-13
SOLUSDT,sma_dist_30,10,525529,-0.04605852576079169,-0.058060256541298885,-15.886427025447,365,1.0,-13.676763526600878,-12.674270685334346,1.3977692223233383e-42,-12.674270685334346,8.211890787791537e-37,-0.05335584441965637,-0.033507788005563824,-1.0,0.007132537528732906,0.5165688372366949,0.5243198176932973,0.4984785724101376,203756,20375.6,1.1662515425305068e-06
SOLUSDT,sma_dist_30,15,525524,-0.04560835809857212,-0.0593648247577863,-13.896430841198297,365,1.0,-11.62288423213102,-10.824034140802793,3.1530855105758673e-31,-10.824034140802793,2.6485679872316163e-27,-0.053405134155456974,-0.03211596811536689,-1.0,0.006987424583028893,0.5165440727851345,0.5230336686807224,0.49881148201115794,204877,13658.466666666667,5.683283624351457e-05
SOLUSDT,sma_dist_60,5,525534,-0.04199558991946806,-0.055743146072302505,-19.941538382888236,365,1.0,-16.270874318048723,-15.239743482134303,1.5887295787516322e-59,-15.239743482134303,1.9262512326605713e-52,-0.04537494932262283,-0.036057088740216306,-1.0,0.040244928113627565,0.5157793722062283,0.5237217617545933,0.4992417349105247,201117,40223.4,1.2834018250648497e-10
SOLUSDT,sma_dist_60,10,525529,-0.04312895870224184,-0.060951666735033216,-15.830851811509424,365,1.0,-12.376441066468711,-11.420639127268194,3.5054547659928375e-35,-11.420639127268194,3.297996034903093e-30,-0.04676801244905999,-0.036435468591278414,-1.0,0.04017383156261376,0.5171479612870296,0.5250702299583814,0.4984785724101376,203756,20375.6,5.030716304001639e-07
SOLUSDT,sma_dist_60,15,525524,-0.042616852156611644,-0.06263229977598601,-13.65096968626492,365,1.0,-10.278303172027815,-9.464608167030152,8.826787551307338e-25,-9.464608167030152,2.9466372946484046e-21,-0.04563032552882509,-0.036743284747004855,-1.0,0.040175892627805576,0.5166514542872065,0.5245988004145758,0.49881148201115794,204877,13658.466666666667,5.2980949687422464e-05
SOLUSDT,sma_dist_240,5,525355,-0.033324150134344144,-0.0666409466802487,-22.5105600595995,365,1.0,-12.68456866430551,-11.958083270249283,7.200917333469937e-37,-11.958083270249283,5.890592115015486e-33,-0.030590065939272888,-0.03746473638177214,-1.0,-0.06440738053698251,0.5170671798008125,0.5250959561350441,0.4992417349105247,201117,40223.4,3.9154918511085914e-12
SOLUSDT,sma_dist_240,10,525350,-0.036765959437292786,-0.08117976187718619,-19.718837071318706,365,1.0,-10.246168340283228,-9.502391591349484,1.2312818824066635e-24,-9.502391591349484,2.0512419374129328e-21,-0.03236250977065669,-0.043408354883901455,-1.0,-0.06459692833955837,0.5189491352401893,0.5280264540643258,0.4984785724101376,203756,20375.6,3.1685038740030545e-08
SOLUSDT,sma_dist_240,15,525345,-0.03880022476352861,-0.09042644734759774,-18.273364145630747,365,1.0,-8.979370232882093,-8.26571220830737,2.7232096545632113e-19,-8.26571220830737,1.388631855201444e-16,-0.033160387805792044,-0.047353675483524295,-1.0,-0.0649701050270779,0.5194677782279123,0.5304218425314641,0.49881148201115794,204877,13658.466666666667,2.7578154905259365e-06
SOLUSDT,ema_dist_5,5,525534,-0.03641587661868458,-0.04110939895584561,-18.212956646018803,365,0.9230769230769231,-17.250283036668623,-16.56519366688427,1.1135254447480957e-66,-16.56519366688427,1.2437902387248691e-61,-0.03801828799922185,-0.03365627999545975,-1.0,-0.001110679744778585,0.5144120089301253,0.5212279015622069,0.4992417349105247,201117,40223.4,3.863349901800102e-09
SOLUSDT,ema_dist_5,10,525529,-0.031860568904490294,-0.03804133703323699,-15.451897025162426,365,1.0,-13.123231609387073,-12.723470943503235,2.4237470005735752e-39,-12.723470943503235,4.37964520673523e-37,-0.033488909145071744,-0.029260602081993,-1.0,-0.0011213804639239656,0.5131677103987122,0.5207764638613871,0.4984785724101376,203756,20375.6,8.658307037927494e-05
SOLUSDT,ema_dist_5,15,525524,-0.029312851203238625,-0.03661932833368095,-14.349193122904138,365,1.0,-11.401041009446342,-11.148048062552094,4.131489884145087e-30,-11.148048062552094,7.319437559269704e-29,-0.03192675797588482,-0.02497578894181646,-1.0,-0.0011336080541588863,0.5119120252639389,0.5177352757619823,0.49881148201115794,204877,13658.466666666667,0.0027092307202501702
SOLUSDT,ema_dist_15,5,525534,-0.045141135697484354,-0.05233343307625667,-20.613645729366034,365,1.0,-18.582284514571178,-17.47238715202194,4.470623518725016e-77,-17.47238715202194,2.3255756130866004e-68,-0.048927479488486435,-0.03868123806744541,-1.0,-0.0003928654157449746,0.5175097082792603,0.5247128476162396,0.4992417349105247,201117,40223.4,1.1001660762681122e-12
SOLUSDT,ema_dist_15,10,525529,-0.043147606577898755,-0.052584370455984436,-16.22744213086951,365,1.0,-13.964684164648464,-13.126180922369224,2.5603795293457062e-44,-13.126180922369224,2.3312011395714293e-39,-0.048066274389624464,-0.034771430531527016,-1.0,-0.00040493932000257006,0.5166571781935256,0.5248433744312131,0.4984785724101376,203756,20375.6,1.0156765993997322e-06
SOLUSDT,ema_dist_15,15,525524,-0.042567847069337646,-0.05355153801505638,-14.610756898289946,365,1.0,-12.19176790526539,-11.53005217803682,3.4387924869934826e-34,-11.53005217803682,9.308727993702931e-31,-0.04910185526781995,-0.03137364975654226,-1.0,-0.00046040013546049083,0.515353114307609,0.5225159421868957,0.49881148201115794,204877,13658.466666666667,0.00016820499281474253
