ticker,indicator,horizon,n,ic_spearman,ic_daily_mean,ic_daily_t,n_days,frac_months_same_sign,ic_nw_t,ic_nw_t_2h,p_value,t_cons,p_value_cons,ic_train,ic_test,train_sign,median_train,hit_rate_oos,auc_oos,up_rate_oos,n_oos,n_eff_oos,p_hit
XRPUSDT,sma_dist_5,5,525534,-0.022458082897813123,-0.026487763590657337,-11.200979530357149,365,0.9230769230769231,-11.039370986985679,-10.734959840133847,2.4675445904014276e-28,-10.734959840133847,6.974929003943328e-27,-0.01976940853783866,-0.027026959894284237,-1.0,-0.013686367491603946,0.5125974332729706,0.5181389113490749,0.49595012203763483,203216,40643.2,1.9924906016941185e-07
XRPUSDT,sma_dist_5,10,525529,-0.021430805902016837,-0.026826623976702192,-10.998564542303837,365,1.0,-9.65943945864889,-9.530204531103406,4.483102028239071e-22,-9.530204531103406,1.5697365288650324e-21,-0.0214581324497365,-0.021659454051832137,-1.0,-0.013673523755606086,0.5090350445787298,0.5143535410081828,0.49481659662944877,205367,20536.7,0.004813256156083682
XRPUSDT,sma_dist_5,15,525524,-0.020762392251872163,-0.027914918763589848,-11.948552786690097,365,1.0,-9.119996661249157,-9.067478905234815,7.512664420514846e-20,-9.067478905234815,1.2180254442921935e-19,-0.02386802542040023,-0.01610205882302108,-1.0,-0.013656105037380647,0.5075050316448022,0.51240865535285,0.4952884405538447,206195,13746.333333333334,0.04018683734040529
XRPUSDT,sma_dist_15,5,525534,-0.03338779434055803,-0.03967717250407332,-14.051835396819992,365,0.9230769230769231,-13.67888905468424,-12.874813854238129,1.3575086818467548e-42,-12.874813854238129,6.238931307621019e-38,-0.03498710999779309,-0.031032700009176423,-1.0,-0.046923916402178856,0.513689866939611,0.5213649963115954,0.49595012203763483,203216,40643.2,1.732276287126757e-08
XRPUSDT,sma_dist_15,10,525529,-0.03410426786064278,-0.043188281968922215,-12.228072856382042,365,1.0,-11.0124393500213,-10.397190629176565,3.3286712271794645e-28,-10.397190629176565,2.5535078737658514e-25,-0.04036218310189315,-0.02405386223268148,-1.0,-0.04690386017471367,0.5110119931634586,0.5165051803095675,0.49481659662944877,205367,20536.7,0.0008240072470707977
XRPUSDT,sma_dist_15,15,525524,-0.03635260550631182,-0.04782245792616973,-12.264782440736571,365,1.0,-10.522662131761921,-10.059005514314507,6.792674584857239e-26,-10.059005514314507,8.384096466344308e-24,-0.04614123918385618,-0.02046123793030987,-1.0,-0.046914736245845044,0.5111423652367905,0.5167924095770259,0.4952884405538447,206195,13746.333333333334,0.004640607977603184
XRPUSDT,sma_dist_30,5,525534,-0.037338542111809384,-0.04758376983123095,-15.82136055373387,365,1.0,-14.695335660851319,-13.733973277194421,6.905545274759865e-49,-13.733973277194421,6.355057678568572e-43,-0.04248107621011941,-0.029234359337047936,-1.0,-0.06519687101656833,0.5146199118179671,0.5213268095356267,0.49595012203763483,203216,40643.2,1.893560678116336e-09
XRPUSDT,sma_dist_30,10,525529,-0.03886150565091249,-0.052912911752984924,-13.24425888765728,365,1.0,-11.556716778339094,-10.713880370776463,6.8269376857534636e-31,-10.713880370776463,8.76108723082333e-27,-0.04841365549430149,-0.023292850543237688,-1.0,-0.06515145892290862,0.5116060516051751,0.5177450095446527,0.49481659662944877,205367,20536.7,0.00045859421875860145
XRPUSDT,sma_dist_30,15,525524,-0.03976448626080933,-0.05657993087532262,-12.19952655692257,365,1.0,-10.142731407227185,-9.461624254339657,3.569760231921492e-24,-9.461624254339657,3.0319633331215537e-21,-0.05092241367410625,-0.021452345742855122,-1.0,-0.06521790977779536,0.5125148524455007,0.5188367874397021,0.4952884405538447,206195,13746.333333333334,0.0017185573872187058
XRPUSDT,sma_dist_60,5,525534,-0.03467378732828778,-0.05011190060286551,-16.226565406567342,365,1.0,-13.402201158184422,-12.542424317189814,5.86961274400518e-41,-12.542424317189814,4.374063709753015e-36,-0.0382585660669871,-0.029039213545445357,-1.0,-0.10894831439937666,0.5146248326903393,0.5216403482954131,0.49595012203763483,203216,40643.2,1.893560678116336e-09
XRPUSDT,sma_dist_60,10,525529,-0.037120355508818315,-0.05734827760126033,-13.925135992076717,365,1.0,-10.642094527311354,-9.828707125186213,1.898137232186672e-26,-9.828707125186213,8.469911404406793e-23,-0.04357859571776623,-0.026386203919043064,-1.0,-0.10896102627584886,0.5129743337537189,0.5198992095587429,0.49481659662944877,205367,20536.7,0.00010544369378392906
XRPUSDT,sma_dist_60,15,525524,-0.037530797728161994,-0.06111960314107126,-12.706158767749745,365,1.0,-9.042012738112252,-8.342982464412065,1.5381316044506237e-19,-8.342982464412065,7.24399113948657e-17,-0.04430093062725468,-0.026121231124253155,-1.0,-0.10903407332367837,0.5143238196852494,0.5210826863911984,0.4952884405538447,206195,13746.333333333334,0.00040084457204983277
XRPUSDT,sma_dist_240,5,525355,-0.02963886443208387,-0.0644342700132456,-20.828502460736303,365,1.0,-11.213517883596513,-10.500384115919315,3.500004266215712e-29,-10.500384115919315,8.602933932024677e-26,-0.028100894875676123,-0.032289758319499005,-1.0,-0.3679564813800309,0.5185320053539091,0.5239104456053117,0.49595012203763483,203216,40643.2,3.9782490750574464e-14
XRPUSDT,sma_dist_240,10,525350,-0.034025901145685315,-0.08030404436476944,-19.090685197324046,365,1.0,-9.389274430261077,-8.65405582128084,6.041499261435973e-21,-8.65405582128084,4.970088131525715e-18,-0.03298437951167472,-0.03557713719109111,-1.0,-0.3679809720150637,0.5214128852249874,0.5266054855025487,0.49481659662944877,205367,20536.7,4.265169000477986e-10
XRPUSDT,sma_dist_240,15,525345,-0.03602105775738157,-0.0902265076518708,-18.085224271372635,365,1.0,-8.228054879569031,-7.528533519719189,1.9027790854655345e-16,-7.528533519719189,5.131334607160254e-14,-0.034650763038415695,-0.03784346450736469,-1.0,-0.36813268605541505,0.5229370256310774,0.5284810254591974,0.4952884405538447,206195,13746.333333333334,4.029231881900975e-08
XRPUSDT,ema_dist_5,5,525534,-0.026395210651607364,-0.030860134936329126,-12.498124475339893,365,0.9230769230769231,-12.509336996234353,-12.030153144431095,6.637591638755203e-36,-12.030153144431095,2.4670273414009234e-33,-0.024502867660889667,-0.02969720891856746,-1.0,-0.012978437166408712,0.513921147941107,0.520023756148786,0.49595012203763483,203216,40643.2,1.0384046341101192e-08
XRPUSDT,ema_dist_5,10,525529,-0.025527099005490453,-0.031807450463234806,-11.812476539697261,365,1.0,-10.488985284824718,-10.18260459470111,9.706518864622434e-26,-10.18260459470111,2.371279080495754e-24,-0.026882869733881692,-0.02361976179480298,-1.0,-0.012969429029910657,0.5098433536059834,0.5157496524452596,0.49481659662944877,205367,20536.7,0.0024595465956588525
XRPUSDT,ema_dist_5,15,525524,-0.02578220952106693,-0.03408039924681713,-12.469106132179059,365,1.0,-10.002687405102732,-9.790510253594823,1.4831644167165763e-23,-9.790510253594823,1.2367019608196045e-22,-0.03032619956787388,-0.018752490634116936,-1.0,-0.012959488062235448,0.5095564877906835,0.5144618984454907,0.4952884405538447,206195,13746.333333333334,0.01300063852166185
XRPUSDT,ema_dist_15,5,525534,-0.035998284369888264,-0.04341186768891475,-15.320534086907328,365,1.0,-14.845748252082338,-13.972098916080089,7.412311043723645e-50,-13.972098916080089,2.307253446939772e-44,-0.03805816161061584,-0.032894876069384606,-1.0,-0.03531405370504985,0.5154564601212503,0.5228958798530383,0.49595012203763483,203216,40643.2,2.3231387034499113e-10
XRPUSDT,ema_dist_15,10,525529,-0.03667123089230319,-0.047300345734135,-13.254679900307078,365,1.0,-11.881728061322473,-11.17277863508531,1.4729053454671754e-32,-11.17277863508531,5.541960888584829e-29,-0.04332819606125007,-0.02594502319229562,-1.0,-0.03524266138511093,0.511737523555391,0.5183213025061487,0.49481659662944877,205367,20536.7,0.00039447355754939066
XRPUSDT,ema_dist_15,15,525524,-0.03808950768649078,-0.05145948861356176,-12.79385193650879,365,1.0,-10.913710273780877,-10.332757077064015,9.912624230274182e-28,-10.332757077064015,5.009950019849803e-25,-0.04777126438336875,-0.022356231875398053,-1.0,-0.035249653885584625,0.5125730497829725,0.5184762309694063,0.4952884405538447,206195,13746.333333333334,0.0016266359924572754
XRPUSDT,ema_dist_30,5,525534,-0.03834731893559405,-0.049609429527340244,-16.432953186991988,365,1.0,-15.171645933432979,-14.192551568243806,5.4492979731471506e-52,-14.192551568243806,1.0188312657669206e-45,-0.04194020855863826,-0.03274817784078622,-1.0,-0.06028133411486261,0.516903196598693,0.523546987284919,0.49595012203763483,203216,40643.2,5.012214483545183e-12
XRPUSDT,ema_dist_30,10,525529,-0.04018322789811234,-0.055603633480039466,-14.040632629743705,365,1.0,-12.063305618875905,-11.19328602693992,1.650238335334664e-33,-11.19328602693992,4.3982555037608814e-29,-0.04802953438540525,-0.027350572725703907,-1.0,-0.06023683798929691,0.5137729041179936,0.5200823428684964,0.49481659662944877,205367,20536.7,4.025051018176711e-05
XRPUSDT,ema_dist_30,15,525524,-0.04117855344907035,-0.05970397347257921,-13.044495546789172,365,1.0,-10.609094088971682,-9.87879132997847,2.703575877800367e-26,-9.87879132997847,5.1449711762841015e-23,-0.05081125189322612,-0.02528934623447221,-1.0,-0.06028510059787714,0.5145905574819952,0.5209109767445681,0.4952884405538447,206195,13746.333333333334,0.00031257790198459793
XRPUSDT,ema_dist_60,5,525534,-0.03752063977893081,-0.054206128314133774,-17.711015538972944,365,1.0,-14.509931842380526,-13.56611611720589,1.0482467440451819e-47,-13.56611611720589,6.36040699136363e-42,-0.04047388974602854,-0.03290721605439357,-1.0,-0.10438192786893577,0.515781237697819,0.5241376041374601,0.49595012203763483,203216,40643.2,1.0113532086651738e-10
XRPUSDT,ema_dist_60,10,525529,-0.040441048832958716,-0.0627443231580114,-15.395249823313875,365,1.0,-11.640997313881662,-10.748153499858907,2.5501603310327908e-31,-10.748153499858907,6.045981559418317e-27,-0.04652141741937203,-0.030327186892451223,-1.0,-0.10438007195234858,0.5139482000516149,0.5225013613815634,0.49481659662944877,205367,20536.7,3.377126404493626e-05
XRPUSDT,ema_dist_60,15,525524,-0.0416542301385473,-0.06789232030007215,-14.247899643975654,365,1.0,-10.100964847887456,-9.311375002589653,5.470131753219672e-24,-9.311375002589653,1.2618801354482692e-20,-0.04844741242631124,-0.030207989572837105,-1.0,-0.10439770835051598,0.5149009432818449,0.5238990662922567,0.4952884405538447,206195,13746.333333333334,0.0002426810078399434
XRPUSDT,ema_dist_240,5,525355,-0.03051848711149662,-0.06724429146217892,-22.2005420483445,365,1.0,-11.527228553405287,-10.791206866184172,9.619058351172859e-31,-10.791206866184172,3.787822616968804e-27,-0.0296904806272178,-0.03195601098303886,-1.0,-0.3997533756344802,0.5177446657743485,0.5239899920127298,0.49595012203763483,203216,40643.2,4.230408268421482e-13
XRPUSDT,ema_dist_240,10,525350,-0.03481154305922876,-0.08388595848257667,-20.473749211570258,365,1.0,-9.609373605452134,-8.85577980300325,7.299166850665538e-22,-8.85577980300325,8.31007851722173e-19,-0.03458451967494499,-0.034998477121407426,-1.0,-0.3998060184316412,0.5206289228551813,0.526778309422977,0.49481659662944877,205367,20536.7,1.6967659528852875e-09
XRPUSDT,ema_dist_240,15,525345,-0.03678165626142077,-0.0945040596520562,-19.61474378544484,365,1.0,-8.416150862669943,-7.699025026328124,3.890562233298773e-17,-7.699025026328124,1.3710831828423016e-14,-0.036272905572962214,-0.037236462688274206,-1.0,-0.39994992294317083,0.5217682291035185,0.5287895618729548,0.4952884405538447,206195,13746.333333333334,1.7645917623621293e-07
XRPUSDT,lin_slope_15,5,525534,-0.029090219820092002,-0.03461631235908028,-11.964705395651523,365,1.0,-11.504611067211302,-10.802588129227678,1.2505180411476705e-30,-10.802588129227678,3.3463568534782504e-27,-0.03470660349934138,-0.02018504262549651,-1.0,-0.02746696338285118,0.5108702070703094,0.5151305048081796,0.49595012203763483,203216,40643.2,6.0677541694413396e-06
XRPUSDT,lin_slope_15,10,525529,-0.032422547404799655,-0.04072247566990047,-10.675855397004472,365,1.0,-9.939948896389003,-9.344579953655213,2.789702166716045e-23,-9.344579953655213,9.225492712239629e-21,-0.042556378406431325,-0.015856847888092242,-1.0,-0.027466957357777745,0.5079930076399811,0.5115557694963344,0.49481659662944877,205367,20536.7,0.011247524537410835
XRPUSDT,lin_slope_15,15,525524,-0.03503412675297528,-0.045768071370235135,-10.958473166175711,365,1.0,-9.573710573005975,-9.153130146804319,1.0313617481570487e-21,-9.153130146804319,5.530728904246489e-20,-0.04712865441749931,-0.015162382009191124,-1.0,-0.02747186337092985,0.5102160576153641,0.5138428537791675,0.4952884405538447,206195,13746.333333333334,0.008662583009092926
XRPUSDT,lin_slope_60,5,525534,-0.020201567340386334,-0.03313817149599402,-11.7985167604822,365,1.0,-7.778524867747896,-7.323238410987745,7.337507997205594e-15,-7.323238410987745,2.420571969515449e-13,-0.021107067342499057,-0.01877091658855604,-1.0,-0.029555514000438612,0.5102993858751279,0.514372302872752,0.49595012203763483,203216,40643.2,1.6847365984790383e-05
XRPUSDT,lin_slope_60,10,525529,-0.023530755118870386,-0.04025769888465817,-10.611832637527655,365,1.0,-6.629344077331914,-6.158240429278901,3.3718178965654075e-11,-6.158240429278901,7.35576250839106e-10,-0.02387976008695114,-0.022613162769988333,-1.0,-0.029588334313606707,0.5127503445052028,0.5171477030315215,0.49481659662944877,205367,20536.7,0.00013123769880548372
XRPUSDT,lin_slope_60,15,525524,-0.023837622217611886,-0.04296608873448324,-9.528490725546924,365,1.0,-5.586696814657823,-5.163699668847758,2.314292386634292e-08,-5.163699668847758,2.421160551305388e-07,-0.022514819165611467,-0.025449122475725058,-1.0,-0.029611308286863626,0.5131307742670773,0.5183220004689933,0.4952884405538447,206195,13746.333333333334,0.0010987179677206928
XRPUSDT,lin_slope_240,5,525355,-0.009632574217299563,-0.03500694080963309,-13.224913042415775,365,1.0,-3.70945305995952,-3.4810803074202923,0.00020770746000613766,-3.4810803074202923,0.0004993957355146554,-0.006077002528258262,-0.01545270797594028,-1.0,-0.04463075344151595,0.5102993858751279,0.5124038389222649,0.49595012203763483,203216,40643.2,1.6847365984790383e-05
XRPUSDT,lin_slope_240,10,525350,-0.012186148753809646,-0.04677339937790942,-12.645570504333998,365,1.0,-3.397317428634412,-3.1361448234849187,0.0006804997957137554,-3.1361448234849187,0.0017118464722485542,-0.007927146998722242,-0.019070130330864212,-1.0,-0.04467316574966872,0.5129792030852084,0.5157855797273139,0.49481659662944877,205367,20536.7,9.978393595858081e-05
XRPUSDT,lin_slope_240,15,525345,-0.013550141513429188,-0.054803612346840586,-12.18852291248158,365,1.0,-3.111681996386342,-2.8595595554065456,0.0018602476868630638,-2.8595595554065456,0.0042422975320255294,-0.008548578767638735,-0.021408155985823626,-1.0,-0.044684123369333535,0.512912534251558,0.5168091629619869,0.4952884405538447,206195,13746.333333333334,0.0013020328884528114
XRPUSDT,macd_line_12_26,5,525534,-0.03301903778896963,-0.0464207210904637,-15.179378726700987,365,1.0,-12.723627965270575,-11.912523384174932,4.370850666892029e-37,-11.912523384174932,1.0184765434506038e-32,-0.03917811719186354,-0.023218290171910502,-1.0,-0.027692814770459616,0.5121693173765846,0.5181331833544744,0.49595012203763483,203216,40643.2,4.7675401600384287e-07
