indicator,horizon,family,n_tickers,ic_mean,ic_std,ic_t_cross,frac_same_sign,ic_daily_t_mean,ic_train_mean,ic_test_mean,hit_rate_oos_mean,auc_oos_mean,z_combined,p_combined,q_value,q_value_by
ema_dist_60,15,tendance,6,-0.048775227173367804,0.008082325517283908,-14.78218347028833,1.0,-16.064476908310823,-0.05071639982655632,-0.04493107509280694,0.5210887606203076,0.5306875689737504,-26.704902675935255,4.128483996149839e-157,2.2240542817968487e-156,1.511204726506377e-155
force_index_13,15,volume,6,-0.04717252810829011,0.006472362241990523,-17.852620020672965,1.0,-14.441514273178013,-0.04956704842114224,-0.04296725599419935,0.5201149870993172,0.5280675762673422,-29.782639623514235,6.5563917909101795e-195,6.440690759305882e-194,4.3763330765314714e-193
ema_dist_30,15,tendance,6,-0.04675131766351265,0.00884389303450264,-12.948694950471253,1.0,-14.920083491138522,-0.05053962214142383,-0.04014632763052308,0.519591505698375,0.5279023016603677,-27.523569788621604,9.17161858964509e-167,5.967507679756091e-166,4.054813717866913e-165
ema_dist_60,10,tendance,6,-0.04625305716974964,0.008274399560358277,-13.692400068816594,1.0,-17.43512491203001,-0.047785506292314456,-0.04325127827959152,0.5203550303162592,0.5295324055593692,-30.07999144874498,8.852828282014059e-199,1.0314574347183822e-197,7.008567026867835e-197
zscore_60,15,statistique,6,-0.046042887119207655,0.008345926718451425,-13.513368081375786,1.0,-14.353556006240845,-0.04835070148762283,-0.04173490851903186,0.5199852288170622,0.5286012377041973,-25.840249680961346,3.1315876677197964e-147,1.3525219151100156e-146,9.190142199076106e-146
sma_dist_60,15,tendance,6,-0.04601309950829712,0.008078111977543373,-13.952346240378706,1.0,-14.696967167648495,-0.048396683151446844,-0.04146960778389152,0.519949458223508,0.5281542051682114,-24.987298923433002,8.401706326043387e-138,3.237888361036721e-137,2.200086677356389e-136
ema_gap_5_20,15,tendance,6,-0.04574687330004377,0.008326611834293934,-13.457634286654702,1.0,-14.010165980412198,-0.051059580817502954,-0.03658323887867978,0.5178634897541148,0.5253968864592532,-26.546259075559178,2.8367519977403278e-155,1.4355684352201053e-154,9.75442830817629e-154
sma_dist_30,15,tendance,6,-0.04555126358760069,0.008636301554947188,-12.919575841434716,1.0,-14.029083287128223,-0.0505622887444299,-0.03699990803429548,0.5183297569322078,0.52601490271019,-26.58175102743975,1.1035353869209606e-155,5.699703390179394e-155,3.872845538628042e-154
rsi_14,15,momentum,6,-0.045288540261059725,0.00885429087295272,-12.528819803510101,1.0,-14.55455890133392,-0.0492706907246007,-0.038436830077852965,0.5191816669004189,0.5270006306956126,-27.198934904099502,6.686053705528733e-163,4.0122474399990374e-162,2.7262496895269114e-161
macd_line_12_26,15,tendance,6,-0.04524304200289605,0.00781760146203208,-14.176006266965109,1.0,-13.903659439302857,-0.049418613397508575,-0.03771153857751186,0.5179602198886927,0.5257092951499184,-24.67047551543942,2.2192881493299745e-134,8.05698088995882e-134,5.4745730362481734e-133
di_diff_14,15,tendance,6,-0.04522887012326329,0.007398466637005954,-14.974407384695597,1.0,-14.05608833078724,-0.050370243269939836,-0.03651384251958077,0.5188574147468736,0.5263706180168293,-27.030819532123466,6.420298979834718e-161,3.6972066539048203e-160,2.5121851638161343e-159
force_index_13,10,volume,6,-0.044579604930582856,0.0075263341523776435,-14.508694778093608,1.0,-15.228378092431369,-0.045350092200056404,-0.043101589695934174,0.5198117384282473,0.5278347529125637,-32.31166483272408,4.796895677832725e-229,8.583016909264984e-228,5.832005013153801e-227
tsi_25_13,15,momentum,6,-0.04454899935820481,0.007817916590669311,-13.957979176883853,1.0,-13.705642259070023,-0.04879937332498443,-0.036934245606311984,0.5179913337543848,0.5253240893875247,-24.388608288779054,2.259081536403232e-131,7.859721178736245e-131,5.340538624233733e-130
ema_dist_30,10,tendance,6,-0.04443053336169847,0.009477543561269357,-11.483158587697377,1.0,-16.05879112008809,-0.04697241901834926,-0.03999807548729266,0.5197138743215669,0.5273816283613403,-30.37987174633957,1.0133208584547593e-202,1.2691843752145862e-201,8.623878663081662e-201
ichimoku_cloud_dist,15,tendance,6,-0.044166691362465364,0.007503886399881929,-14.417310137681662,1.0,-14.089441495935858,-0.04580787531976354,-0.040994657530240335,0.5213254369786684,0.5278163770604173,-24.226119948022436,1.180707377988669e-129,4.024043512736892e-129,2.734264907960005e-128
sma_dist_60,10,tendance,6,-0.0441354150668753,0.00796197937449509,-13.578187208836487,1.0,-16.18338011600734,-0.04643876807404083,-0.039885137955088995,0.5192584649442622,0.5272468364936316,-28.56425596100027,1.8686251815563703e-179,1.3972853969548382e-178,9.494301975626729e-178
macd_line_6_13,15,tendance,6,-0.04381737228894805,0.00840129713605206,-12.775432440891711,1.0,-13.619478779453814,-0.049283662481370456,-0.034507029792693905,0.5170966754470526,0.5240962500798282,-26.402940246982396,1.2676899167123727e-153,6.226594590910772e-153,4.2308585958707744e-152
vwap_dev_60,15,volume,6,-0.043597328296026305,0.007857747878305494,-13.590561841352503,1.0,-13.507369866523788,-0.04679557674586309,-0.03781749359379716,0.5188316749976095,0.5257018607413998,-24.093240944252443,2.942690404953616e-128,9.828585952545078e-128,6.678346687815697e-127
zscore_60,10,statistique,6,-0.04358322771043751,0.008590062903338835,-12.427926365079987,1.0,-15.554273166540789,-0.045423702551148644,-0.04017989035932403,0.5193122918338295,0.5276207730149307,-28.919971890836752,6.697632810077821e-184,5.592523396414981e-183,3.8000186681288004e-182
macd_signal_6_13_5,15,tendance,6,-0.043582040704497754,0.007572533144461425,-14.09749678722849,1.0,-13.099100602751472,-0.04984734357763218,-0.03276801766991535,0.5159603671869034,0.522798249297613,-25.38529500667032,3.665536356843611e-142,1.4930355404704466e-141,1.0144906911975439e-140
