lag_ms,corr,n,asset,horloge,horizon_s
-3000,0.03947287511603426,3406,btc,rx,1.0
-2900,0.0369862116892811,3406,btc,rx,1.0
-2800,0.04554987002886616,3406,btc,rx,1.0
-2700,0.04504757842873443,3406,btc,rx,1.0
-2600,0.04245142707840948,3406,btc,rx,1.0
-2500,0.044172691270144816,3406,btc,rx,1.0
-2400,0.024188111526979035,3406,btc,rx,1.0
-2300,0.025447069117059743,3406,btc,rx,1.0
-2200,0.01293944214054864,3406,btc,rx,1.0
-2100,0.017871815983169267,3406,btc,rx,1.0
-2000,0.021504741693849496,3406,btc,rx,1.0
-1900,0.04311787639743932,3406,btc,rx,1.0
-1800,0.04764111856003981,3406,btc,rx,1.0
-1700,0.05172828377040314,3406,btc,rx,1.0
-1600,0.0535577074419113,3406,btc,rx,1.0
-1500,0.061986526231659816,3406,btc,rx,1.0
-1400,0.08181996051225306,3406,btc,rx,1.0
-1300,0.09596156205288311,3406,btc,rx,1.0
-1200,0.08929007501945661,3406,btc,rx,1.0
-1100,0.0978031367392378,3406,btc,rx,1.0
-1000,0.10473016694258051,3406,btc,rx,1.0
-900,0.09398931079481883,3406,btc,rx,1.0
-800,0.10011517310862905,3406,btc,rx,1.0
-700,0.09887821425728908,3406,btc,rx,1.0
-600,0.1671517157658691,3406,btc,rx,1.0
-500,0.1677834613224399,3406,btc,rx,1.0
-400,0.21559706918504426,3406,btc,rx,1.0
-300,0.28097988763132203,3405,btc,rx,1.0
-200,0.37475371936750396,3405,btc,rx,1.0
-100,0.46507164103274456,3405,btc,rx,1.0
0,0.4833521638843546,3405,btc,rx,1.0
100,0.5212679685394127,3405,btc,rx,1.0
200,0.5677685916547613,3405,btc,rx,1.0
300,0.6458643086150707,3405,btc,rx,1.0
400,0.6584648259684323,3405,btc,rx,1.0
500,0.6649829557392297,3405,btc,rx,1.0
600,0.6792656942629418,3405,btc,rx,1.0
700,0.7138576601011035,3404,btc,rx,1.0
800,0.629943233115314,3404,btc,rx,1.0
900,0.5574503709791585,3404,btc,rx,1.0
1000,0.538024784927952,3404,btc,rx,1.0
1100,0.4987315565704505,3404,btc,rx,1.0
1200,0.4562659735058252,3404,btc,rx,1.0
1300,0.3847503344616586,3404,btc,rx,1.0
1400,0.34979945309592814,3404,btc,rx,1.0
1500,0.33258056095579697,3404,btc,rx,1.0
1600,0.29530319634790647,3404,btc,rx,1.0
1700,0.23286759981056954,3403,btc,rx,1.0
1800,0.17970314390188435,3403,btc,rx,1.0
1900,0.12909027659707065,3403,btc,rx,1.0
2000,0.13474058557268004,3403,btc,rx,1.0
2100,0.12127729865143749,3403,btc,rx,1.0
2200,0.11218239258507004,3403,btc,rx,1.0
2300,0.10431506493089987,3403,btc,rx,1.0
2400,0.10270108012516127,3403,btc,rx,1.0
2500,0.09922680656451831,3403,btc,rx,1.0
2600,0.09457320519923829,3403,btc,rx,1.0
