margin,trigger,valeur,l_star_ms,l_star_lo_ms,l_star_med_boot_ms,l_star_hi_ms,p_positive_at_0,n_opp,n_markets,l_half_edge_ms,l_star_raw_ms,l_sig_ms
0.0,tous,pnl,0.0,0.0,0.0,inf,0.179,5415,21,inf,0.0,
0.0,tous,markout,0.0,0.0,0.0,0.0,0.0085,5524,22,inf,0.0,
0.01,tous,pnl,0.0,0.0,0.0,inf,0.2215,4854,21,inf,0.0,
0.01,tous,markout,0.0,0.0,0.0,0.0,0.013,4959,22,inf,0.0,
0.02,tous,pnl,0.0,0.0,0.0,inf,0.247,4292,21,inf,0.0,
0.02,tous,markout,0.0,0.0,0.0,1038.877003549585,0.024,4391,22,inf,0.0,
0.0,carnet,pnl,0.0,0.0,0.0,1371.1425615624805,0.0285,1078,21,inf,0.0,
0.0,carnet,markout,0.0,0.0,0.0,0.0,0.0,1083,22,inf,0.0,
0.0,persistante,pnl,0.0,0.0,0.0,inf,0.184,4125,21,inf,0.0,
0.0,persistante,markout,0.0,0.0,0.0,1350.8151123375098,0.033,4229,22,inf,0.0,
0.0,saut,pnl,inf,766.5464026533881,inf,inf,0.9945,212,20,182.21495087023325,inf,25.0
0.0,saut,markout,833.3763340963263,124.3852100800308,788.7639715150498,4369.171725041473,1.0,212,20,182.21495087023325,296.4233366338591,100.0
0.01,carnet,pnl,0.0,0.0,0.0,inf,0.0335,1006,21,inf,0.0,
0.01,carnet,markout,0.0,0.0,0.0,0.0,0.0005,1017,22,inf,0.0,
0.01,persistante,pnl,0.0,0.0,0.0,inf,0.2615,3642,21,inf,0.0,
0.01,persistante,markout,0.0,0.0,0.0,1238.9717395592095,0.0325,3736,22,inf,0.0,
0.01,saut,pnl,inf,0.0,inf,inf,0.944,206,20,188.90263403717475,inf,
0.01,saut,markout,2075.3680772336666,127.97520504654051,1901.614412039208,inf,1.0,206,20,188.90263403717475,2075.3680772336666,100.0
0.02,carnet,pnl,0.0,0.0,0.0,inf,0.0155,942,21,inf,0.0,
0.02,carnet,markout,0.0,0.0,0.0,inf,0.001,957,22,inf,0.0,
0.02,persistante,pnl,0.0,0.0,0.0,inf,0.3175,3158,21,inf,0.0,
0.02,persistante,markout,0.0,0.0,0.0,1113.6546684063042,0.0355,3242,22,inf,0.0,
0.02,saut,pnl,inf,296.0323451685306,inf,inf,0.975,192,20,186.68221756004604,inf,25.0
0.02,saut,markout,3423.8390175956965,125.91605557236366,3220.015454910164,inf,1.0,192,20,186.68221756004604,3423.8390175956965,100.0
