source,mesure,n,p01,p10,median,p90,p99,note,offset_horloge_ms,corrige_median_ms
Binance ETHUSDT aggTrade,rx − E,8202,-32.50810146331787,-25.088047981262207,-7.3691606521606445,11.29271984100342,46.89662218093852,réception locale − heure d'événement Binance,128.146728515625,120.77756786346436
Binance ETHUSDT aggTrade,E − T,8202,0.0,0.0,0.9999275207519531,2.000093460083008,34.00015830993652,événement − trade (serveur),128.146728515625,
Binance BTCUSDT aggTrade,rx − E,16026,-32.6804518699646,-26.14283561706543,-7.374405860900879,10.901808738708496,28.812706470489502,réception locale − heure d'événement Binance,128.146728515625,120.77232265472412
Binance BTCUSDT aggTrade,E − T,16026,0.0,0.0,0.0,1.0001659393310547,26.999950408935547,événement − trade (serveur),128.146728515625,
Coinbase ETH-USD ticker,rx − time,2493,-101.24401092529297,-94.65208053588867,-74.67865943908691,-19.997119903564453,40.37229537963867,réception locale − heure du trade Coinbase,128.146728515625,53.468069076538086
Coinbase BTC-USD ticker,rx − time,12887,-100.51456451416016,-94.76385116577148,-75.73747634887695,-55.998039245605476,4.330887794494382,réception locale − heure du trade Coinbase,128.146728515625,52.40925216674805
RTDS crypto_prices btcusdt,rx − timestamp,3481,158.16912651062012,205.28054237365723,319.19407844543457,437.8845691680908,526.4780998229978,réception locale − horodatage de l'observation,128.146728515625,447.34080696105957
RTDS crypto_prices btcusdt,msg_ts − timestamp,3481,121.99997901916504,124.00007247924805,132.99989700317383,157.00006484985352,191.9999122619629,publication RTDS − observation (serveur),128.146728515625,
RTDS crypto_prices btcusdt,rx − msg_ts,3481,19.50979232788086,68.44282150268555,181.1814308166504,296.77844047546387,371.1021900177,réception locale − publication RTDS,128.146728515625,309.3281593322754
Chainlink btc/usd (RTDS),rx − timestamp,3437,858.1292819976807,1023.682975769043,1334.0990543365479,1725.5770206451416,2125.786838531494,réception locale − horodatage de l'observation,128.146728515625,1462.2457828521729
Chainlink btc/usd (RTDS),msg_ts − timestamp,3437,696.7200469970703,792.9999828338623,1091.0000801086426,1469.4000720977783,1847.9199695587154,publication RTDS − observation (serveur),128.146728515625,
Chainlink btc/usd (RTDS),rx − msg_ts,3437,76.19889259338379,113.48166465759277,245.89276313781738,356.8546772003174,426.13625526428217,réception locale − publication RTDS,128.146728515625,374.0394916534424
Polymarket CLOB BTC 15m,rx − ts,275293,-52.42109298706055,-48.814964294433594,-35.306692123413086,2.7206897735596454,601.4804649353042,réception locale − horodatage du message CLOB,128.146728515625,92.84003639221191
Polymarket CLOB BTC 5m,rx − ts,521979,-59.27043437957764,-51.77593231201172,-33.62774848937988,83.56914520263679,1682.5985860824412,réception locale − horodatage du message CLOB,128.146728515625,94.51898002624512
Polymarket CLOB ETH 5m,rx − ts,387879,-55.71638107299805,-52.72555351257324,-32.86147117614746,-7.348203659057598,253.32256793975787,réception locale − horodatage du message CLOB,128.146728515625,95.28525733947754
