slug,asset,duration,S,E,outcome_up,n_book_events,first_book_rx,last_book_rx,bn_max_gap_s,sigma_at_S_bp_per_s,fk_binance_pb,binance_says_up,spread_median_c,n_trades,pm_rx_ts_median_ms,n_react_5,n_react_10,runtime_s,n_opp_0c,n_opp_1c,n_opp_2c,official_up,binance_agrees,fk_chainlink_pb,diff_pb
btc-updown-15m-1790419500,btc,15m,1790419500,1790420400,True,129872,1790419363.0224118,1790420425.2766042,1.4027690887451172,0.22107062771399047,4.884209065361726,True,1.0000000000000009,707,-31.284570693969727,12,3,3.111564874649048,278,264,242,True,1.0,4.223748465861377,-0.6604605994731116
btc-updown-15m-1790420400,btc,15m,1790420400,1790421300,True,145707,1790420270.6619396,1790421325.5723271,1.1953141689300537,0.18877618109488634,0.4169553775454915,True,1.0000000000000009,836,-44.14081573486328,22,9,3.5371038913726807,406,353,304,True,1.0,,
btc-updown-5m-1790418900,btc,5m,1790418900,1790419200,False,56495,1790418758.112967,1790419229.9923868,1.3413751125335693,0.2159194372848512,-0.4910177139549887,False,1.0000000000000009,1359,-20.48778533935547,3,1,1.6465272903442383,158,125,104,False,1.0,,
btc-updown-5m-1790419200,btc,5m,1790419200,1790419500,True,51817,1790419060.6117268,1790419529.9994855,1.2950844764709473,0.22250965513864202,0.9768800313167958,True,1.0000000000000009,1287,-19.67024803161621,11,4,1.5286047458648682,163,143,127,True,1.0,,
btc-updown-5m-1790419500,btc,5m,1790419500,1790419800,True,37740,1790419362.9877913,1790419829.9827943,1.4027690887451172,0.22107062771399047,1.3316619556273204,True,1.0000000000000009,921,-29.705524444580078,4,1,1.2245962619781494,100,83,69,True,1.0,0.9595115771965368,-0.37215037840709897
btc-updown-5m-1790419800,btc,5m,1790419800,1790420100,False,58140,1790419665.4172096,1790420129.988205,1.3607451915740967,0.202633671604806,-0.0851303940028932,False,1.0000000000000009,1544,-35.465240478515625,4,3,2.017057180404663,262,249,237,False,1.0,-0.31588907566160174,-0.23075868172739433
btc-updown-5m-1790420100,btc,5m,1790420100,1790420400,True,46303,1790419968.2752738,1790420420.5064404,1.2057926654815674,0.1927541661848227,3.6376775037372986,True,1.0000000000000009,1117,-35.080671310424805,8,2,1.573488712310791,155,146,132,True,1.0,3.5801259643264416,-0.05755153933861834
btc-updown-5m-1790420400,btc,5m,1790420400,1790420700,False,69399,1790420270.6206067,1790420729.9983678,1.0349619388580322,0.18877618109488634,-1.4300807927156711,False,1.0000000000000009,1424,-41.3668155670166,12,8,2.0966458320617676,244,222,194,False,1.0,-1.5632281356836586,-0.13314734287561691
btc-updown-5m-1790420700,btc,5m,1790420700,1790421000,True,62579,1790420572.8139262,1790421029.99992,0.987065315246582,0.2687151234534338,0.5676050960990627,True,1.0000000000000009,1517,-38.23041915893555,8,5,2.10821270942688,230,210,195,True,1.0,,
btc-updown-5m-1790421000,btc,5m,1790421000,1790421300,True,46864,1790420875.191329,1790421329.9726994,1.1953141689300537,0.2802927955129573,1.2794310741621,True,1.0000000000000009,1104,-41.014790534973145,7,4,1.6525235176086426,206,192,171,True,1.0,,
btc-updown-5m-1790421300,btc,5m,1790421300,1790421600,True,52334,1790421177.6121604,1790421613.5924492,1.122143268585205,0.26534416007347683,1.9280834987209043,True,1.0000000000000009,941,-50.36914348602295,5,2,1.418461799621582,151,142,132,True,1.0,,
btc-updown-5m-1790421600,btc,5m,1790421600,1790421900,False,42391,1790421479.9082227,1790421929.991113,1.0831384658813477,0.23434761892183836,-2.242877261153353,False,1.0000000000000009,685,-56.61416053771973,3,0,1.1315598487854004,109,105,99,False,1.0,-2.5776864931614796,-0.3348092317700946
eth-updown-5m-1790418900,eth,5m,1790418900,1790419200,False,48832,1790418758.0757143,1790419217.4012847,3.0744593143463135,0.3639471806478896,0.1759870527469805,True,1.0000000000000009,266,-16.448974609375,11,7,1.912055492401123,462,426,363,False,0.0,,
eth-updown-5m-1790419200,eth,5m,1790419200,1790419500,True,43530,1790419060.6844237,1790419529.0722919,3.423922538757324,0.3826042405006972,0.403849136792663,True,1.0000000000000009,403,-27.229785919189453,10,8,2.2400543689727783,637,603,579,True,1.0,,
eth-updown-5m-1790419500,eth,5m,1790419500,1790419800,True,35058,1790419363.1058903,1790419829.9914842,3.6595935821533203,0.35165854415522885,4.28257481355369,True,1.0000000000000009,144,-30.63833713531494,2,1,0.887718677520752,141,105,58,True,1.0,,
eth-updown-5m-1790419800,eth,5m,1790419800,1790420100,False,39891,1790419665.5701702,1790420114.4609437,3.6595935821533203,0.3094659325471306,-6.071844655840172,False,1.0000000000000009,162,-30.900239944458008,7,2,1.3344478607177734,288,232,197,False,1.0,,
eth-updown-5m-1790420100,eth,5m,1790420100,1790420400,True,42861,1790419968.5453982,1790420408.0364075,3.0174195766448975,0.34174731467278363,1.2745796306508814,True,1.0000000000000009,236,-38.896799087524414,9,3,1.4308936595916748,298,264,228,True,1.0,,
