margin,trigger,latency_ms,hour,n_opp,n_filled,shares,pnl,markout,n_markets
0.0,carnet,0,2026-09-26 10:00:00+00:00,577,577,11980.74,-468.62660206999976,-319.27830207000005,13
0.0,carnet,0,2026-09-26 11:00:00+00:00,506,506,10899.0,-852.9734261000001,-453.7511261000001,11
0.0,carnet,25,2026-09-26 10:00:00+00:00,577,557,17645.65,-530.6805079700001,-495.57190797000004,13
0.0,carnet,25,2026-09-26 11:00:00+00:00,506,497,17651.88,-1487.8940460299998,-655.6333460300001,11
0.0,carnet,50,2026-09-26 10:00:00+00:00,577,551,18982.11,-862.6517393400001,-464.82368934000004,13
0.0,carnet,50,2026-09-26 11:00:00+00:00,506,497,19064.94,-1526.95959684,-657.5432968400002,11
0.0,carnet,100,2026-09-26 10:00:00+00:00,577,536,19750.71,-654.9965966999999,-535.4416467,13
0.0,carnet,100,2026-09-26 11:00:00+00:00,506,495,20389.09,-1489.7974531100003,-721.4595031100001,11
0.0,carnet,150,2026-09-26 10:00:00+00:00,577,524,20062.7,-992.34842177,-559.51887177,13
0.0,carnet,150,2026-09-26 11:00:00+00:00,506,491,20535.31,-1543.3758959900003,-755.4645959900001,11
0.0,carnet,200,2026-09-26 10:00:00+00:00,577,514,19594.01,-853.1435202799998,-526.88837028,13
0.0,carnet,200,2026-09-26 11:00:00+00:00,506,485,21089.79,-1495.6608358199999,-785.8551858200001,11
0.0,carnet,300,2026-09-26 10:00:00+00:00,577,505,20004.67,-741.51012832,-492.74247832,13
0.0,carnet,300,2026-09-26 11:00:00+00:00,506,486,20511.44,-1568.1340616,-788.8900616000001,11
0.0,carnet,500,2026-09-26 10:00:00+00:00,577,493,19505.62,-815.49985223,-332.31710223000005,13
0.0,carnet,500,2026-09-26 11:00:00+00:00,506,474,19630.8,-1108.6552039,-647.6937539000002,11
0.0,carnet,750,2026-09-26 10:00:00+00:00,577,477,18804.73,-1278.5239834600002,-261.40898346000006,13
0.0,carnet,750,2026-09-26 11:00:00+00:00,506,458,19710.44,-1350.4684162000003,-618.9502662000002,11
0.0,carnet,1000,2026-09-26 10:00:00+00:00,577,476,18900.75,-870.59789471,-225.83434471000004,13
0.0,carnet,1000,2026-09-26 11:00:00+00:00,506,450,18427.01,-918.6021907200003,-510.0651407200003,11
0.0,carnet,2000,2026-09-26 10:00:00+00:00,577,423,16788.26,-1063.3952259599998,-73.63502596000012,13
0.0,carnet,2000,2026-09-26 11:00:00+00:00,506,413,18257.1,-1180.9854140500001,-623.4401140500001,11
0.0,carnet,5000,2026-09-26 10:00:00+00:00,577,406,16714.33,-1087.92316185,-117.04366185000003,13
0.0,carnet,5000,2026-09-26 11:00:00+00:00,506,412,16393.18,-95.54771032000014,-452.85451032000014,11
0.0,persistante,0,2026-09-26 10:00:00+00:00,2264,2264,45857.63,-1414.1770566999996,-826.4087067000002,11
0.0,persistante,0,2026-09-26 11:00:00+00:00,1965,1965,41526.5,-3522.6649101700004,-1358.3834101700002,11
0.0,persistante,25,2026-09-26 10:00:00+00:00,2264,2231,74456.1,-469.68916348000016,-1360.1164134800001,11
0.0,persistante,25,2026-09-26 11:00:00+00:00,1965,1953,69300.74,-5379.26036651,-2249.76571651,11
0.0,persistante,50,2026-09-26 10:00:00+00:00,2264,2224,78700.74,-654.2567005600008,-1371.6985005600002,11
0.0,persistante,50,2026-09-26 11:00:00+00:00,1965,1944,74566.41,-5208.23139523,-2204.86039523,11
0.0,persistante,100,2026-09-26 10:00:00+00:00,2264,2220,83078.87,-153.3884823400008,-1310.84648234,11
0.0,persistante,100,2026-09-26 11:00:00+00:00,1965,1928,79008.96,-5385.9914046,-2214.3297546000003,11
0.0,persistante,150,2026-09-26 10:00:00+00:00,2264,2210,83553.0,-130.40073988000154,-1201.32898988,11
0.0,persistante,150,2026-09-26 11:00:00+00:00,1965,1918,79124.89,-5811.93445341,-2183.0777534100002,11
0.0,persistante,200,2026-09-26 10:00:00+00:00,2264,2203,85151.5,176.7418489700001,-981.8608510299999,11
0.0,persistante,200,2026-09-26 11:00:00+00:00,1965,1905,79977.11,-5370.181218330001,-2056.41111833,11
0.0,persistante,300,2026-09-26 10:00:00+00:00,2264,2188,86284.46,655.3139760499998,-695.76282395,11
0.0,persistante,300,2026-09-26 11:00:00+00:00,1965,1892,79842.22,-5234.204097379999,-2249.89274738,11
0.0,persistante,500,2026-09-26 10:00:00+00:00,2264,2167,84737.73,157.57002919999923,-799.0422708,11
0.0,persistante,500,2026-09-26 11:00:00+00:00,1965,1873,79303.16,-4545.21595662,-2008.54430662,11
0.0,persistante,750,2026-09-26 10:00:00+00:00,2264,2144,85111.84,609.3978773400008,-621.7310226600001,11
0.0,persistante,750,2026-09-26 11:00:00+00:00,1965,1851,77712.83,-5062.4337732700005,-1977.39027327,11
0.0,persistante,1000,2026-09-26 10:00:00+00:00,2264,2124,84969.15,981.7292446500003,-681.95780535,11
0.0,persistante,1000,2026-09-26 11:00:00+00:00,1965,1838,77988.3,-5688.48844184,-2082.33269184,11
0.0,persistante,2000,2026-09-26 10:00:00+00:00,2264,2063,80627.03,353.17161998999904,-1478.70268001,11
0.0,persistante,2000,2026-09-26 11:00:00+00:00,1965,1799,76503.73,-6071.51841089,-2579.32256089,11
0.0,persistante,5000,2026-09-26 10:00:00+00:00,2264,1863,76112.98,-536.4639901600008,-1399.39094016,11
0.0,persistante,5000,2026-09-26 11:00:00+00:00,1965,1676,72020.8,-4792.0681403300005,-2542.02834033,11
0.0,saut,0,2026-09-26 10:00:00+00:00,105,105,2734.15,230.40321691999998,151.78411691999997,11
