margin,trigger,latency_ms,market,n_opp,n_filled,shares,pnl,markout
0.0,carnet,0,btc-updown-15m-1790419500,25,25,473.28,49.11378696000002,-12.646213040000001
0.0,carnet,0,btc-updown-15m-1790420400,97,97,2158.39,-231.76494600999996,-103.51699600999999
0.0,carnet,0,btc-updown-5m-1790418900,52,52,1416.25,-41.93576146,-34.94931146
0.0,carnet,0,btc-updown-5m-1790419200,33,33,898.74,183.96188198000002,31.414681979999994
0.0,carnet,0,btc-updown-5m-1790419500,19,19,546.66,-41.558298090000015,-9.62479809
0.0,carnet,0,btc-updown-5m-1790419800,22,22,645.52,-23.96675044,-30.987950440000013
0.0,carnet,0,btc-updown-5m-1790420100,18,18,584.11,-226.65709009999998,-15.58924009999999
0.0,carnet,0,btc-updown-5m-1790420400,52,52,1504.82,-73.73965096,-164.28605096
0.0,carnet,0,btc-updown-5m-1790420700,49,49,1101.14,-78.87868975999997,-54.80098976000001
0.0,carnet,0,btc-updown-5m-1790421000,33,33,1064.73,-470.78203708999996,-35.11208709000004
0.0,carnet,0,btc-updown-5m-1790421300,16,16,361.33,-36.49990149,-2.445351490000008
0.0,carnet,0,btc-updown-5m-1790421600,5,5,109.63,,-3.0055433099999975
0.0,carnet,0,eth-updown-5m-1790418900,50,50,708.05,-141.49579340000003,-20.65154340000001
0.0,carnet,0,eth-updown-5m-1790419200,155,155,2971.53,15.152051360000002,-108.16184864000002
0.0,carnet,0,eth-updown-5m-1790419500,61,61,1035.22,-25.68374897999999,-2.1544489800000037
0.0,carnet,0,eth-updown-5m-1790419800,89,89,1761.77,-404.93467022,-76.89147022
0.0,carnet,0,eth-updown-5m-1790420100,49,49,823.61,186.48244232,-37.59150767999999
0.0,carnet,0,eth-updown-5m-1790420400,68,68,1196.58,70.54336700000002,-38.58013299999999
0.0,carnet,0,eth-updown-5m-1790420700,79,79,1500.93,22.916612920000016,-69.52853708
0.0,carnet,0,eth-updown-5m-1790421000,46,46,970.8199999999999,-39.19639113999999,23.13650885999998
0.0,carnet,0,eth-updown-5m-1790421300,42,42,596.69,34.495218519999995,5.386268519999997
0.0,carnet,0,eth-updown-5m-1790421600,23,23,449.94,6.215533219999976,-12.442866780000017
0.0,carnet,25,btc-updown-15m-1790419500,25,25,659.92,124.47014188000003,-9.76645812000001
0.0,carnet,25,btc-updown-15m-1790420400,97,95,3211.52,-511.05675743,-176.93675743
0.0,carnet,25,btc-updown-5m-1790418900,52,50,1946.51,-84.41300686,-46.22290685999999
0.0,carnet,25,btc-updown-5m-1790419200,33,33,1356.68,233.72177577000002,40.896375770000006
0.0,carnet,25,btc-updown-5m-1790419500,19,18,860.0,-85.70770000000002,-22.4077
0.0,carnet,25,btc-updown-5m-1790419800,22,22,770.91,148.22699146000002,-36.27825854000002
0.0,carnet,25,btc-updown-5m-1790420100,18,18,703.73,-283.1385772,-20.13852719999999
0.0,carnet,25,btc-updown-5m-1790420400,52,52,1838.27,-138.86780444,-190.29195443999998
0.0,carnet,25,btc-updown-5m-1790420700,49,49,2090.86,89.74376075999999,-83.48933924000002
0.0,carnet,25,btc-updown-5m-1790421000,33,33,1532.45,-760.03871931,-36.75266931000005
0.0,carnet,25,btc-updown-5m-1790421300,16,16,626.0,-65.31198599999999,-8.081986000000015
0.0,carnet,25,btc-updown-5m-1790421600,5,5,160.0,,-3.98621
0.0,carnet,25,eth-updown-5m-1790418900,50,49,1357.05,-223.85739660000002,-41.191146600000025
0.0,carnet,25,eth-updown-5m-1790419200,155,148,3831.03,5.096417439999911,-135.72448256000004
0.0,carnet,25,eth-updown-5m-1790419500,61,57,1706.81,-31.900435689999995,-13.32998569
0.0,carnet,25,eth-updown-5m-1790419800,89,86,2605.29,-600.73772326,-135.33802326
0.0,carnet,25,eth-updown-5m-1790420100,49,47,1731.72,264.66365709,-74.62614290999998
0.0,carnet,25,eth-updown-5m-1790420400,68,68,2216.92,73.0203544,-51.25494559999998
0.0,carnet,25,eth-updown-5m-1790420700,79,76,2638.56,19.76736223000001,-110.85213777
0.0,carnet,25,eth-updown-5m-1790421000,46,44,1538.07,-98.50619275,16.340557250000014
0.0,carnet,25,eth-updown-5m-1790421300,42,42,1239.23,-26.537511489999982,8.322438509999996
0.0,carnet,25,eth-updown-5m-1790421600,23,21,676.0,10.07500599999998,-20.094994000000028
0.0,carnet,50,btc-updown-15m-1790419500,25,24,529.92,95.86188524000002,-5.80371476
