latency_ms,n_opp,n_filled,fill_rate,shares,total,per_opp,per_share,n_groups,margin,trigger,valeur,per_opp_lo,per_opp_hi,per_hour,per_hour_lo,per_hour_hi,hours,mean_edge_fill_c,edge_per_hour
0,5415,5415,1.0,113166.29000000001,-4717.96205684,-0.871276464790397,-0.041690525127579946,21,0.0,tous,pnl,-2.8040005183002723,0.8869476038549589,-5496.654823502912,-17414.37023872602,5446.162186689898,0.8583333333333333,7.115544233032662,9359.811743629314
25,5415,5315,0.9815327793167128,179970.59000000003,-6058.52078533,-1.1188404035697137,-0.03366394912263164,21,0.0,tous,pnl,-3.8377493637742077,1.630941895939359,-7058.470817860194,-24470.869856251185,9955.3390091327,0.8583333333333333,7.363689356652873,15129.452828631875
50,5415,5285,0.9759926131117267,191656.53,-6429.351870080001,-1.1873225983527242,-0.03354621869695753,21,0.0,tous,pnl,-4.0424003941095155,1.7257409395943282,-7490.507033102915,-25970.024242337786,10457.990012947586,0.8583333333333333,7.483356825154161,16448.019174633315
100,5415,5221,0.9641735918744229,201814.18,-5944.997837720002,-1.097875870308403,-0.029457780606496543,21,0.0,tous,pnl,-4.287012335929554,2.1072188244527785,-6926.211073071848,-27222.342594489914,12823.843764646579,0.8583333333333333,7.663448616730145,17810.767516431566
150,5415,5168,0.9543859649122807,202671.51,-6876.366561490002,-1.269873787902124,-0.033928629443230586,21,0.0,tous,pnl,-4.506946472906688,1.9807527230542374,-8011.300848337867,-29087.444156977872,12087.227530951735,0.8583333333333333,7.8090082922096,18115.22473996825
200,5415,5116,0.9447830101569714,204341.93999999997,-5790.94723897,-1.0694270062733149,-0.028339494275967044,21,0.0,tous,pnl,-4.324365557922025,2.2008342718390654,-6746.73464734369,-27699.7626061302,13246.481769929962,0.8583333333333333,7.924336983368742,18507.069097488467
300,5415,5060,0.9344413665743305,204917.00999999998,-5014.761612870003,-0.9260870937894742,-0.0244721588162447,21,0.0,tous,pnl,-4.310983461678296,2.446750084634003,-5842.440714023304,-27167.50933003136,15131.087469723772,0.8583333333333333,8.109331624437186,19268.760755617328
500,5415,4967,0.9172668513388735,200869.29,-4486.7751098399995,-0.8285826610969528,-0.022336789809134085,21,0.0,tous,pnl,-4.143150050446275,2.432233778914397,-5227.310807580582,-26080.983912272935,15410.933518202606,0.8583333333333333,8.38015281878194,19177.70479775824
750,5415,4885,0.9021237303785781,198759.38,-5155.2293051100005,-0.9520275725041553,-0.025937036557016832,21,0.0,tous,pnl,-4.234002858516516,2.2405748946210644,-6006.092394302914,-26438.254435501756,13679.449771734136,0.8583333333333333,8.619130469187951,19407.510378878804
1000,5415,4846,0.894921514312096,197448.39,-4582.182957310001,-0.846201838838412,-0.02320699073469275,21,0.0,tous,pnl,-4.103225120740793,2.2737944449336287,-5338.4655813320405,-25813.60864310564,14423.307684708881,0.8583333333333333,8.746409493958692,19822.875596752274
2000,5415,4654,0.8594644506001847,189554.03,-6223.614028710001,-1.149328537157895,-0.032832929105806936,21,0.0,tous,pnl,-4.159392862149682,1.9150159766261754,-7250.812460633011,-25953.90986585009,11897.674641053838,0.8583333333333333,9.512624592046858,20759.270527155666
5000,5415,4323,0.7983379501385042,179198.88,-5032.892687330001,-0.9294353993222532,-0.028085514191439145,21,0.0,tous,pnl,-3.70743144746368,1.9566881165268932,-5863.564295918448,-23429.79092872517,12320.432055440358,0.8583333333333333,11.00450575732028,23482.700311316785
0,5524,5524,1.0,115711.78,-2638.0994810400007,-0.4775705070673426,-0.022798884271247065,22,0.0,tous,markout,-0.9540532178697674,-0.0638471191527827,-3073.513958493205,-5819.407735317088,-465.4355052926254,0.8583333333333333,7.096964946639628,9537.12039780494
25,5524,5424,0.9818971759594497,184224.09999999998,-4476.1639799700015,-0.8103120890604637,-0.02429738552105833,22,0.0,tous,markout,-1.430656172128849,-0.25000640205876323,-5214.948326178643,-8813.864146981454,-1743.658763183883,0.8583333333333333,7.3435595269128795,15460.579821256859
50,5524,5394,0.9764663287472846,196257.19,-4405.428488280001,-0.7975069674656048,-0.022447220854838495,22,0.0,tous,markout,-1.4623906778631748,-0.18479244839269043,-5132.53804459806,-9080.30446684835,-1286.4021686193228,0.8583333333333333,7.459018588117386,16795.85708352374
100,5524,5330,0.9648805213613324,206424.27000000002,-4623.00996585,-0.8368953594949312,-0.022395670653697842,22,0.0,tous,markout,-1.5798410586763716,-0.17317421162170207,-5386.031028174758,-9755.850068676991,-1195.3391084656298,0.8583333333333333,7.636091814505351,18162.48174124764
150,5524,5277,0.9552860246198407,207104.34,-4572.99322766,-0.8278409173895728,-0.02208062480805569,22,0.0,tous,markout,-1.5706914354469768,-0.1519713279507653,-5327.759100186408,-9602.648325442717,-1122.6978216815533,0.8583333333333333,7.7804804808612165,18467.670059966807
200,5524,5225,0.9458725561187545,209032.34,-4255.10825741,-0.7702947605738595,-0.02035621979551107,22,0.0,tous,markout,-1.5188335945166436,-0.06597448536149522,-4957.407678535923,-9308.266775802816,-404.0514757692249,0.8583333333333333,7.893297751249742,18878.526716820827
300,5524,5169,0.9357349746560464,209576.35,-4230.8456319100005,-0.7659025401719769,-0.020187610061488333,22,0.0,tous,markout,-1.550305558361504,-0.02368172701827623,-4929.140542031068,-9564.01651805272,-155.91352684980603,0.8583333333333333,8.074470451347956,19635.89027073309
500,5524,5076,0.9188993482983345,205371.51,-3741.3248368799996,-0.6772854520057928,-0.018217350775090468,22,0.0,tous,markout,-1.4888092382742149,0.08182547049595494,-4358.825052675728,-9147.150417254565,509.05989967689266,0.8583333333333333,8.342080258915551,19530.568511406047
750,5524,4994,0.9040550325850832,203662.49,-3463.2235605900005,-0.6269412673044896,-0.017004719723253903,22,0.0,tous,markout,-1.4334388538325407,0.14462042525925997,-4034.8235657359232,-8750.877942007575,949.9812969180575,0.8583333333333333,8.577688643441842,19802.762211697565
1000,5524,4955,0.8969949312092687,202614.93,-3532.6787993400003,-0.6395146269623462,-0.017435431827950685,22,0.0,tous,markout,-1.4346358511154578,0.1171319506356763,-4115.742290493205,-8803.935430155436,802.2044570761163,0.8583333333333333,8.700429596587135,20231.29624757212
2000,5524,4763,0.862237509051412,194738.89,-4822.688894560001,-0.8730428846053586,-0.024764898755251202,22,0.0,tous,markout,-1.6853673684177573,-0.1735884671367355,-5618.666673273789,-10269.699943365153,-1145.939736816128,0.8583333333333333,9.449650849202502,21175.148835769734
5000,5524,4423,0.8006879073135409,183716.15000000002,-4651.38570427,-0.8420321694913107,-0.025318327780491805,22,0.0,tous,markout,-1.6566302802843424,-0.11322064419150074,-5419.090140897088,-10116.791140128636,-830.7406831689354,0.8583333333333333,10.928982425916729,23903.0004888806
0,4854,4854,1.0,101310.06,-3915.518760090001,-0.8066581705995057,-0.03864886428939042,21,0.01,tous,pnl,-2.870347318699528,1.0766297016008282,-4561.769429231069,-15790.454226244083,6036.903352881552,0.8583333333333333,7.9201419130191075,9363.233284631697
25,4854,4762,0.9810465595385249,161898.68,-4984.432850140001,-1.0268712093407502,-0.030787359416024895,21,0.01,tous,pnl,-3.94309878406276,1.8824150366258448,-5807.106233172817,-22163.705106819918,10218.638173305397,0.8583333333333333,8.163152882475952,15043.045920845045
50,4854,4729,0.9742480428512567,171998.78000000003,-5019.24282793,-1.0340426097919242,-0.0291818513359804,21,0.01,tous,pnl,-4.067288152900131,2.071941219071198,-5847.661547102914,-22829.810300031564,11303.383403623107,0.8583333333333333,8.295518255885067,16325.83192486637
100,4854,4645,0.9569427276473012,180424.61,-4620.555045460001,-0.9519066842727648,-0.025609339244019987,21,0.01,tous,pnl,-4.323678020150917,2.4831466213447726,-5383.170926749515,-24177.761913962648,13802.891503688717,0.8583333333333333,8.521154244702448,17612.3570478149
150,4854,4600,0.9476720230737536,180750.28999999998,-5430.839827260001,-1.1188380361063042,-0.030046091916422383,21,0.01,tous,pnl,-4.492015005898016,2.365716158965463,-6327.192031759225,-25436.203118257297,12761.80649270328,0.8583333333333333,8.662470656442924,17874.34507181001
200,4854,4556,0.938607334157396,182381.45999999996,-4413.79478824,-0.9093108340008241,-0.024200896232764016,21,0.01,tous,pnl,-4.312555011600448,2.497698455585862,-5142.285190182525,-24370.348400460884,13701.67394396531,0.8583333333333333,8.773535003407078,18227.478404382073
300,4854,4503,0.9276885043263288,183091.2,-3657.262719060003,-0.753453382583437,-0.019975087383009137,21,0.01,tous,pnl,-4.239802203977422,2.7538874131228086,-4260.8886047301,-23494.490169308458,15600.433444929295,0.8583333333333333,8.966129936934195,18963.432073710126
500,4854,4407,0.9079110012360939,178872.72,-3243.352066790001,-0.6681813075381131,-0.018132178382427467,21,0.01,tous,pnl,-4.116002922932439,2.7690105066923207,-3778.6626020854383,-23084.07668651389,15544.494683374049,0.8583333333333333,9.261855267553335,18785.77429071973
750,4854,4343,0.8947259991759374,176962.0,-3951.842254780001,-0.8141413792295017,-0.022331586751845035,21,0.01,tous,pnl,-4.2169841665955445,2.484363619225976,-4604.08806382136,-23298.315828251372,13963.367216300074,0.8583333333333333,9.48239999895877,18975.0812872149
1000,4854,4293,0.88442521631644,175958.39,-3610.3988513899994,-0.7437986920869385,-0.020518480826006644,21,0.01,tous,pnl,-4.0655668528028635,2.4945580713760287,-4206.289923949515,-22470.638184401665,14121.88376897824,0.8583333333333333,9.641501269495102,19380.590485301662
2000,4854,4156,0.8562010712814174,169008.44999999998,-4586.678569710001,-0.9449275998578495,-0.027138752942293724,21,0.01,tous,pnl,-4.0034965874093285,2.2457500473474132,-5343.703188011652,-22222.370239213986,12371.825270078085,0.8583333333333333,10.346635982780436,20138.046420319337
5000,4854,3859,0.7950144210960033,160074.8,-3029.8078959900004,-0.6241878648516688,-0.01892745076670407,21,0.01,tous,pnl,-3.5157316632054996,2.367034743722674,-3529.873276881554,-19552.835470392256,13378.445801476284,0.8583333333333333,11.943459389617516,22769.789691799157
