debut,fin,rotation,rotations,detenteur,inverse,panier
2024-01-20,2025-01-14,0.7714931444331564,1,7.613359271332197,4.194781220007441,1.840218253130174
2024-02-19,2025-02-13,0.8097588640886951,1,0.7861759078229965,0.8668243412236613,0.8936080789029702
2024-03-20,2025-03-15,0.15983150697696294,0,0.15983150697696294,0.15983150697696294,0.31976414517386276
2024-04-19,2025-04-14,0.12062251996319781,0,0.12062251996319781,0.12062251996319781,0.4053734168483402
2024-05-19,2025-05-14,0.17132354724290216,0,0.17132354724290216,0.17132354724290216,0.7397975558075746
2024-06-18,2025-06-13,1.0050927886949643,2,1.064590784395907,0.8619938821890806,0.5985848965154207
2024-07-18,2025-07-13,0.1605350296151306,0,0.1605350296151306,0.1605350296151306,0.6728271150115832
2024-08-17,2025-08-12,0.5472415419075257,3,0.8920245773159651,0.8858609391040547,0.9391847900268007
2024-09-16,2025-09-11,0.6069989311984598,3,0.947394705680763,0.9429770501402647,0.9036503316441975
2024-10-16,2025-10-11,0.09873574619036324,0,0.09873574619036324,0.09873574619036324,0.3745270561060397
2024-11-15,2025-11-10,0.11781756546925405,1,0.13453665170079793,0.09710987248005451,0.28535391313439873
2024-12-15,2025-12-10,0.1278642120785382,1,0.11256952252363023,0.16160211468821864,0.2793429891299324
2025-01-14,2026-01-09,0.29909636597928846,2,0.1736935222529526,0.42913920894457025,0.47217123161688407
2025-02-13,2026-02-08,0.5199473764929656,2,0.2791944820169408,0.5969271794388358,0.5507976675510626
2025-03-15,2026-03-10,0.6469961804375008,1,0.20049150825272707,1.8801040386908339,0.650817759467009
2025-04-14,2026-04-09,0.3260341762275664,1,0.43209970371828077,0.2900001441711928,0.700926586670525
2025-05-14,2026-05-09,0.35266009745894294,1,0.32843005388561475,0.33746021193029896,0.4164228488242576
2025-06-13,2026-06-08,0.402897685246875,0,0.402897685246875,0.402897685246875,0.4280525928362785
2025-07-13,2026-07-08,1.4165318411230567,2,0.6407367503606132,0.8305937202953215,0.3104159150329726
2025-08-12,2026-08-07,1.663325420673303,3,0.728631201065198,0.9115430763396476,0.28605012855498896
2025-09-11,2026-09-06,2.0067024372046065,2,0.7706156545653419,1.1550086886729407,0.442312945463381
