univers,forme,declencheur,k,rotation_x,detenteur_x,rotations,placebo_median_x,part_placebos_battus,fenetres_gagnees,fenetres_perdues,fenetres_egales,rotations_par_fenetre,p_signe
Binance « Meme »,F0,3 × le plus bas des 30 derniers jours,2,0.4168490996415977,1.9224013148282184,2,0.4501267520606582,0.47,9,6,6,1.2380952380952381,0.6072387695312499
Binance « Meme »,F0,3 × le plus bas des 30 derniers jours,5,0.5069063642441001,1.1216774292580132,6,0.7195125704074299,0.24,10,10,1,2.4285714285714284,1.0
Binance « Meme »,F1,3 × le plus bas de la fourchette de 60 jours,2,0.4168490996415977,1.9224013148282184,2,0.5478312183629955,0.33,8,8,5,1.1904761904761905,1.0
Binance « Meme »,F1,3 × le plus bas de la fourchette de 60 jours,5,0.47619581022184304,1.1216774292580132,11,0.8350210955828679,0.11,10,10,1,2.9523809523809526,1.0
Binance « Meme »,F2,3 × le prix d'achat,2,0.49797551865408934,1.9224013148282184,1,0.4768083364649817,0.62,0,5,16,0.23809523809523808,0.0625
Binance « Meme »,F2,3 × le prix d'achat,5,0.33173577127694553,1.1216774292580132,4,0.5965648280039564,0.04,5,8,8,1.0,0.5810546875
Binance « Meme »,F3,haut de fourchette (≥ 90 %) et 2 × son plus bas,2,0.3728046555851206,1.9224013148282184,6,0.7730705850177696,0.26,7,13,1,2.0952380952380953,0.26317596435546875
Binance « Meme »,F3,haut de fourchette (≥ 90 %) et 2 × son plus bas,5,0.5396644999791654,1.1216774292580132,12,0.6969398418552908,0.31,3,18,0,4.190476190476191,0.0014896392822265625
community coins,F0,3 × le plus bas des 30 derniers jours,2,2.214361247889302,2.214361247889302,0,2.214361247889302,0.0,4,6,11,0.5714285714285714,0.75390625
community coins,F0,3 × le plus bas des 30 derniers jours,5,1.2139080478092386,1.22408946656881,1,1.2026115483232733,0.66,5,4,12,0.8095238095238095,1.0
community coins,F1,3 × le plus bas de la fourchette de 60 jours,2,4.686062878003839,2.214361247889302,3,1.9504324527736987,0.79,7,8,6,1.0476190476190477,1.0
community coins,F1,3 × le plus bas de la fourchette de 60 jours,5,1.094228041533284,1.22408946656881,3,1.1011906487801038,0.47,5,14,2,1.619047619047619,0.063568115234375
community coins,F2,3 × le prix d'achat,2,13.52776342194731,2.214361247889302,3,3.8766297751051195,0.95,5,6,10,0.8095238095238095,1.0
community coins,F2,3 × le prix d'achat,5,0.4343446972370145,1.22408946656881,2,0.44851487747334245,0.29,2,9,10,0.9047619047619048,0.0654296875
community coins,F3,haut de fourchette (≥ 90 %) et 2 × son plus bas,2,0.806261948250277,2.214361247889302,3,1.1101761367484424,0.26,7,9,5,1.8095238095238095,0.803619384765625
community coins,F3,haut de fourchette (≥ 90 %) et 2 × son plus bas,5,1.0900853729266466,1.22408946656881,4,0.9994916420141231,0.55,11,6,4,2.857142857142857,0.332305908203125
