variante,mult,low_win,range_win,bottom,k,total_x,cagr,vol,sharpe,max_dd,days,rotations,exces_log_an,sharpe_exces,a_priori
mult=2 low=14 range=30 bottom=0.1 k=1,2.0,14,30,0.1,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=2 low=14 range=30 bottom=0.1 k=2,2.0,14,30,0.1,2,1.9963260047558884,0.29400251953381495,1.2349127947290044,0.8025064492570863,-0.9239400696784011,979,5,0.34091545167203785,0.6001155676033261,False
mult=2 low=14 range=30 bottom=0.1 k=3,2.0,14,30,0.1,3,1.3673489400386802,0.12372442852050969,1.1982846116585535,0.6778004135528641,-0.9248091755634988,979,8,0.19982385956263723,0.3742888552486356,False
mult=2 low=14 range=30 bottom=0.2 k=1,2.0,14,30,0.2,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=2 low=14 range=30 bottom=0.2 k=2,2.0,14,30,0.2,2,1.9696833293953682,0.2875367735556873,1.2390075376809566,0.7988059347985529,-0.9208545944072233,979,5,0.335906223638591,0.5842790738637789,False
mult=2 low=14 range=30 bottom=0.2 k=3,2.0,14,30,0.2,3,1.3495871564650024,0.11825986830075386,1.2022265791577214,0.6744134435554242,-0.9218597981011394,979,8,0.19494909656912407,0.36052622381708965,False
mult=2 low=14 range=30 bottom=0.3 k=1,2.0,14,30,0.3,1,1.106067424183174,0.03830051415762403,1.1604735987214934,0.5731921052101748,-0.9099202565894875,979,2,0.1207605640246476,0.16580462228730167,False
mult=2 low=14 range=30 bottom=0.3 k=2,2.0,14,30,0.3,2,0.6133267688298463,-0.1666157238727941,1.0588641707747382,0.34321190161277176,-0.9236138045586235,979,7,-0.09908511880403224,-0.17237158459855834,False
mult=2 low=14 range=30 bottom=0.3 k=3,2.0,14,30,0.3,3,0.4453494494213068,-0.26035152111873516,1.013199422377215,0.20146576772191785,-0.9322274356510301,979,10,-0.2184049256788291,-0.4142684628855732,False
mult=2 low=14 range=60 bottom=0.1 k=1,2.0,14,60,0.1,1,0.3197791307633519,-0.34627731219111024,1.483946153120748,0.39247572163979544,-0.9768281386295392,979,4,-0.34189673370018336,-0.3472340961755695,False
mult=2 low=14 range=60 bottom=0.1 k=2,2.0,14,60,0.1,2,2.0692798380387862,0.31143478307583883,1.2472881622409309,0.8128621292716163,-0.9111544953793603,979,4,0.3542971006217953,0.5920463458169875,False
mult=2 low=14 range=60 bottom=0.1 k=3,2.0,14,60,0.1,3,1.6581316527196093,0.20748133865465412,1.2114120989315702,0.7345908158742069,-0.9125077012954614,979,4,0.27171196040058454,0.52092449738069,False
mult=2 low=14 range=60 bottom=0.2 k=1,2.0,14,60,0.2,1,0.3197791307633519,-0.34627731219111024,1.483946153120748,0.39247572163979544,-0.9768281386295392,979,4,-0.34189673370018336,-0.3472340961755695,False
mult=2 low=14 range=60 bottom=0.2 k=2,2.0,14,60,0.2,2,2.0692798380387862,0.31143478307583883,1.2472881622409309,0.8128621292716163,-0.9111544953793603,979,4,0.3542971006217953,0.5920463458169875,False
mult=2 low=14 range=60 bottom=0.2 k=3,2.0,14,60,0.2,3,1.6581316527196093,0.20748133865465412,1.2114120989315702,0.7345908158742069,-0.9125077012954614,979,4,0.27171196040058454,0.52092449738069,False
mult=2 low=14 range=60 bottom=0.3 k=1,2.0,14,60,0.3,1,0.3197791307633519,-0.34627731219111024,1.483946153120748,0.39247572163979544,-0.9768281386295392,979,4,-0.34189673370018336,-0.3472340961755695,False
mult=2 low=14 range=60 bottom=0.3 k=2,2.0,14,60,0.3,2,0.18563273665223404,-0.4662561203218697,1.2835063298455305,0.14298163869297006,-0.9793546493112496,979,7,-0.5446638726445144,-0.762955705320755,False
mult=2 low=14 range=60 bottom=0.3 k=3,2.0,14,60,0.3,3,0.4542138224479991,-0.2548965496592741,1.216053024432643,0.347170026851758,-0.9425831459848901,979,9,-0.2110569022191948,-0.33427291102055623,False
mult=2 low=14 range=90 bottom=0.1 k=1,2.0,14,90,0.1,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=2 low=14 range=90 bottom=0.1 k=2,2.0,14,90,0.1,2,2.3273079136977395,0.3701682696630746,1.2532856905387744,0.8430411943623334,-0.9131950873830433,979,0,0.3981088653750241,0.7197345826792307,False
mult=2 low=14 range=90 bottom=0.1 k=3,2.0,14,90,0.1,3,1.754852592619969,0.23327547797890102,1.167326549846552,0.7368589352078092,-0.9088822095203877,979,0,0.2928489286406556,0.5942632640799831,False
mult=2 low=14 range=90 bottom=0.2 k=1,2.0,14,90,0.2,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=2 low=14 range=90 bottom=0.2 k=2,2.0,14,90,0.2,2,2.3273079136977395,0.3701682696630746,1.2532856905387744,0.8430411943623334,-0.9131950873830433,979,0,0.3981088653750241,0.7197345826792307,False
mult=2 low=14 range=90 bottom=0.2 k=3,2.0,14,90,0.2,3,1.754852592619969,0.23327547797890102,1.167326549846552,0.7368589352078092,-0.9088822095203877,979,0,0.2928489286406556,0.5942632640799831,False
mult=2 low=14 range=90 bottom=0.3 k=1,2.0,14,90,0.3,1,0.8381836157763566,-0.06369231847554091,1.363905447443346,0.6001438163229096,-0.9718474148802018,979,1,0.017364171562146414,0.021408012516479127,False
mult=2 low=14 range=90 bottom=0.3 k=2,2.0,14,90,0.3,2,0.837009448928805,-0.06418154532967968,1.2320251043142971,0.5337660088684894,-0.9588441600021076,979,1,0.016841528503204684,0.028219859996590792,False
mult=2 low=14 range=90 bottom=0.3 k=3,2.0,14,90,0.3,3,0.7613202827740095,-0.09667330885657355,1.125153463679751,0.45122415514823555,-0.9487800446406462,979,1,-0.018495698275570148,-0.035753893007056864,False
mult=2 low=30 range=30 bottom=0.1 k=1,2.0,30,30,0.1,1,0.05080993652970979,-0.6707395332405697,1.704772429471408,0.15516773496396594,-0.9964989540643215,979,6,-1.0277308406561643,-0.8011561992190259,False
mult=2 low=30 range=30 bottom=0.1 k=2,2.0,30,30,0.1,2,0.20476803378531003,-0.4463717125205493,1.112450376581847,0.009267932760519541,-0.9743444369830442,979,8,-0.5080864701527793,-0.8125347523298584,False
mult=2 low=30 range=30 bottom=0.1 k=3,2.0,30,30,0.1,3,0.285940721001647,-0.3729766693659454,1.1313131906321534,0.16418219459761615,-0.9482193444686364,979,11,-0.3835962205930945,-0.48628126259483256,False
mult=2 low=30 range=30 bottom=0.2 k=1,2.0,30,30,0.2,1,1.083189881378628,0.03024115283794493,1.1606795734849724,0.56662254210679,-0.9117834370255431,979,2,0.1129682123122368,0.15501698092898866,False
mult=2 low=30 range=30 bottom=0.2 k=2,2.0,30,30,0.2,2,0.5499096095845188,-0.1998471435891911,1.0647754609526219,0.30262444252293536,-0.93297918563223,979,8,-0.13977719054662394,-0.2226135650775604,False
mult=2 low=30 range=30 bottom=0.2 k=3,2.0,30,30,0.2,3,0.4925679386933514,-0.2320334039802494,1.005817876332721,0.23415109286860358,-0.9138926327525996,979,11,-0.18083373304061645,-0.2904538269069595,False
mult=2 low=30 range=30 bottom=0.3 k=1,2.0,30,30,0.3,1,1.106067424183174,0.03830051415762403,1.1604735987214934,0.5731921052101748,-0.9099202565894875,979,2,0.1207605640246476,0.16580462228730167,False
mult=2 low=30 range=30 bottom=0.3 k=2,2.0,30,30,0.3,2,0.5874412674678489,-0.17990691256564573,1.072257096830069,0.33164274677878913,-0.9284552164822915,979,6,-0.11516211539976114,-0.18572333477195022,False
mult=2 low=30 range=30 bottom=0.3 k=3,2.0,30,30,0.3,3,0.39434689088433633,-0.2931429611660098,1.0091388906168548,0.14993588394637816,-0.9384941015050021,979,10,-0.2637515331822673,-0.4722209309081524,False
mult=2 low=30 range=60 bottom=0.1 k=1,2.0,30,60,0.1,1,0.21550548299947042,-0.4357213026661083,1.4706004291951376,0.28488057994958244,-0.9768281386295392,979,4,-0.48903169681837255,-0.5048263914436842,False
mult=2 low=30 range=60 bottom=0.1 k=2,2.0,30,60,0.1,2,0.6713479013621338,-0.13805215588131536,1.042858430020511,0.35989583272075104,-0.9166809069266963,979,6,-0.06538520730604402,-0.1055490924356492,False
mult=2 low=30 range=60 bottom=0.1 k=3,2.0,30,60,0.1,3,0.5158194578733757,-0.21871282992395402,1.0774679078996627,0.29354708019178755,-0.9432766189046103,979,11,-0.16363719286024656,-0.30072472817945517,False
mult=2 low=30 range=60 bottom=0.2 k=1,2.0,30,60,0.2,1,0.00815813771732744,-0.8335132404060144,1.565883544702284,-0.3872871448631397,-0.99776233272346,979,4,-1.709664186175999,-1.3942232006779287,False
mult=2 low=30 range=60 bottom=0.2 k=2,2.0,30,60,0.2,2,0.5456740095479825,-0.2021504879267333,1.038357123292301,0.28265024522495197,-0.9277527555158515,979,6,-0.1426599721721304,-0.22888850685655543,False
mult=2 low=30 range=60 bottom=0.2 k=3,2.0,30,60,0.2,3,0.40887637018133993,-0.2835430891844123,1.065227896501041,0.19989698613834966,-0.953587929346406,979,9,-0.2502618634456225,-0.46882721576689207,False
mult=2 low=30 range=60 bottom=0.3 k=1,2.0,30,60,0.3,1,0.00815813771732744,-0.8335132404060144,1.565883544702284,-0.3872871448631397,-0.99776233272346,979,4,-1.709664186175999,-1.3942232006779287,False
mult=2 low=30 range=60 bottom=0.3 k=2,2.0,30,60,0.3,2,0.02198653073927344,-0.7590609184859316,1.210592429025045,-0.5704436682022546,-0.9923314068720988,979,7,-1.3400358427389896,-2.08236219922646,False
mult=2 low=30 range=60 bottom=0.3 k=3,2.0,30,60,0.3,3,0.369231745044728,-0.31027439255436173,1.0122464011277905,0.12469010709274583,-0.9384509586050146,979,9,-0.2882861223455786,-0.5011207772894063,False
mult=2 low=30 range=90 bottom=0.1 k=1,2.0,30,90,0.1,1,1.1271903197247928,0.04564942890365242,1.1607723674091834,0.5796667518843288,-0.9081999771843858,979,2,0.12781346395998897,0.17565046813437019,False
mult=2 low=30 range=90 bottom=0.1 k=2,2.0,30,90,0.1,2,0.6756379519754729,-0.13600270362355504,1.1163613341176613,0.40099048729121956,-0.9413129988178521,979,6,-0.06301033087118402,-0.10527050980322311,False
mult=2 low=30 range=90 bottom=0.1 k=3,2.0,30,90,0.1,3,0.5003439004781493,-0.22753556914895046,1.0776832526025055,0.28087804514380216,-0.9472712226428849,979,8,-0.17499400697034498,-0.3479762722243128,False
mult=2 low=30 range=90 bottom=0.2 k=1,2.0,30,90,0.2,1,1.0380818134799696,0.014031885929727927,1.1638105639504148,0.5548653700530013,-0.9154571038321176,979,2,0.09710965887037468,0.13347610784660457,False
mult=2 low=30 range=90 bottom=0.2 k=2,2.0,30,90,0.2,2,0.5501462173668534,-0.19971880352237736,1.1220773166584115,0.33279807476616097,-0.9533878820896523,979,9,-0.1396168089715666,-0.23630357890650017,False
mult=2 low=30 range=90 bottom=0.2 k=3,2.0,30,90,0.2,3,0.4132074669744123,-0.2807229575303073,1.0585453298872467,0.19902849897634073,-0.9560216974889597,979,11,-0.24633337060112775,-0.47003526102829296,False
mult=2 low=30 range=90 bottom=0.3 k=1,2.0,30,90,0.3,1,1.083189881378628,0.03024115283794493,1.1606795734849724,0.56662254210679,-0.9117834370255431,979,2,0.1129682123122368,0.15501698092898866,False
mult=2 low=30 range=90 bottom=0.3 k=2,2.0,30,90,0.3,2,0.5743985766049297,-0.18674328979129518,1.1192941857587586,0.34496838266677116,-0.9513258432505785,979,9,-0.12353315405499234,-0.20867100779980818,False
mult=2 low=30 range=90 bottom=0.3 k=3,2.0,30,90,0.3,3,0.4293757064664613,-0.2703560137933382,1.0565352514393072,0.21065277491909926,-0.954302695561498,979,11,-0.23202324542134975,-0.4412689106898432,False
mult=3 low=14 range=30 bottom=0.1 k=1,3.0,14,30,0.1,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=3 low=14 range=30 bottom=0.1 k=2,3.0,14,30,0.1,2,2.068293914701102,0.3112017885640017,1.2391148145889914,0.8142773603872769,-0.9117679683785994,979,0,0.3541194210187807,0.6189143694448767,False
mult=3 low=14 range=30 bottom=0.1 k=3,3.0,14,30,0.1,3,1.3875366379148142,0.12988155513056387,1.2029403371298464,0.6837558002596597,-0.9131863609695088,979,0,0.20528811726760252,0.38112132689638284,False
mult=3 low=14 range=30 bottom=0.2 k=1,3.0,14,30,0.2,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=3 low=14 range=30 bottom=0.2 k=2,3.0,14,30,0.2,2,2.068293914701102,0.3112017885640017,1.2391148145889914,0.8142773603872769,-0.9117679683785994,979,0,0.3541194210187807,0.6189143694448767,False
mult=3 low=14 range=30 bottom=0.2 k=3,3.0,14,30,0.2,3,1.3875366379148142,0.12988155513056387,1.2029403371298464,0.6837558002596597,-0.9131863609695088,979,0,0.20528811726760252,0.38112132689638284,False
mult=3 low=14 range=30 bottom=0.3 k=1,3.0,14,30,0.3,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
mult=3 low=14 range=30 bottom=0.3 k=2,3.0,14,30,0.3,2,2.068293914701102,0.3112017885640017,1.2391148145889914,0.8142773603872769,-0.9117679683785994,979,0,0.3541194210187807,0.6189143694448767,False
mult=3 low=14 range=30 bottom=0.3 k=3,3.0,14,30,0.3,3,1.3875366379148142,0.12988155513056387,1.2029403371298464,0.6837558002596597,-0.9131863609695088,979,0,0.20528811726760252,0.38112132689638284,False
mult=3 low=14 range=60 bottom=0.1 k=1,3.0,14,60,0.1,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=3 low=14 range=60 bottom=0.1 k=2,3.0,14,60,0.1,2,1.9224013148282184,0.27592578377951327,1.2492891182243004,0.7914081275970788,-0.9137862298548757,979,0,0.32684732855457826,0.5444433695712262,False
mult=3 low=14 range=60 bottom=0.1 k=3,3.0,14,60,0.1,3,1.560212637245893,0.18038749625720718,1.2126055583030895,0.7162628758281085,-0.9144137482414348,979,0,0.24901807973484974,0.47632803990288786,False
mult=3 low=14 range=60 bottom=0.2 k=1,3.0,14,60,0.2,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=3 low=14 range=60 bottom=0.2 k=2,3.0,14,60,0.2,2,1.9224013148282184,0.27592578377951327,1.2492891182243004,0.7914081275970788,-0.9137862298548757,979,0,0.32684732855457826,0.5444433695712262,False
mult=3 low=14 range=60 bottom=0.2 k=3,3.0,14,60,0.2,3,1.560212637245893,0.18038749625720718,1.2126055583030895,0.7162628758281085,-0.9144137482414348,979,0,0.24901807973484974,0.47632803990288786,False
mult=3 low=14 range=60 bottom=0.3 k=1,3.0,14,60,0.3,1,0.026022084342211437,-0.7434376585727465,1.2872064971323145,-0.45010324337933383,-0.9913936660088337,979,0,-1.277208288896593,-1.662804803529828,False
mult=3 low=14 range=60 bottom=0.3 k=2,3.0,14,60,0.3,2,1.9224013148282184,0.27592578377951327,1.2492891182243004,0.7914081275970788,-0.9137862298548757,979,0,0.32684732855457826,0.5444433695712262,False
mult=3 low=14 range=60 bottom=0.3 k=3,3.0,14,60,0.3,3,1.560212637245893,0.18038749625720718,1.2126055583030895,0.7162628758281085,-0.9144137482414348,979,0,0.24901807973484974,0.47632803990288786,False
mult=3 low=14 range=90 bottom=0.1 k=1,3.0,14,90,0.1,1,3.8187805453142376,0.648005465261349,1.3207346439990406,0.9982694185042039,-0.9123133483308926,979,0,0.5827410562868642,0.8832837130470733,False
