variante,trigger,mult,range_win,bottom,k,total_x,detenteur_x,rotations,exces_detenteur_log_an,sharpe_exces,bat_detenteur,bat_panier,a_priori
low mult=2 range=30 bottom=0.1 k=1,low,2.0,30,0.1,1,0.15367583732988735,3.8187805453142376,5,-1.197841635765569,-1.0336791354518562,False,False,False
low mult=2 range=30 bottom=0.1 k=2,low,2.0,30,0.1,2,0.25620098418539844,2.068293914701102,7,-0.7786606217466057,-1.020068053072478,False,False,False
low mult=2 range=30 bottom=0.1 k=3,low,2.0,30,0.1,3,0.38685426974041015,1.3875366379148142,10,-0.47619159896591773,-0.5595908220206814,False,False,False
low mult=2 range=30 bottom=0.1 k=5,low,2.0,30,0.1,5,0.391741882302326,0.9687162600264554,15,-0.3375480451402079,-0.5297312464264825,False,False,False
low mult=2 range=30 bottom=0.2 k=1,low,2.0,30,0.2,1,1.083189881378628,3.8187805453142376,2,-0.4697728439746275,-0.574871125399029,False,True,False
low mult=2 range=30 bottom=0.2 k=2,low,2.0,30,0.2,2,0.5667428505640628,2.068293914701102,7,-0.4826551499305993,-0.660786729043913,False,False,False
low mult=2 range=30 bottom=0.2 k=3,low,2.0,30,0.2,3,0.5229051895840269,1.3875366379148142,10,-0.36383866813282384,-0.49939039827417336,False,False,False
low mult=2 range=30 bottom=0.2 k=5,low,2.0,30,0.2,5,0.3349779696163985,0.9687162600264554,12,-0.39591016271488266,-0.648607595005986,False,False,False
low mult=2 range=30 bottom=0.3 k=1,low,2.0,30,0.3,1,1.106067424183174,3.8187805453142376,2,-0.46198049226221677,-0.5655154523522354,False,True,False
low mult=2 range=30 bottom=0.3 k=2,low,2.0,30,0.3,2,0.5874412674678489,2.068293914701102,6,-0.46928153641854176,-0.641377193661379,False,False,False
low mult=2 range=30 bottom=0.3 k=3,low,2.0,30,0.3,3,0.39985233753815586,1.3875366379148142,9,-0.4638706065218794,-0.6885156245214464,False,False,False
low mult=2 range=30 bottom=0.3 k=5,low,2.0,30,0.3,5,0.7737289699347292,0.9687162600264554,17,-0.08379345171536537,-0.13641923957506485,False,True,False
low mult=2 range=60 bottom=0.1 k=1,low,2.0,60,0.1,1,0.21550548299947042,0.026022084342211437,4,0.7881765920782202,0.9837508978328972,True,False,False
low mult=2 range=60 bottom=0.1 k=2,low,2.0,60,0.1,2,0.6713479013621338,1.9224013148282184,6,-0.392232535860622,-0.5398457306814797,False,False,False
low mult=2 range=60 bottom=0.1 k=3,low,2.0,60,0.1,3,0.7192318780871146,1.560212637245893,10,-0.2887167114123812,-0.513317179115892,False,True,False
low mult=2 range=60 bottom=0.1 k=5,low,2.0,60,0.1,5,0.45036979288746126,1.1216774292580132,15,-0.340211146642202,-0.6419814893392538,False,False,False
low mult=2 range=60 bottom=0.2 k=1,low,2.0,60,0.2,1,0.024674477678785445,0.026022084342211437,3,-0.019825636101945703,-0.022710856786155125,False,False,False
low mult=2 range=60 bottom=0.2 k=2,low,2.0,60,0.2,2,0.5539321795287124,1.9224013148282184,5,-0.46390721112494016,-0.6360000398444899,False,False,False
low mult=2 range=60 bottom=0.2 k=3,low,2.0,60,0.2,3,0.4143818168351592,1.560212637245893,8,-0.49429335913717,-0.8152326478211285,False,False,False
low mult=2 range=60 bottom=0.2 k=5,low,2.0,60,0.2,5,0.3667496274547331,1.1216774292580132,12,-0.4167864338840251,-0.8374243757357719,False,False,False
low mult=2 range=60 bottom=0.3 k=1,low,2.0,60,0.3,1,0.024674477678785445,0.026022084342211437,3,-0.019825636101945703,-0.022710856786155125,False,False,False
low mult=2 range=60 bottom=0.3 k=2,low,2.0,60,0.3,2,0.03024470072000255,1.9224013148282184,6,-1.5479912404997451,-1.7711144040308116,False,False,False
low mult=2 range=60 bottom=0.3 k=3,low,2.0,60,0.3,3,0.3747371916985476,1.560212637245893,8,-0.5317861492745202,-0.8212792945957029,False,False,False
low mult=2 range=60 bottom=0.3 k=5,low,2.0,60,0.3,5,0.3141732894423071,1.1216774292580132,12,-0.4744760783913438,-0.9583949397164663,False,False,False
low mult=2 range=90 bottom=0.1 k=1,low,2.0,90,0.1,1,1.1271903197247928,3.8187805453142376,2,-0.45492759232687535,-0.5585239229152278,False,True,False
low mult=2 range=90 bottom=0.1 k=2,low,2.0,90,0.1,2,0.7167114063293227,2.3273079136977395,4,-0.4391163328446704,-0.7853713775635613,False,True,False
low mult=2 range=90 bottom=0.1 k=3,low,2.0,90,0.1,3,0.5099311869057734,1.754852592619969,6,-0.4607665862749921,-0.8789512478221346,False,False,False
low mult=2 range=90 bottom=0.1 k=5,low,2.0,90,0.1,5,0.6225602817030815,1.3303931633213066,12,-0.28312268076923314,-0.7553894045969507,False,False,False
low mult=2 range=90 bottom=0.2 k=1,low,2.0,90,0.2,1,1.0380818134799696,3.8187805453142376,2,-0.48563139741648964,-0.5951886313984616,False,True,False
low mult=2 range=90 bottom=0.2 k=2,low,2.0,90,0.2,2,0.5615490263481363,2.3273079136977395,7,-0.5300770822374705,-0.8142545280936884,False,False,False
low mult=2 range=90 bottom=0.2 k=3,low,2.0,90,0.2,3,0.4208093396285999,1.754852592619969,9,-0.5323856010824025,-0.9200553278821033,False,False,False
low mult=2 range=90 bottom=0.2 k=5,low,2.0,90,0.2,5,0.3318264568654505,1.3303931633213066,14,-0.5177175200573302,-1.0366429530177335,False,False,False
low mult=2 range=90 bottom=0.3 k=1,low,2.0,90,0.3,1,1.083189881378628,3.8187805453142376,2,-0.4697728439746275,-0.574871125399029,False,True,False
low mult=2 range=90 bottom=0.3 k=2,low,2.0,90,0.3,2,0.5864239699123404,2.3273079136977395,7,-0.5139171853614705,-0.7874129394229054,False,False,False
low mult=2 range=90 bottom=0.3 k=3,low,2.0,90,0.3,3,0.43739263533806794,1.754852592619969,9,-0.5179752166707909,-0.8926986279020468,False,False,False
low mult=2 range=90 bottom=0.3 k=5,low,2.0,90,0.3,5,0.3436225286637364,1.3303931633213066,12,-0.5046939761085442,-0.9916395064705932,False,False,False
low mult=3 range=30 bottom=0.1 k=1,low,3.0,30,0.1,1,0.14853666294984721,3.8187805453142376,1,-1.2105229121028667,-1.1486070165569864,False,False,False
low mult=3 range=30 bottom=0.1 k=2,low,3.0,30,0.1,2,5.11382581388749,2.068293914701102,4,0.337494041431669,0.2842650234749805,True,True,False
low mult=3 range=30 bottom=0.1 k=3,low,3.0,30,0.1,3,3.4178912373724266,1.3875366379148142,4,0.3361034054657622,0.2899723641059557,True,True,False
low mult=3 range=30 bottom=0.1 k=5,low,3.0,30,0.1,5,1.8711949317177345,0.9687162600264554,4,0.24545625696834353,0.32271999569295773,True,True,False
low mult=3 range=30 bottom=0.2 k=1,low,3.0,30,0.2,1,0.8076761149409784,3.8187805453142376,2,-0.5791999298685565,-0.42377645741580167,False,True,False
low mult=3 range=30 bottom=0.2 k=2,low,3.0,30,0.2,2,0.8789108549448694,2.068293914701102,5,-0.3190658776335867,-0.31104507513202695,False,True,False
low mult=3 range=30 bottom=0.2 k=3,low,3.0,30,0.2,3,0.5946145980773221,1.3875366379148142,5,-0.31592513096337194,-0.3214631382465976,False,False,False
low mult=3 range=30 bottom=0.2 k=5,low,3.0,30,0.2,5,0.49049625396624397,0.9687162600264554,6,-0.25373059255675645,-0.37368421648110123,False,False,False
low mult=3 range=30 bottom=0.3 k=1,low,3.0,30,0.3,1,0.8247346613781404,3.8187805453142376,2,-0.5714075781561475,-0.41812216412252684,False,True,False
