cas,rotation_x,detenteur_x,panier_x,rotation_dd,rotations
"règle testée (0,75 % par échange, ouverture de J+1, préavis de retrait 5 j)",0.4168490996415977,1.9224013148282184,0.7057963278356173,-0.9668495724166856,2
"frais 0,25 % par échange",0.42718989846066674,1.9320859562127537,0.7558849125155401,-0.9662149940615599,2
"frais 1,5 % par échange",0.4017212835098782,1.9078743527514475,0.6366095193460352,-0.9677836227210261,2
exécution à la clôture de J+1 (panier compris),0.42325915668355324,1.9954877279776313,0.7440357934960669,-0.9674316633921376,2
"sans préavis, pièce retirée revendue −50 %",0.4168490996415977,1.9224013148282184,0.6975020951692367,-0.9668495724166856,2
volume médian ≥ 10 M$,0.6180371253160574,1.9224013148282184,0.45033232241495713,-0.9653475637018559,2
volume médian ≥ 20 M$,0.6180371253160574,1.9224013148282184,0.41726037311166647,-0.9653475637018559,2
volume médian ≥ 50 M$,0.3510066491898537,1.9224013148282184,0.3094139659850332,-0.9653475637018559,2
k = 1 pièce,0.026022084342211437,0.026022084342211437,0.7057963278356173,-0.9913936660088337,0
k = 3 pièces,0.3248147586024507,1.560212637245893,0.7057963278356173,-0.9750809976933051,3
seuil 2x au lieu de 3x,0.5539321795287124,1.9224013148282184,0.7057963278356173,-0.9271448476624975,5
univers « community coins » (déjà −70 % puis ×2),2.214361247889302,2.214361247889302,1.0193659677597893,-0.9065770115153342,0
