symbol,base,status,onboard,tags,premier_jour,dernier_jour,retire,jours_eligible
DOGEUSDT,DOGE,TRADING,2020-07-10 09:00:00,"Meme,Crypto",2020-07-10,2026-09-25,False,980
1000SHIBUSDT,1000SHIB,TRADING,2021-05-10 07:00:00,"Meme,Crypto",2021-05-10,2026-09-25,False,980
PEOPLEUSDT,PEOPLE,TRADING,2021-12-23 07:00:00,"Meme,Crypto",2021-12-24,2026-09-25,False,808
1000PEPEUSDT,1000PEPE,TRADING,2023-05-05 00:00:00,"Meme,Crypto",2023-05-05,2026-09-25,False,980
1000FLOKIUSDT,1000FLOKI,TRADING,2023-05-06 00:00:00,"Meme,Crypto",2023-05-06,2026-09-25,False,928
MEMEUSDT,MEME,TRADING,2023-11-03 12:00:00,"Meme,Crypto",2023-11-03,2026-09-25,False,809
ORDIUSDT,ORDI,TRADING,2023-11-07 12:30:00,"Meme,Crypto",2023-11-07,2026-09-25,False,980
1000BONKUSDT,1000BONK,TRADING,2023-11-22 14:00:00,"Meme,Crypto",2023-11-22,2026-09-25,False,980
1000SATSUSDT,1000SATS,TRADING,2023-12-12 14:00:00,"Meme,Crypto",2023-12-12,2026-09-25,False,746
1000RATSUSDT,1000RATS,TRADING,2023-12-15 14:00:00,"Meme,Crypto",2023-12-15,2026-09-25,False,659
WIFUSDT,WIF,TRADING,2024-01-18 14:15:00,"Meme,Crypto",2024-01-18,2026-09-25,False,923
MYROUSDT,MYRO,SETTLING,2024-03-05 08:30:00,Meme,2024-03-05,2025-11-14,True,390
BOMEUSDT,BOME,TRADING,2024-03-16 12:30:00,"Meme,Crypto",2024-03-16,2026-09-25,False,783
MEWUSDT,MEW,TRADING,2024-06-17 14:00:00,"Meme,Crypto",2024-06-17,2026-09-25,False,408
BRETTUSDT,BRETT,TRADING,2024-08-20 10:35:00,"Meme,Crypto",2024-08-20,2026-09-25,False,440
POPCATUSDT,POPCAT,TRADING,2024-08-22 13:00:00,"Meme,Crypto",2024-08-22,2026-09-25,False,488
DOGSUSDT,DOGS,TRADING,2024-08-26 12:30:00,"Meme,Crypto",2024-08-26,2026-09-25,False,434
NEIROETHUSDT,NEIROETH,SETTLING,2024-09-06 14:00:00,Meme,2024-09-06,2025-09-26,True,327
NEIROUSDT,NEIRO,TRADING,2024-09-16 11:30:00,"Meme,Crypto",2024-09-16,2026-09-25,False,624
1MBABYDOGEUSDT,1MBABYDOGE,TRADING,2024-09-16 11:35:00,"Meme,Crypto",2024-09-16,2026-09-25,False,397
1000CATUSDT,1000CAT,TRADING,2024-10-21 12:30:00,"Meme,Crypto",2024-10-21,2026-09-25,False,300
MOODENGUSDT,MOODENG,TRADING,2024-10-25 10:00:00,"Meme,Crypto",2024-10-25,2026-09-25,False,525
PONKEUSDT,PONKE,SETTLING,2024-11-04 12:30:00,Meme,2024-11-04,2025-11-28,True,120
1000000MOGUSDT,1000000MOG,TRADING,2024-11-07 12:30:00,"Meme,Crypto",2024-11-07,2026-09-25,False,377
PNUTUSDT,PNUT,TRADING,2024-11-11 12:30:00,"Meme,Crypto",2024-11-11,2026-09-25,False,524
HIPPOUSDT,HIPPO,SETTLING,2024-11-13 12:30:00,Meme,2024-11-13,2026-04-08,True,273
DEGENUSDT,DEGEN,SETTLING,2024-11-15 11:30:00,Meme,2024-11-15,2026-04-28,True,163
BANUSDT,BAN,TRADING,2024-11-18 11:30:00,"Meme,Crypto",2024-11-18,2026-09-25,False,149
SLERFUSDT,SLERF,SETTLING,2024-11-21 11:30:00,Meme,2024-11-21,2025-10-20,True,25
1000WHYUSDT,1000WHY,SETTLING,2024-11-25 11:30:00,Meme,2024-11-25,2026-03-17,True,39
1000CHEEMSUSDT,1000CHEEMS,TRADING,2024-11-25 11:45:00,"Meme,Crypto",2024-11-25,2026-09-25,False,219
CHILLGUYUSDT,CHILLGUY,TRADING,2024-11-27 14:45:00,"Meme,Crypto",2024-11-27,2026-09-25,False,285
KOMAUSDT,KOMA,TRADING,2024-12-10 12:15:00,"Meme,Crypto",2024-12-10,2026-09-25,False,111
SPXUSDT,SPX,TRADING,2024-12-10 12:45:00,"Meme,Crypto",2024-12-10,2026-09-25,False,563
PENGUUSDT,PENGU,TRADING,2024-12-17 16:15:00,"Meme,Crypto",2024-12-17,2026-09-25,False,589
FARTCOINUSDT,FARTCOIN,TRADING,2024-12-20 18:45:00,"Meme,Crypto",2024-12-20,2026-09-25,False,586
TRUMPUSDT,TRUMP,TRADING,2025-01-18 13:00:00,"Meme,Crypto",2025-01-18,2026-09-25,False,557
MELANIAUSDT,MELANIA,TRADING,2025-01-20 09:30:00,"Meme,Crypto",2025-01-20,2026-09-25,False,292
VINEUSDT,VINE,SETTLING,2025-01-24 10:00:00,Meme,2025-01-24,2026-04-28,True,251
PIPPINUSDT,PIPPIN,TRADING,2025-01-24 10:15:00,"Meme,Crypto",2025-01-24,2026-09-25,False,422
TSTUSDT,TST,TRADING,2025-02-09 13:00:00,"Meme,Crypto",2025-02-09,2026-09-25,False,264
MUBARAKUSDT,MUBARAK,TRADING,2025-03-17 13:45:00,"Meme,Crypto",2025-03-17,2026-09-25,False,271
TUTUSDT,TUT,TRADING,2025-03-20 09:00:00,"Meme,Crypto",2025-03-20,2026-09-25,False,234
BROCCOLI714USDT,BROCCOLI714,TRADING,2025-03-21 09:00:00,"Meme,Crypto",2025-03-21,2026-09-25,False,201
BROCCOLIF3BUSDT,BROCCOLIF3B,TRADING,2025-03-21 09:15:00,"Meme,Crypto",2025-03-21,2026-09-25,False,40
BANANAS31USDT,BANANAS31,TRADING,2025-03-22 09:15:00,"Meme,Crypto",2025-03-22,2026-09-25,False,340
BANKUSDT,BANK,TRADING,2025-04-18 18:30:00,"Meme,Crypto",2025-04-18,2026-09-25,False,193
BUSDT,B,TRADING,2025-05-22 16:30:00,"Meme,Crypto",2025-05-22,2026-09-25,False,172
