S,slug15,marches_presents,etats,evenements,V0_source,V0_ecart_rtds_gamma,V1_source,V1_ecart_rtds_gamma,V2_source,V2_ecart_rtds_gamma,V3_source,V3_ecart_rtds_gamma,marge_max,ms_couverts,secondes
1790397000,btc-updown-15m-1790397000,4,133285,415777,gamma,,gamma,,gamma,,gamma,,-0.012065,691633,39.9644
1790397900,btc-updown-15m-1790397900,4,165169,475642,gamma,,gamma,,gamma,,gamma,,-0.012065,1.01158e+06,43.2082
1790398800,btc-updown-15m-1790398800,4,163649,335958,gamma,,gamma,,gamma,,gamma,,-0.00459118,1.00744e+06,32.44
1790399700,btc-updown-15m-1790399700,4,110451,268232,gamma,,gamma,,gamma,,gamma,,-0.012065,971138,22.5227
1790400600,btc-updown-15m-1790400600,4,158406,349960,gamma,,gamma,,gamma,,gamma,,-0.012065,1.02135e+06,31.8157
1790401500,btc-updown-15m-1790401500,4,139536,294795,gamma,,gamma,,gamma,,gamma,,-0.00120966,1.03203e+06,26.0067
1790402400,btc-updown-15m-1790402400,3,61940,131380,gamma,,gamma,,gamma,,gamma,,-0.012065,423381,11.4368
1790416800,btc-updown-15m-1790416800,4,94674,226878,gamma,,gamma,,gamma,,gamma,,-0.00120966,790797,19.149
1790417700,btc-updown-15m-1790417700,4,182329,400061,gamma,,gamma,,gamma,,gamma,,-0.012065,978916,34.2013
1790418600,btc-updown-15m-1790418600,4,188962,403465,gamma,,rtds,-7.27596e-11,gamma,,rtds,-1.45519e-11,-0.012065,1.03229e+06,38.1793
1790419500,btc-updown-15m-1790419500,4,167340,367181,rtds,-1.45519e-11,rtds,1.45519e-11,rtds,-4.36557e-11,rtds,-4.36557e-11,0.012462,971201,33.9624
1790420400,btc-updown-15m-1790420400,4,211278,448181,rtds,-4.36557e-11,rtds,2.91038e-11,gamma,,absent,,-0.012065,1.01439e+06,34.5186
