slug,gagnant,ecart_pb,connu_via_rtds_avant_E_s,ask_m10,taille_m10,marge_m10,ask_m3,taille_m3,marge_m3,ask_rtds,taille_rtds,marge_rtds,ask_E,taille_E,marge_E,ask_p2,taille_p2,marge_p2,marge_max_apres_connu,ms_marge_pos_apres_connu,profit_max_etat_apres_connu
btc-updown-15m-1790397000,Up,8.88779,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790397000,Up,2.34628,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790397300,Up,0.505883,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790397600,Up,6.03379,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790397900,Up,0.310891,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790397900,Up,1.24396,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790398200,Up,0.0442617,,0.99,2914.72,0.00930699,0.99,1533.14,0.00930699,,0,,,0,,,0,,,0,0
btc-updown-5m-1790398500,Down,-0.977208,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790398800,Down,-1.02736,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790398800,Up,1.8037,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790399100,Up,1.15603,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790399400,Down,-3.98612,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790399700,Down,-4.56722,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790399700,Down,-6.22851,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790400000,Up,8.83716,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790400300,Down,-7.16849,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790400600,Up,2.79255,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790400600,Down,-3.89926,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790400900,Up,6.7141,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790401200,Down,-0.0196676,,0.98,256.01,0.018628,0.99,1037.8,0.00930699,,0,,,0,,,0,,,0,0
btc-updown-15m-1790401500,Down,-3.74679,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790401500,Up,2.90078,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790401800,Down,-6.98862,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790402100,Up,0.343211,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790402400,Down,-2.18559,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790402400,Down,-2.1524,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790402700,Up,1.33065,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790416800,Up,13.4246,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790416800,Up,8.33109,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790417100,Up,2.98782,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790417400,Up,2.10079,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790417700,Up,2.89052,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790417700,Up,4.53701,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790418000,Down,-0.0415707,,0.86,20.89,0.131572,0.99,2920.02,0.00930699,,0,,,0,,,0,,,0,0
btc-updown-5m-1790418300,Down,-1.60418,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790418600,Up,0.278009,1.74356,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790418600,Down,-0.932044,1.69328,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790418900,Down,-0.175506,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790419200,Up,1.3857,1.74356,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790419500,Up,4.3164,1.55573,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790419500,Up,1.0383,1.60529,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790419800,Down,-0.223612,1.34779,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790420100,Up,3.50145,1.55573,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-15m-1790420400,Up,0.463646,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790420400,Down,-1.57131,0.782154,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790420700,Up,0.574223,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790421000,Up,1.46096,,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790421300,Up,2.08315,2.08831,,0,,,0,,,0,,,0,,,0,,,0,0
btc-updown-5m-1790421600,Down,-2.61981,1.507,,0,,,0,,,0,,,0,,,0,,,0,0
