slug,etats_deux_cotes,etats_somme_lt_1,etats_croises,somme_min,somme_mediane_ponderee_temps,ms_somme_lt_1
btc-updown-15m-1790397000,128713,9,28,1,1.01,0.424563
btc-updown-5m-1790397000,13577,3,5,0.99,1.01,0.099656
btc-updown-5m-1790397300,89927,34,68,0.98,1.01,4.13373
btc-updown-5m-1790397600,69630,6,15,0.99,1.01,0.226565
btc-updown-15m-1790397900,164503,97,172,0.86,1.01,282.908
btc-updown-5m-1790397900,47979,5,15,0.99,1.01,0.388269
btc-updown-5m-1790398200,80213,145,233,0.92,1.01,26.8321
btc-updown-5m-1790398500,77375,18,28,0.98,1.01,56.9209
btc-updown-15m-1790398800,162609,25,53,0.96,1.01,50.2114
btc-updown-5m-1790398800,45258,6,14,0.99,1.01,0.657117
btc-updown-5m-1790399100,69460,1,7,1,1.01,0.096439
btc-updown-5m-1790399400,72753,4,10,0.99,1.01,0.260081
btc-updown-15m-1790399700,108960,7,16,0.98,1.01,1.78332
btc-updown-5m-1790399700,29846,4,6,0.99,1.01,0.28408
btc-updown-5m-1790400000,35052,3,6,1,1.01,0.195103
btc-updown-5m-1790400300,47363,5,11,0.97,1.01,0.29506
btc-updown-15m-1790400600,149483,5,10,0.98,1.01,0.245947
btc-updown-5m-1790400600,41787,4,13,1,1.01,2.50365
btc-updown-5m-1790400900,53115,8,22,0.98,1.01,4.60749
btc-updown-5m-1790401200,82189,19,37,0.96,1.01,2.96673
btc-updown-15m-1790401500,124140,5,12,0.91,1.01,0.311696
btc-updown-5m-1790401500,36461,15,26,0.9,1.01,22.1837
btc-updown-5m-1790401800,38799,5,10,0.98,1.01,0.365968
btc-updown-5m-1790402100,77780,32,61,0.96,1.01,3.11673
btc-updown-15m-1790402400,61926,2,3,0.99,1.01,0.175898
btc-updown-5m-1790402400,57568,15,31,0.96,1.01,4.02073
btc-updown-5m-1790402700,16934,0,1,1,1.01,0
btc-updown-15m-1790416800,90724,2,8,0.994,1.01,0.107916
btc-updown-5m-1790416800,26408,2,20,0.99,1.01,0.23553
btc-updown-5m-1790417100,45127,24,40,0.96,1.01,50.3426
btc-updown-5m-1790417400,32037,12,22,0.9,1.01,4.6559
btc-updown-15m-1790417700,180599,1004,1033,0.92,1.01,3604.04
btc-updown-5m-1790417700,45160,14,31,0.96,1.01,3.31523
btc-updown-5m-1790418000,95133,37,85,0.95,1.01,7.1942
btc-updown-5m-1790418300,95590,8,21,0.94,1.01,2.80513
btc-updown-15m-1790418600,188515,59,117,0.95,1.01,35.9502
btc-updown-5m-1790418600,57608,15,32,0.97,1.01,1.08468
btc-updown-5m-1790418900,94006,14,32,0.98,1.01,2.65437
btc-updown-5m-1790419200,94396,23,50,0.97,1.01,28.7361
btc-updown-15m-1790419500,166421,6,57,0.98,1.01,0.35606
btc-updown-5m-1790419500,43937,18,66,0.99,1.01,3.96917
btc-updown-5m-1790419800,85093,27,51,0.86,1.01,2.67421
btc-updown-5m-1790420100,88651,15,35,0.96,1.01,1.11258
btc-updown-15m-1790420400,210681,99,151,0.75,1.01,93.3573
btc-updown-5m-1790420400,76083,41,72,0.89,1.01,17.4058
btc-updown-5m-1790420700,97738,19,55,0.94,1.01,43.5784
btc-updown-5m-1790421000,92557,23,55,0.96,1.01,3.09338
