actif,relation,n,egal,taux_egal,ecart_max,ecart_max_pb,exemple_ecart
BTC,K(5m#k) == F(5m#k−1) (5m consécutives),12050,12050,1,0,0,
BTC,K(15m) == F(15m précédente),4005,4005,1,0,0,
BTC,K(15m) == K(5m#1) (même début),4014,4014,1,0,0,
BTC,F(15m) == F(5m#3) (même fin),4015,4015,1,0,0,
BTC,K(5m#2) == F(5m#1) dans une 15m,4014,4014,1,0,0,
BTC,K(5m#3) == F(5m#2) dans une 15m,4014,4014,1,0,0,
BTC,K(4h) == F(4h précédente),251,251,1,0,0,
BTC,K(4h) == K(15m) (même début),252,252,1,0,0,
BTC,F(4h) == F(15m) (même fin),252,252,1,0,0,
BTC,F(4h) == F(5m) (même fin),252,252,1,0,0,
ETH,K(5m#k) == F(5m#k−1) (5m consécutives),2011,2011,1,0,0,
ETH,K(15m) == F(15m précédente),669,669,1,0,0,
ETH,K(15m) == K(5m#1) (même début),671,671,1,0,0,
ETH,F(15m) == F(5m#3) (même fin),670,670,1,0,0,
ETH,K(5m#2) == F(5m#1) dans une 15m,671,671,1,0,0,
ETH,K(5m#3) == F(5m#2) dans une 15m,670,670,1,0,0,
SOL,K(5m#k) == F(5m#k−1) (5m consécutives),2013,2013,1,0,0,
SOL,K(15m) == F(15m précédente),669,669,1,0,0,
SOL,K(15m) == K(5m#1) (même début),671,671,1,0,0,
SOL,F(15m) == F(5m#3) (même fin),671,671,1,0,0,
SOL,K(5m#2) == F(5m#1) dans une 15m,671,671,1,0,0,
SOL,K(5m#3) == F(5m#2) dans une 15m,671,671,1,0,0,
