T,heure,points,V_gamma,ecart_decalage_3s,ecart_decalage_2s,ecart_sans_decalage,decalage_exact_s,V_rtds,ecart_V_2s_3s,connu_avant_T_s
1790418600,10:30,59,84122.69782,,,,,,,1.801492214
1790418900,10:35,60,84114.85721,-7.275957614e-11,-0.338583626,-1.029387133,3,84114.85721,-0.3385836259,1.693284512
1790419200,10:40,59,84113.38095,,,,,,,1.807436466
1790419500,10:45,60,84125.03651,-1.455191523e-11,0.2711703353,0.7700062181,3,84125.03651,0.2711703353,1.743564367
1790419800,10:50,60,84133.77119,1.455191523e-11,0.0361505645,0.1075603802,3,84133.77119,0.03615056448,1.605292082
1790420100,10:55,60,84131.88986,-4.365574569e-11,-0.2208091702,-0.6687456574,3,84131.88986,-0.2208091702,1.347785234
1790420400,11:00,60,84161.34822,-4.365574569e-11,-0.001206194749,-0.001700885812,3,84161.34822,-0.001206194705,1.555726767
1790420700,11:05,60,84148.1239,0.09665037137,2.910383046e-11,0.0673570909,2,84148.1239,-0.09665037134,0.7821543217
1790421000,11:10,52,84152.95588,,,,,,,1.850631714
1790421300,11:15,59,,,,,,,,2.09459877
