variante,S,slug15,marge_max,n_episodes,secondes_arbitrage,phase_marge_max
A,1788480000,btc-updown-15m-1788480000,-0.001386,0,0,avant clôture #1
B,1788480000,btc-updown-15m-1788480000,-0.0120501,0,0,entre #1 et #2
C,1788480000,btc-updown-15m-1788480000,-0.001386,0,0,avant clôture #1
A,1788480900,btc-updown-15m-1788480900,-0.001386,0,0,entre #1 et #2
B,1788480900,btc-updown-15m-1788480900,-0.017273,0,0,avant clôture #1
C,1788480900,btc-updown-15m-1788480900,-0.001386,0,0,entre #1 et #2
A,1788481800,btc-updown-15m-1788481800,-0.00120965,0,0,après clôture #2
B,1788481800,btc-updown-15m-1788481800,-0.0117799,0,0,après clôture #2
C,1788481800,btc-updown-15m-1788481800,-0.001386,0,0,après clôture #2
A,1788482700,btc-updown-15m-1788482700,-0.001386,0,0,avant clôture #1
B,1788482700,btc-updown-15m-1788482700,-0.012065,0,0,entre #1 et #2
C,1788482700,btc-updown-15m-1788482700,-0.001386,0,0,avant clôture #1
A,1788483600,btc-updown-15m-1788483600,-0.001386,0,0,avant clôture #1
B,1788483600,btc-updown-15m-1788483600,-0.014725,0,0,avant clôture #1
C,1788483600,btc-updown-15m-1788483600,-0.001386,0,0,entre #1 et #2
A,1788484500,btc-updown-15m-1788484500,-0.001386,0,0,entre #1 et #2
B,1788484500,btc-updown-15m-1788484500,-0.011466,0,0,avant clôture #1
C,1788484500,btc-updown-15m-1788484500,-0.001386,0,0,entre #1 et #2
A,1788485400,btc-updown-15m-1788485400,-0.001386,0,0,avant clôture #1
B,1788485400,btc-updown-15m-1788485400,-0.012065,0,0,après clôture #2
C,1788485400,btc-updown-15m-1788485400,-0.001386,0,0,avant clôture #1
A,1788486300,btc-updown-15m-1788486300,-0.001386,0,0,entre #1 et #2
B,1788486300,btc-updown-15m-1788486300,-0.017273,0,0,avant clôture #1
C,1788486300,btc-updown-15m-1788486300,-0.001386,0,0,après clôture #2
A,1788487200,btc-updown-15m-1788487200,-0.001386,0,0,avant clôture #1
B,1788487200,btc-updown-15m-1788487200,-0.011466,0,0,entre #1 et #2
C,1788487200,btc-updown-15m-1788487200,-0.001386,0,0,entre #1 et #2
A,1788488100,btc-updown-15m-1788488100,-0.001386,0,0,avant clôture #1
B,1788488100,btc-updown-15m-1788488100,-0.015834,0,0,après clôture #2
C,1788488100,btc-updown-15m-1788488100,-0.001386,0,0,après clôture #2
A,1788489000,btc-updown-15m-1788489000,-0.00124866,0,0,après clôture #2
B,1788489000,btc-updown-15m-1788489000,-0.0138326,0,0,entre #1 et #2
C,1788489000,btc-updown-15m-1788489000,-0.00124866,0,0,après clôture #2
A,1788489900,btc-updown-15m-1788489900,-0.001386,0,0,avant clôture #1
B,1788489900,btc-updown-15m-1788489900,-0.00925482,0,0,après clôture #2
C,1788489900,btc-updown-15m-1788489900,-0.012065,0,0,avant clôture #1
A,1788490800,btc-updown-15m-1788490800,-0.001386,0,0,avant clôture #1
B,1788490800,btc-updown-15m-1788490800,-0.012065,0,0,après clôture #2
C,1788490800,btc-updown-15m-1788490800,-0.001386,0,0,avant clôture #1
A,1788491700,btc-updown-15m-1788491700,-0.001386,0,0,entre #1 et #2
B,1788491700,btc-updown-15m-1788491700,-0.011466,0,0,avant clôture #1
C,1788491700,btc-updown-15m-1788491700,-0.001386,0,0,entre #1 et #2
A,1788492600,btc-updown-15m-1788492600,-0.001386,0,0,entre #1 et #2
B,1788492600,btc-updown-15m-1788492600,-0.0134089,0,0,avant clôture #1
C,1788492600,btc-updown-15m-1788492600,-0.001386,0,0,entre #1 et #2
A,1788493500,btc-updown-15m-1788493500,-0.001386,0,0,entre #1 et #2
B,1788493500,btc-updown-15m-1788493500,-0.002744,0,0,après clôture #2
C,1788493500,btc-updown-15m-1788493500,-0.001386,0,0,entre #1 et #2
A,1788494400,btc-updown-15m-1788494400,0.0109327,6,18,après clôture #2
B,1788494400,btc-updown-15m-1788494400,0.00116078,1,2,après clôture #2
C,1788494400,btc-updown-15m-1788494400,0.007414,3,6,après clôture #2
A,1788495300,btc-updown-15m-1788495300,-0.00013986,0,0,après clôture #2
B,1788495300,btc-updown-15m-1788495300,-0.00665,0,0,avant clôture #1
C,1788495300,btc-updown-15m-1788495300,-0.00013986,0,0,après clôture #2
A,1788496200,btc-updown-15m-1788496200,-0.001386,0,0,avant clôture #1
B,1788496200,btc-updown-15m-1788496200,-0.020885,0,0,entre #1 et #2
C,1788496200,btc-updown-15m-1788496200,-0.001386,0,0,avant clôture #1
A,1788497100,btc-updown-15m-1788497100,-0.001386,0,0,avant clôture #1
B,1788497100,btc-updown-15m-1788497100,-0.0134268,0,0,avant clôture #1
C,1788497100,btc-updown-15m-1788497100,-0.001386,0,0,après clôture #2
A,1788498000,btc-updown-15m-1788498000,-0.001386,0,0,entre #1 et #2
B,1788498000,btc-updown-15m-1788498000,-0.009114,0,0,avant clôture #1
C,1788498000,btc-updown-15m-1788498000,-0.001386,0,0,entre #1 et #2
A,1788498900,btc-updown-15m-1788498900,-0.001386,0,0,avant clôture #1
B,1788498900,btc-updown-15m-1788498900,-0.0048463,0,0,entre #1 et #2
C,1788498900,btc-updown-15m-1788498900,-0.001386,0,0,avant clôture #1
A,1788499800,btc-updown-15m-1788499800,-0.001386,0,0,entre #1 et #2
B,1788499800,btc-updown-15m-1788499800,-0.011466,0,0,après clôture #2
C,1788499800,btc-updown-15m-1788499800,-0.001386,0,0,entre #1 et #2
A,1788500700,btc-updown-15m-1788500700,-0.001386,0,0,entre #1 et #2
B,1788500700,btc-updown-15m-1788500700,-0.0134088,0,0,après clôture #2
C,1788500700,btc-updown-15m-1788500700,-0.001386,0,0,après clôture #2
A,1788501600,btc-updown-15m-1788501600,-0.001386,0,0,avant clôture #1
B,1788501600,btc-updown-15m-1788501600,-0.011466,0,0,après clôture #2
C,1788501600,btc-updown-15m-1788501600,-0.001386,0,0,avant clôture #1
A,1788502500,btc-updown-15m-1788502500,-0.00013986,0,0,après clôture #2
B,1788502500,btc-updown-15m-1788502500,-0.012065,0,0,après clôture #2
C,1788502500,btc-updown-15m-1788502500,-0.00013986,0,0,après clôture #2
A,1788503400,btc-updown-15m-1788503400,-0.001386,0,0,avant clôture #1
B,1788503400,btc-updown-15m-1788503400,-0.015834,0,0,entre #1 et #2
C,1788503400,btc-updown-15m-1788503400,-0.001386,0,0,avant clôture #1
A,1788504300,btc-updown-15m-1788504300,-0.001386,0,0,entre #1 et #2
B,1788504300,btc-updown-15m-1788504300,-0.013409,0,0,après clôture #2
C,1788504300,btc-updown-15m-1788504300,-0.001386,0,0,après clôture #2
A,1788505200,btc-updown-15m-1788505200,-0.001386,0,0,avant clôture #1
B,1788505200,btc-updown-15m-1788505200,-0.012065,0,0,avant clôture #1
C,1788505200,btc-updown-15m-1788505200,-0.001386,0,0,avant clôture #1
A,1788506100,btc-updown-15m-1788506100,-0.001386,0,0,avant clôture #1
B,1788506100,btc-updown-15m-1788506100,-0.012065,0,0,après clôture #2
C,1788506100,btc-updown-15m-1788506100,-0.001386,0,0,après clôture #2
A,1788507000,btc-updown-15m-1788507000,-0.00013986,0,0,entre #1 et #2
B,1788507000,btc-updown-15m-1788507000,-0.012065,0,0,après clôture #2
C,1788507000,btc-updown-15m-1788507000,-0.00013986,0,0,entre #1 et #2
A,1788507900,btc-updown-15m-1788507900,-0.000618865,0,0,après clôture #2
B,1788507900,btc-updown-15m-1788507900,-0.018505,0,0,entre #1 et #2
C,1788507900,btc-updown-15m-1788507900,-0.001386,0,0,entre #1 et #2
A,1788508800,btc-updown-15m-1788508800,-0.001386,0,0,avant clôture #1
B,1788508800,btc-updown-15m-1788508800,-0.015834,0,0,après clôture #2
C,1788508800,btc-updown-15m-1788508800,-0.001386,0,0,avant clôture #1
A,1788509700,btc-updown-15m-1788509700,-0.00013986,0,0,après clôture #2
B,1788509700,btc-updown-15m-1788509700,-0.018505,0,0,avant clôture #1
C,1788509700,btc-updown-15m-1788509700,-0.00013986,0,0,après clôture #2
A,1788510600,btc-updown-15m-1788510600,-0.00013986,0,0,après clôture #2
B,1788510600,btc-updown-15m-1788510600,-0.011466,0,0,entre #1 et #2
C,1788510600,btc-updown-15m-1788510600,-0.00013986,0,0,après clôture #2
A,1788511500,btc-updown-15m-1788511500,-0.002744,0,0,après clôture #2
B,1788511500,btc-updown-15m-1788511500,-0.009114,0,0,après clôture #2
C,1788511500,btc-updown-15m-1788511500,-0.004074,0,0,après clôture #2
A,1788512400,btc-updown-15m-1788512400,-0.001386,0,0,après clôture #2
B,1788512400,btc-updown-15m-1788512400,-0.004074,0,0,après clôture #2
C,1788512400,btc-updown-15m-1788512400,-0.001386,0,0,après clôture #2
A,1788513300,btc-updown-15m-1788513300,-0.00013986,0,0,entre #1 et #2
B,1788513300,btc-updown-15m-1788513300,-0.014784,0,0,avant clôture #1
C,1788513300,btc-updown-15m-1788513300,-0.00013986,0,0,entre #1 et #2
A,1788514200,btc-updown-15m-1788514200,-0.00104394,0,0,entre #1 et #2
B,1788514200,btc-updown-15m-1788514200,-0.013706,0,0,entre #1 et #2
C,1788514200,btc-updown-15m-1788514200,-0.00104394,0,0,entre #1 et #2
A,1788515100,btc-updown-15m-1788515100,-0.001386,0,0,entre #1 et #2
B,1788515100,btc-updown-15m-1788515100,-0.011466,0,0,entre #1 et #2
C,1788515100,btc-updown-15m-1788515100,-0.001386,0,0,entre #1 et #2
A,1788516000,btc-updown-15m-1788516000,-0.001386,0,0,avant clôture #1
B,1788516000,btc-updown-15m-1788516000,-0.01785,0,0,entre #1 et #2
C,1788516000,btc-updown-15m-1788516000,-0.001386,0,0,avant clôture #1
A,1788516900,btc-updown-15m-1788516900,-0.001386,0,0,avant clôture #1
B,1788516900,btc-updown-15m-1788516900,-0.005376,0,0,après clôture #2
C,1788516900,btc-updown-15m-1788516900,-0.001386,0,0,entre #1 et #2
A,1788517800,btc-updown-15m-1788517800,-0.001386,0,0,avant clôture #1
B,1788517800,btc-updown-15m-1788517800,-0.014725,0,0,entre #1 et #2
C,1788517800,btc-updown-15m-1788517800,-0.001386,0,0,avant clôture #1
A,1788518700,btc-updown-15m-1788518700,0.008548,2,7,après clôture #2
B,1788518700,btc-updown-15m-1788518700,0.0112301,1,1,après clôture #2
C,1788518700,btc-updown-15m-1788518700,0.011832,1,1,après clôture #2
A,1788519600,btc-updown-15m-1788519600,-0.001386,0,0,avant clôture #1
B,1788519600,btc-updown-15m-1788519600,-0.0168559,0,0,après clôture #2
C,1788519600,btc-updown-15m-1788519600,-0.00623599,0,0,après clôture #2
A,1788520500,btc-updown-15m-1788520500,-0.001386,0,0,avant clôture #1
B,1788520500,btc-updown-15m-1788520500,-0.013409,0,0,après clôture #2
C,1788520500,btc-updown-15m-1788520500,-0.001386,0,0,avant clôture #1
A,1788521400,btc-updown-15m-1788521400,-0.001386,0,0,avant clôture #1
B,1788521400,btc-updown-15m-1788521400,-0.00937709,0,0,avant clôture #1
C,1788521400,btc-updown-15m-1788521400,-0.001386,0,0,avant clôture #1
A,1788522300,btc-updown-15m-1788522300,-0.001386,0,0,avant clôture #1
B,1788522300,btc-updown-15m-1788522300,-0.012065,0,0,avant clôture #1
C,1788522300,btc-updown-15m-1788522300,-0.001386,0,0,avant clôture #1
A,1788523200,btc-updown-15m-1788523200,-0.001386,0,0,avant clôture #1
B,1788523200,btc-updown-15m-1788523200,-0.0101581,0,0,après clôture #2
C,1788523200,btc-updown-15m-1788523200,-0.001386,0,0,avant clôture #1
A,1788524100,btc-updown-15m-1788524100,-0.001386,0,0,entre #1 et #2
B,1788524100,btc-updown-15m-1788524100,-0.011466,0,0,après clôture #2
C,1788524100,btc-updown-15m-1788524100,-0.001386,0,0,entre #1 et #2
A,1788525000,btc-updown-15m-1788525000,-0.00013986,0,0,avant clôture #1
B,1788525000,btc-updown-15m-1788525000,-0.0120649,0,0,entre #1 et #2
C,1788525000,btc-updown-15m-1788525000,-0.00013986,0,0,avant clôture #1
A,1788525900,btc-updown-15m-1788525900,-0.00013986,0,0,avant clôture #1
B,1788525900,btc-updown-15m-1788525900,-0.012065,0,0,après clôture #2
C,1788525900,btc-updown-15m-1788525900,-0.00013986,0,0,avant clôture #1
A,1788526800,btc-updown-15m-1788526800,-0.001386,0,0,avant clôture #1
B,1788526800,btc-updown-15m-1788526800,-0.014725,0,0,après clôture #2
C,1788526800,btc-updown-15m-1788526800,-0.001386,0,0,avant clôture #1
A,1788527700,btc-updown-15m-1788527700,-0.001386,0,0,entre #1 et #2
B,1788527700,btc-updown-15m-1788527700,-0.013409,0,0,après clôture #2
C,1788527700,btc-updown-15m-1788527700,-0.001386,0,0,entre #1 et #2
A,1788528600,btc-updown-15m-1788528600,0.0145201,1,1,après clôture #2
B,1788528600,btc-updown-15m-1788528600,-0.00552191,0,0,après clôture #2
C,1788528600,btc-updown-15m-1788528600,-0.001386,0,0,avant clôture #1
A,1788529500,btc-updown-15m-1788529500,-0.001386,0,0,avant clôture #1
B,1788529500,btc-updown-15m-1788529500,-0.013409,0,0,après clôture #2
C,1788529500,btc-updown-15m-1788529500,-0.001386,0,0,après clôture #2
A,1788530400,btc-updown-15m-1788530400,-0.001386,0,0,avant clôture #1
B,1788530400,btc-updown-15m-1788530400,-0.0139619,0,0,après clôture #2
C,1788530400,btc-updown-15m-1788530400,-0.001386,0,0,avant clôture #1
A,1788531300,btc-updown-15m-1788531300,-0.001386,0,0,avant clôture #1
B,1788531300,btc-updown-15m-1788531300,-0.0160715,0,0,entre #1 et #2
C,1788531300,btc-updown-15m-1788531300,-0.001386,0,0,avant clôture #1
A,1788532200,btc-updown-15m-1788532200,-0.001386,0,0,avant clôture #1
B,1788532200,btc-updown-15m-1788532200,-0.0227295,0,0,après clôture #2
C,1788532200,btc-updown-15m-1788532200,-0.002744,0,0,après clôture #2
A,1788533100,btc-updown-15m-1788533100,-0.001386,0,0,avant clôture #1
B,1788533100,btc-updown-15m-1788533100,-0.004074,0,0,avant clôture #1
C,1788533100,btc-updown-15m-1788533100,-0.001386,0,0,avant clôture #1
A,1788534000,btc-updown-15m-1788534000,-0.00013986,0,0,après clôture #2
B,1788534000,btc-updown-15m-1788534000,-0.0134088,0,0,entre #1 et #2
C,1788534000,btc-updown-15m-1788534000,-0.00013986,0,0,après clôture #2
A,1788534900,btc-updown-15m-1788534900,-0.000310443,0,0,après clôture #2
B,1788534900,btc-updown-15m-1788534900,-0.0185047,0,0,après clôture #2
C,1788534900,btc-updown-15m-1788534900,-0.000310443,0,0,après clôture #2
A,1788535800,btc-updown-15m-1788535800,-0.001386,0,0,avant clôture #1
B,1788535800,btc-updown-15m-1788535800,-0.018816,0,0,avant clôture #1
C,1788535800,btc-updown-15m-1788535800,-0.001386,0,0,avant clôture #1
A,1788536700,btc-updown-15m-1788536700,-0.001386,0,0,avant clôture #1
B,1788536700,btc-updown-15m-1788536700,-0.013409,0,0,avant clôture #1
C,1788536700,btc-updown-15m-1788536700,-0.001386,0,0,avant clôture #1
A,1788537600,btc-updown-15m-1788537600,-0.001386,0,0,avant clôture #1
B,1788537600,btc-updown-15m-1788537600,-0.016906,0,0,après clôture #2
C,1788537600,btc-updown-15m-1788537600,-0.001386,0,0,avant clôture #1
A,1788538500,btc-updown-15m-1788538500,-0.001386,0,0,avant clôture #1
B,1788538500,btc-updown-15m-1788538500,-0.018816,0,0,après clôture #2
C,1788538500,btc-updown-15m-1788538500,-0.001386,0,0,après clôture #2
A,1788539400,btc-updown-15m-1788539400,-0.00013986,0,0,après clôture #2
