slug,duree,ecart_pb,n_achats_apres,n_marge_pos_apres,parts_marge_pos_apres,profit_apres,prix_min_apres,delai_median_s_apres,n_achats_avant,n_marge_pos_avant,parts_marge_pos_avant,profit_avant,prix_min_avant,delai_median_s_avant
btc-updown-15m-1788480000,15m,-5.30137,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788480000,5m,-18.0149,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788480300,5m,3.64203,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788480600,5m,9.09114,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788480900,15m,-7.52838,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788480900,5m,-5.48217,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788481200,5m,13.3598,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788481500,5m,-15.3866,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788481800,15m,2.07473,3,3,40.782,0.0379301,0.999,0,3,3,7.002,0.00651235,0.999,-2
btc-updown-5m-1788481800,5m,16.06,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788482100,5m,10.4911,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788482400,5m,-24.4284,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788482700,15m,-26.2736,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788482700,5m,-5.34925,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788483000,5m,-12.3518,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788483300,5m,-8.59441,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788483600,15m,-2.61186,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788483600,5m,1.09365,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788483900,5m,8.41662,0,0,0,0,,,0,0,0,0,,
btc-updown-5m-1788484200,5m,-12.1115,0,0,0,0,,,0,0,0,0,,
btc-updown-15m-1788484500,15m,-13.3352,0,0,0,0,,,0,0,0,0,,
