variante,marche,phase,secondes_deux_cotes,secondes_somme_lt_1,secondes_cout_lt_1,part_somme_lt_1,part_cout_lt_1
A,15m,après clôture #2,198604,38841,11822,0.19557,0.0595255
A,15m,avant S,9580,442,1,0.0461378,0.000104384
A,15m,avant clôture #1,252376,47991,3901,0.190157,0.0154571
A,15m,entre #1 et #2,228319,43983,6416,0.192638,0.028101
A,5m#1,après clôture #2,0,0,0,,
A,5m#1,avant S,57004,4132,251,0.0724861,0.0044032
A,5m#1,avant clôture #1,468618,59834,8610,0.127682,0.0183732
A,5m#1,entre #1 et #2,259,64,57,0.247104,0.220077
A,5m#2,après clôture #2,259,28,19,0.108108,0.0733591
A,5m#2,avant S,388,5,0,0.0128866,0
A,5m#2,avant clôture #1,77032,5101,254,0.0662192,0.00329733
A,5m#2,entre #1 et #2,469921,59098,8055,0.125762,0.0171412
A,5m#3,après clôture #2,478563,62011,8428,0.129578,0.0176111
A,5m#3,avant S,26,0,0,0,0
A,5m#3,avant clôture #1,1755,14,0,0.00797721,0
A,5m#3,entre #1 et #2,77141,5079,271,0.0658405,0.00351305
B,15m,après clôture #2,187733,11162,3963,0.0594568,0.0211098
B,15m,avant S,9580,19,0,0.0019833,0
B,15m,avant clôture #1,252376,9584,945,0.0379751,0.00374441
B,15m,entre #1 et #2,227436,9376,1526,0.0412248,0.00670958
B,5m#1,après clôture #2,0,0,0,,
B,5m#1,avant S,57004,719,84,0.0126131,0.00147358
B,5m#1,avant clôture #1,446848,11061,2780,0.0247534,0.00622135
B,5m#1,entre #1 et #2,97,39,37,0.402062,0.381443
B,5m#2,après clôture #2,39,11,11,0.282051,0.282051
B,5m#2,avant S,388,0,0,0,0
B,5m#2,avant clôture #1,77032,842,86,0.0109305,0.00111642
B,5m#2,entre #1 et #2,448397,10383,2582,0.0231558,0.00575829
B,5m#3,après clôture #2,457858,10968,2765,0.023955,0.00603899
B,5m#3,avant S,26,0,0,0,0
B,5m#3,avant clôture #1,1755,0,0,0,0
B,5m#3,entre #1 et #2,77141,829,113,0.0107466,0.00146485
C,15m,après clôture #2,94755,9855,2534,0.104005,0.0267427
C,15m,avant S,2692,117,1,0.0434621,0.000371471
C,15m,avant clôture #1,97045,12126,702,0.124952,0.00723376
C,15m,entre #1 et #2,87314,10649,1261,0.121962,0.0144421
C,5m#1,après clôture #2,0,0,0,,
C,5m#1,avant S,26596,1066,42,0.0400812,0.00157918
C,5m#1,avant clôture #1,366260,8363,428,0.0228335,0.00116857
C,5m#1,entre #1 et #2,118,10,6,0.0847458,0.0508475
C,5m#2,après clôture #2,94,7,4,0.0744681,0.0425532
C,5m#2,avant S,100,2,0,0.02,0
C,5m#2,avant clôture #1,32659,1336,29,0.0409076,0.000887964
C,5m#2,entre #1 et #2,364478,8848,445,0.0242758,0.00122092
C,5m#3,après clôture #2,372491,9256,412,0.0248489,0.00110607
C,5m#3,avant S,9,0,0,0,0
C,5m#3,avant clôture #1,540,5,0,0.00925926,0
C,5m#3,entre #1 et #2,32909,1301,49,0.0395333,0.00148895
