decalage_s,moitie,n,ecart_niveau_moyen_pb,ecart_niveau_sd_pb,rmse_F_moins_K_pb,accord_issue
0,1re moitié,3840,1.81236,1.6742,0.497144,0.972917
0,2e moitié,4222,4.32969,2.93999,0.552957,0.981288
1,1re moitié,3840,1.81191,1.66564,0.450252,0.973437
1,2e moitié,4222,4.32757,2.93131,0.4687,0.98271
2,1re moitié,3840,1.81178,1.65957,0.416142,0.973177
2,2e moitié,4222,4.32576,2.92506,0.402148,0.983894
3,1re moitié,3840,1.81162,1.65536,0.397926,0.973698
3,2e moitié,4222,4.32422,2.92112,0.363005,0.984368
4,1re moitié,3840,1.81143,1.65357,0.397834,0.973698
4,2e moitié,4222,4.32273,2.92003,0.359267,0.983894
5,1re moitié,3840,1.81164,1.65389,0.415293,0.972396
5,2e moitié,4222,4.32134,2.921,0.393604,0.982473
6,1re moitié,3840,1.81208,1.65635,0.448905,0.971354
6,2e moitié,4222,4.31998,2.9247,0.455455,0.981288
7,1re moitié,3840,1.81265,1.66113,0.495081,0.969531
7,2e moitié,4222,4.31876,2.93053,0.535128,0.978683
