duree,phase,variante,bin,p_mean,up_rate,n,p_lo,p_hi,se
5m,2,brute,0,0.341856,0.378269,2218,0.0497057,0.400795,0.0102972
5m,2,brute,1,0.428411,0.457169,2218,0.400879,0.449842,0.0105777
5m,2,brute,2,0.464339,0.463239,2217,0.449873,0.47609,0.0105903
5m,2,brute,3,0.485203,0.466186,2218,0.476105,0.493082,0.0105924
5m,2,brute,4,0.49784,0.478124,2217,0.493084,0.499992,0.0106089
5m,2,brute,5,0.501583,0.515329,2218,0.499992,0.506117,0.0106117
5m,2,brute,6,0.514261,0.54734,2218,0.506123,0.523306,0.010569
5m,2,brute,7,0.536312,0.556157,2217,0.523307,0.551225,0.0105519
5m,2,brute,8,0.573038,0.550496,2218,0.551233,0.602306,0.0105624
5m,2,brute,9,0.668131,0.622463,2217,0.602398,0.969304,0.0102956
5m,2,corrigée,0,0.371437,0.374211,2218,0.100234,0.420431,0.0102752
5m,2,corrigée,1,0.440956,0.452209,2218,0.420436,0.457934,0.0105681
5m,2,corrigée,2,0.469321,0.461434,2217,0.457966,0.478912,0.0105875
5m,2,corrigée,3,0.486349,0.467087,2218,0.478916,0.493081,0.0105937
5m,2,corrigée,4,0.497513,0.482183,2217,0.493082,0.49999,0.0106123
5m,2,corrigée,5,0.501786,0.521641,2218,0.49999,0.506289,0.0106067
5m,2,corrigée,6,0.513211,0.559062,2218,0.506293,0.520622,0.0105424
5m,2,corrigée,7,0.531197,0.548038,2217,0.52063,0.543551,0.01057
5m,2,corrigée,8,0.560637,0.545987,2218,0.543556,0.583371,0.0105717
5m,2,corrigée,9,0.637493,0.622914,2217,0.583408,0.918453,0.0102932
5m,3,brute,0,0.012921,0.0311637,2535,1.51696e-62,0.0672527,0.00345113
5m,3,brute,1,0.173156,0.223362,2534,0.0673046,0.260342,0.00827391
5m,3,brute,2,0.320382,0.34359,2535,0.26036,0.371649,0.00943233
5m,3,brute,3,0.407855,0.423836,2534,0.37165,0.441246,0.00981677
5m,3,brute,4,0.472895,0.470403,2534,0.441287,0.499943,0.00991527
5m,3,brute,5,0.52526,0.543984,2535,0.499944,0.554895,0.00989223
5m,3,brute,6,0.591623,0.593528,2534,0.554924,0.631542,0.00975737
5m,3,brute,7,0.684845,0.646548,2535,0.631569,0.74558,0.0094946
5m,3,brute,8,0.836417,0.794002,2534,0.745639,0.93721,0.00803414
5m,3,brute,9,0.988237,0.964483,2534,0.937389,1,0.00367673
5m,3,corrigée,0,0.0343836,0.0299803,2535,2.23334e-39,0.13106,0.00338703
