slug,asset,duree,S,instant,variante,cote,avantage_estime,delta_s,qte,meilleur_ask,taille_meilleur_ask,prix_moyen,qte_obtenue,pnl_par_part,y
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0,10,0.35,30.86,0.35,10,-0.365925,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0,100,0.35,30.86,0.361242,100,-0.377394,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0.1,10,0.35,50.86,0.35,10,-0.365925,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0.1,100,0.35,50.86,0.355828,100,-0.371873,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0.3,10,0.34,57.86,0.34,10,-0.355708,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0.3,100,0.34,57.86,0.346128,100,-0.361971,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0.5,10,0.31,53,0.31,10,-0.324973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,0.5,100,0.31,53,0.3147,100,-0.329796,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,1,10,0.31,45,0.31,10,-0.324973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,1,100,0.31,45,0.321428,100,-0.336696,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,2,10,0.32,50.86,0.32,10,-0.335232,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,2,100,0.32,50.86,0.325328,100,-0.340692,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,5,10,0.31,30,0.31,10,-0.324973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,brute,-1,0.275229,5,100,0.31,30,0.3319,100,-0.347422,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0,10,0.35,30.86,0.35,10,-0.365925,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0,100,0.35,30.86,0.361242,100,-0.377394,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0.1,10,0.35,50.86,0.35,10,-0.365925,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0.1,100,0.35,50.86,0.355828,100,-0.371873,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0.3,10,0.34,57.86,0.34,10,-0.355708,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0.3,100,0.34,57.86,0.346128,100,-0.361971,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0.5,10,0.31,53,0.31,10,-0.324973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,0.5,100,0.31,53,0.3147,100,-0.329796,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,1,10,0.31,45,0.31,10,-0.324973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,1,100,0.31,45,0.321428,100,-0.336696,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,2,10,0.32,50.86,0.32,10,-0.335232,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,2,100,0.32,50.86,0.325328,100,-0.340692,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,5,10,0.31,30,0.31,10,-0.324973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,corrigée,-1,0.208866,5,100,0.31,30,0.3319,100,-0.347422,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0,10,0.18,90.52,0.18,10,-0.190332,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0,100,0.18,90.52,0.180948,100,-0.191322,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0.1,10,0.18,55,0.18,10,-0.190332,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0.1,100,0.18,55,0.189,100,-0.19973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0.3,10,0.17,30,0.17,10,-0.179877,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0.3,100,0.17,30,0.213,100,-0.224734,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0.5,10,0.17,30,0.17,10,-0.179877,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,0.5,100,0.17,30,0.213,100,-0.224734,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,1,10,0.14,20,0.14,10,-0.148428,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,1,100,0.14,20,0.1905,100,-0.201295,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,2,10,0.18,10,0.18,10,-0.190332,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,2,100,0.18,10,0.211,100,-0.222654,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,5,10,0.14,15,0.14,10,-0.148428,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,brute,-1,0.527265,5,100,0.14,15,0.1975,100,-0.208595,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0,10,0.18,90.52,0.18,10,-0.190332,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0,100,0.18,90.52,0.180948,100,-0.191322,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0.1,10,0.18,55,0.18,10,-0.190332,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0.1,100,0.18,55,0.189,100,-0.19973,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0.3,10,0.17,30,0.17,10,-0.179877,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0.3,100,0.17,30,0.213,100,-0.224734,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0.5,10,0.17,30,0.17,10,-0.179877,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,0.5,100,0.17,30,0.213,100,-0.224734,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,1,10,0.14,20,0.14,10,-0.148428,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,1,100,0.14,20,0.1905,100,-0.201295,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,2,10,0.18,10,0.18,10,-0.190332,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,2,100,0.18,10,0.211,100,-0.222654,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,5,10,0.14,15,0.14,10,-0.148428,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,corrigée,-1,0.428283,5,100,0.14,15,0.1975,100,-0.208595,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-30,brute,-1,0.811655,0,10,0.13,123,0.13,10,-0.137917,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-30,brute,-1,0.811655,0,100,0.13,123,0.13,100,-0.137917,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-30,brute,-1,0.811655,0.1,10,0.13,123,0.13,10,-0.137917,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-30,brute,-1,0.811655,0.1,100,0.13,123,0.13,100,-0.137917,1
btc-updown-15m-1790397900,btc,15m,1790397900,E-30,brute,-1,0.811655,0.3,10,0.13,98,0.13,10,-0.137917,1
