variante,delta_s,qte,decisions,marches,creneaux,part_remplie,taille_meilleur_ask_mediane,prix_moyen,pnl_par_part,lo,hi,taux_gain
brute,0,10,183,51,9,1,65,0.459467,-0.0364964,-0.111015,0.045951,0.437158
brute,0,100,183,51,9,1,65,0.46708,-0.0440523,-0.118066,0.0377661,0.437158
brute,0.1,10,183,51,9,1,67.91,0.460035,-0.0370709,-0.11125,0.0456194,0.437158
brute,0.1,100,183,51,9,1,67.91,0.46891,-0.0458921,-0.119372,0.0368917,0.437158
brute,0.3,10,183,51,9,1,70,0.459994,-0.0369327,-0.110456,0.0434735,0.437158
brute,0.3,100,183,51,9,1,70,0.466959,-0.0438876,-0.117121,0.0366079,0.437158
brute,0.5,10,183,51,9,1,72,0.460651,-0.0375939,-0.111292,0.0455764,0.437158
brute,0.5,100,183,51,9,1,72,0.467999,-0.0449152,-0.118895,0.0375283,0.437158
brute,1,10,183,51,9,1,61,0.462328,-0.0391947,-0.113402,0.0452591,0.437158
brute,1,100,183,51,9,1,61,0.469912,-0.0467605,-0.121113,0.0364823,0.437158
brute,2,10,183,51,9,1,70,0.464569,-0.0413695,-0.117624,0.0451396,0.437158
brute,2,100,183,51,9,1,70,0.472121,-0.0488795,-0.123926,0.0373605,0.437158
brute,5,10,183,51,9,1,73.11,0.466541,-0.0429569,-0.116531,0.0350195,0.437158
brute,5,100,183,51,9,1,73.11,0.473966,-0.0503352,-0.122413,0.0259333,0.437158
corrigée,0,10,48,26,8,1,131.785,0.187271,-0.0715457,-0.177737,0.0862745,0.125
corrigée,0,100,48,26,8,1,131.785,0.190661,-0.0750481,-0.180942,0.0821915,0.125
corrigée,0.1,10,48,26,8,1,97.93,0.188931,-0.0732382,-0.178175,0.0838532,0.125
corrigée,0.1,100,48,26,8,1,97.93,0.193692,-0.0781747,-0.181667,0.0767185,0.125
corrigée,0.3,10,48,26,8,1,109.985,0.184136,-0.0682148,-0.173754,0.0895196,0.125
corrigée,0.3,100,48,26,8,1,109.985,0.188451,-0.0727159,-0.177945,0.0845453,0.125
corrigée,0.5,10,48,26,8,1,102.23,0.183533,-0.0675545,-0.171932,0.0883648,0.125
corrigée,0.5,100,48,26,8,1,102.23,0.188819,-0.0730128,-0.176996,0.0819703,0.125
corrigée,1,10,48,26,8,1,90.555,0.183438,-0.0673685,-0.169511,0.0866956,0.125
corrigée,1,100,48,26,8,1,90.555,0.190547,-0.0747332,-0.177228,0.0781982,0.125
corrigée,2,10,48,26,8,1,101.22,0.182813,-0.0667496,-0.17335,0.0900794,0.125
corrigée,2,100,48,26,8,1,101.22,0.187898,-0.0719978,-0.176626,0.0819868,0.125
corrigée,5,10,48,26,8,1,96.165,0.168021,-0.0512186,-0.155951,0.106568,0.125
corrigée,5,100,48,26,8,1,96.165,0.172856,-0.0562595,-0.159858,0.10327,0.125
