slug,asset,duree,S,instant,t,y,p_f,p_corr,mid,ecart_bid_ask,taille_ask_up,taille_ask_down,groupe
btc-updown-15m-1790397900,btc,15m,1790397900,S-45,1790397855,1,0.499995,0.499995,0.505,0.01,58.03,250.26,avant S
btc-updown-15m-1790397900,btc,15m,1790397900,S-30,1790397870,1,0.499985,0.499987,0.505,0.01,58.03,250.26,avant S
btc-updown-15m-1790397900,btc,15m,1790397900,S-20,1790397880,1,0.556385,0.545368,0.515,0.01,71.99,80,avant S
btc-updown-15m-1790397900,btc,15m,1790397900,S-10,1790397890,1,0.556893,0.545805,0.515,0.01,66.22,60,avant S
btc-updown-15m-1790397900,btc,15m,1790397900,S-5,1790397895,1,0.557183,0.546054,0.515,0.01,52.41,50,avant S
btc-updown-15m-1790397900,btc,15m,1790397900,S-2,1790397898,1,0.557299,0.546161,0.515,0.01,42.41,30,avant S
btc-updown-15m-1790397900,btc,15m,1790397900,S,1790397900,1,0.557427,0.546268,0.51,0.02,42.41,35,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,S+2,1790397902,1,0.557633,0.546428,0.515,0.01,21.64,5528,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,S+5,1790397905,1,0.557759,0.546537,0.515,0.01,21.64,6951.67,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,S+10,1790397910,1,0.558095,0.546808,0.565,0.01,281.94,15,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,S+30,1790397930,1,0.559543,0.547971,0.575,0.01,424.44,60,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,S+60,1790397960,1,0.561617,0.549654,0.565,0.01,355,100,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,S+120,1790398020,1,0.566292,0.553435,0.555,0.01,332.99,160,S…S+120
btc-updown-15m-1790397900,btc,15m,1790397900,E-90,1790398710,1,0.358846,0.425209,0.655,0.01,15,30.86,fin (E−90…E−10)
btc-updown-15m-1790397900,btc,15m,1790397900,E-60,1790398740,1,0.282403,0.381385,0.825,0.01,22.92,90.52,fin (E−90…E−10)
btc-updown-15m-1790397900,btc,15m,1790397900,E-30,1790398770,1,0.0504284,0.269746,0.875,0.01,64.11,123,fin (E−90…E−10)
btc-updown-15m-1790398800,btc,15m,1790398800,S-45,1790398755,0,0.499995,0.499992,0.505,0.01,85.19,75,avant S
btc-updown-15m-1790398800,btc,15m,1790398800,S-30,1790398770,0,0.499985,0.499984,0.505,0.01,58.21,98.01,avant S
