slug,asset,duree,t_event,dP,p0,mid0,t_formula,t_book,delay_ms,censored,t_rel_S_s,phase
btc-updown-15m-1790397000,btc,15m,1790397126310,0.0702091,0.580945,0.595,1790397125950,1.7904e+12,280,False,126.31,3
btc-updown-15m-1790397000,btc,15m,1790397291870,-0.204408,0.670278,0.625,1790397291870,1.7904e+12,260,False,291.87,3
btc-updown-15m-1790397000,btc,15m,1790397342270,0.0568413,0.430479,0.455,1790397342250,1.7904e+12,60,False,342.27,3
btc-updown-15m-1790397000,btc,15m,1790397348310,0.0541059,0.499379,0.555,1790397347490,1.7904e+12,3380,False,348.31,3
btc-updown-15m-1790397000,btc,15m,1790397360850,0.0508041,0.629096,0.645,1790397360850,1.7904e+12,300,False,360.85,3
btc-updown-15m-1790397000,btc,15m,1790397520330,0.0577021,0.605267,0.625,1790397520330,1.7904e+12,120,False,520.33,3
btc-updown-15m-1790397000,btc,15m,1790397668270,0.0906884,0.774446,0.855,1790397668270,1.7904e+12,620,False,668.27,3
btc-updown-15m-1790397900,btc,15m,1790398166820,0.054599,0.515454,0.555,1790398166600,1.7904e+12,80,False,266.82,3
btc-updown-15m-1790397900,btc,15m,1790398188520,-0.0521141,0.617636,0.595,1790398188460,1.7904e+12,200,False,288.52,3
btc-updown-15m-1790397900,btc,15m,1790398598580,-0.0704529,0.665304,0.745,1790398598580,1.7904e+12,160,False,698.58,3
btc-updown-15m-1790397900,btc,15m,1790398661660,-0.107997,0.567567,0.495,1790398661660,1.7904e+12,1140,False,761.66,3
btc-updown-15m-1790397900,btc,15m,1790398784220,0.0730894,0.23823,0.985,1790398784200,,,True,884.22,4
btc-updown-15m-1790397900,btc,15m,1790398797000,0.697566,0.302434,,1790398797000,,,True,897,4
btc-updown-15m-1790398800,btc,15m,1790399283740,0.0529477,0.721419,0.735,1790399283740,1.7904e+12,-120,False,483.74,3
btc-updown-15m-1790398800,btc,15m,1790399357640,-0.0595703,0.892205,0.875,1790399357520,1.7904e+12,80,False,557.64,3
btc-updown-15m-1790398800,btc,15m,1790399422720,-0.068227,0.828181,0.715,1790399422720,1.7904e+12,200,False,622.72,3
btc-updown-15m-1790398800,btc,15m,1790399543660,-0.0821233,0.842177,0.615,1790399543660,1.7904e+12,220,False,743.66,3
btc-updown-15m-1790398800,btc,15m,1790399557240,-0.0780077,0.589571,0.285,1790399557240,1.7904e+12,180,False,757.24,3
btc-updown-15m-1790398800,btc,15m,1790399574060,-0.0904981,0.487924,0.235,1790399574060,1.7904e+12,260,False,774.06,3
btc-updown-15m-1790398800,btc,15m,1790399582340,-0.0917232,0.389343,0.125,1790399582340,1.7904e+12,1760,False,782.34,3
btc-updown-15m-1790398800,btc,15m,1790399586820,-0.0626186,0.208753,0.065,1790399586820,1.7904e+12,640,False,786.82,3
btc-updown-15m-1790398800,btc,15m,1790399637140,0.0644116,0.000212054,,1790399637140,,,True,837.14,3
btc-updown-15m-1790398800,btc,15m,1790399647860,0.121491,0.0803375,0.125,1790399647860,1.7904e+12,280,False,847.86,4
btc-updown-15m-1790398800,btc,15m,1790399697000,0.961465,0.0385348,,1790399697000,,,True,897,4
btc-updown-15m-1790399700,btc,15m,1790399736560,-0.0543749,0.42955,0.435,1790399736560,1.7904e+12,120,False,36.56,3
btc-updown-15m-1790399700,btc,15m,1790399963540,0.051316,0.0566172,0.165,1790399963460,1.7904e+12,160,False,263.54,3
btc-updown-15m-1790399700,btc,15m,1790400057200,0.0633721,0.228734,0.335,1790400057200,1.7904e+12,140,False,357.2,3
btc-updown-15m-1790399700,btc,15m,1790400092540,0.0737952,0.327302,0.435,1790400092540,1.7904e+12,180,False,392.54,3
btc-updown-15m-1790399700,btc,15m,1790400218080,0.120548,0.384915,0.445,1790400218080,1.7904e+12,260,False,518.08,3
btc-updown-15m-1790399700,btc,15m,1790400236380,0.112016,0.505604,0.575,1790400236380,1.7904e+12,180,False,536.38,3
btc-updown-15m-1790399700,btc,15m,1790400243500,0.121303,0.662969,0.775,1790400243500,1.7904e+12,260,False,543.5,3
btc-updown-15m-1790399700,btc,15m,1790400331600,-0.0996995,0.828348,0.765,1790400331600,1.7904e+12,180,False,631.6,3
btc-updown-15m-1790399700,btc,15m,1790400410080,0.0719989,0.773222,0.805,1790400410080,1.7904e+12,60,False,710.08,3
btc-updown-15m-1790399700,btc,15m,1790400425540,-0.122916,0.909491,0.855,1790400425540,1.7904e+12,260,False,725.54,3
btc-updown-15m-1790399700,btc,15m,1790400434980,-0.129016,0.30125,0.405,1790400434980,1.7904e+12,220,False,734.98,3
btc-updown-15m-1790399700,btc,15m,1790400489380,-0.0667996,0.105528,0.095,1790400489380,1.7904e+12,2540,False,789.38,3
btc-updown-15m-1790399700,btc,15m,1790400597000,1,1.52821e-26,,1790400597000,,,True,897,4
btc-updown-15m-1790400600,btc,15m,1790400625060,-0.070643,0.499977,0.525,1790400625060,1.7904e+12,340,False,25.06,3
btc-updown-15m-1790400600,btc,15m,1790401042080,0.0531113,0.214759,0.235,1790401042080,1.7904e+12,160,False,442.08,3
btc-updown-15m-1790400600,btc,15m,1790401050020,0.0707854,0.30652,0.445,1790401050020,1.7904e+12,240,False,450.02,3
btc-updown-15m-1790400600,btc,15m,1790401106320,0.0511744,0.36843,0.465,1790401106280,1.7904e+12,240,False,506.32,3
btc-updown-15m-1790400600,btc,15m,1790401126080,0.0506549,0.469402,0.635,1790401126080,1.7904e+12,140,False,526.08,3
btc-updown-15m-1790400600,btc,15m,1790401129660,0.120523,0.520118,0.675,1790401129660,1.7904e+12,80,False,529.66,3
btc-updown-15m-1790400600,btc,15m,1790401170540,0.0522348,0.649609,0.775,1790401170320,1.7904e+12,240,False,570.54,3
btc-updown-15m-1790400600,btc,15m,1790401209320,-0.0827963,0.763556,0.775,1790401209320,1.7904e+12,580,False,609.32,3
btc-updown-15m-1790401500,btc,15m,1790401499180,0.0698554,0.500039,0.515,1790401499180,1.7904e+12,1400,False,-0.82,2
btc-updown-15m-1790401500,btc,15m,1790401590540,0.0623479,0.588423,0.605,1790401590540,1.7904e+12,18840,False,90.54,3
btc-updown-15m-1790401500,btc,15m,1790401614340,0.0661034,0.655607,0.675,1790401614340,1.7904e+12,5880,False,114.34,3
btc-updown-15m-1790401500,btc,15m,1790401624900,-0.0517936,0.758426,0.745,1790401624900,1.7904e+12,220,False,124.9,3
btc-updown-15m-1790401500,btc,15m,1790401900620,-0.111225,0.75395,0.725,1790401900620,1.7904e+12,300,False,400.62,3
btc-updown-15m-1790401500,btc,15m,1790402041120,-0.0522081,0.262569,0.175,1790402041120,1.7904e+12,1040,False,541.12,3
btc-updown-15m-1790401500,btc,15m,1790402164040,0.056326,0.102145,0.175,1790402164040,1.7904e+12,260,False,664.04,3
btc-updown-15m-1790401500,btc,15m,1790402397000,1,5.5582e-20,,1790402397000,,,True,897,4
btc-updown-15m-1790416800,btc,15m,1790416870830,0.0549074,0.708273,0.695,1790416870830,1.79042e+12,160,False,70.83,3
btc-updown-15m-1790416800,btc,15m,1790416936830,0.076658,0.772833,0.735,1790416936830,1.79042e+12,200,False,136.83,3
btc-updown-15m-1790417700,btc,15m,1790417699180,-0.0668915,0.534831,0.53,1790417699180,1.79042e+12,160,False,-0.82,2
btc-updown-15m-1790417700,btc,15m,1790417834140,0.0978623,0.555469,0.635,1790417834140,1.79042e+12,220,False,134.14,3
btc-updown-15m-1790417700,btc,15m,1790418135660,-0.075065,0.942898,0.905,1790418135580,1.79042e+12,200,False,435.66,3
btc-updown-15m-1790417700,btc,15m,1790418165380,-0.0657232,0.87617,0.86,1790418165120,1.79042e+12,-360,False,465.38,3
btc-updown-15m-1790417700,btc,15m,1790418169180,-0.058287,0.678627,0.615,1790418168960,1.79042e+12,200,False,469.18,3
btc-updown-15m-1790417700,btc,15m,1790418172180,-0.0806672,0.620308,0.565,1790418171980,1.79042e+12,260,False,472.18,3
btc-updown-15m-1790417700,btc,15m,1790418193120,0.063308,0.540582,0.615,1790418193120,1.79042e+12,-380,False,493.12,3
btc-updown-15m-1790417700,btc,15m,1790418196120,0.066319,0.623959,0.725,1790418195960,1.79042e+12,200,False,496.12,3
btc-updown-15m-1790417700,btc,15m,1790418223800,0.0588144,0.811728,0.875,1790418223800,1.79042e+12,14100,False,523.8,3
btc-updown-15m-1790417700,btc,15m,1790418299320,-0.0640855,0.90169,0.825,1790418299320,1.79042e+12,140,False,599.32,3
btc-updown-15m-1790417700,btc,15m,1790418462120,-0.0580151,0.916013,0.885,1790418462120,1.79042e+12,140,False,762.12,3
btc-updown-15m-1790417700,btc,15m,1790418521960,-0.271089,0.940241,0.905,1790418521960,,,True,821.96,3
btc-updown-15m-1790417700,btc,15m,1790418549500,0.175416,0.766162,0.965,1790418549500,,,True,849.5,4
btc-updown-15m-1790418600,btc,15m,1790418866320,-0.093003,0.543256,0.435,1790418866320,1.79042e+12,80,False,266.32,3
btc-updown-15m-1790418600,btc,15m,1790418888800,-0.0621985,0.433158,0.345,1790418888800,1.79042e+12,140,False,288.8,3
btc-updown-15m-1790418600,btc,15m,1790419175280,0.125046,0.350081,0.295,1790419175280,1.79042e+12,180,False,575.28,3
btc-updown-15m-1790418600,btc,15m,1790419199160,-0.204686,0.517385,0.495,1790419199160,1.79042e+12,260,False,599.16,3
btc-updown-15m-1790418600,btc,15m,1790419206840,0.131501,0.309691,0.295,1790419206840,1.79042e+12,200,False,606.84,3
btc-updown-15m-1790418600,btc,15m,1790419257480,0.0663598,0.519847,0.555,1790419257480,1.79042e+12,140,False,657.48,3
