filtre,lam_ms,achats,marches,creneaux,prix_moyen,markout,markout_lo,markout_hi,pnl_issue,pnl_issue_lo,pnl_issue_hi
tous les mouvements,0,391,71,11,0.528562,0.0766968,0.0595898,0.094259,0.0581133,0.0133361,0.110825
tous les mouvements,50,391,71,11,0.532403,0.0723097,0.0551226,0.0898034,0.0542627,0.00981373,0.106866
tous les mouvements,100,391,71,11,0.538891,0.0650985,0.0480543,0.0827859,0.0477645,0.00395789,0.0991476
tous les mouvements,200,391,71,11,0.560777,0.0434101,0.0243826,0.0619071,0.02593,-0.0190636,0.0770797
tous les mouvements,300,391,71,11,0.585118,0.0140874,-0.00651196,0.0323415,0.00171315,-0.0425723,0.0532438
tous les mouvements,500,389,71,11,0.602188,-0.00405207,-0.0233809,0.0119819,-0.0173309,-0.0615814,0.0356583
tous les mouvements,1000,386,71,11,0.607102,-0.0119027,-0.0312301,0.00438955,-0.0252263,-0.0719769,0.0303649
tous les mouvements,2000,385,71,11,0.601171,-0.00730218,-0.0222078,0.00502804,-0.0203219,-0.0677195,0.0355862
tous les mouvements,5000,383,71,11,0.605571,-0.0118445,-0.0209633,-0.00406646,-0.0267367,-0.0726187,0.0284176
espérance de la formule > 0,0,181,63,11,0.36777,0.13355,0.101,0.168678,0.151253,0.080453,0.221471
espérance de la formule > 0,50,170,63,11,0.364631,0.132686,0.0998071,0.167064,0.135867,0.0819566,0.192384
espérance de la formule > 0,100,162,62,11,0.368302,0.12747,0.0915265,0.165723,0.132837,0.0853992,0.183297
espérance de la formule > 0,200,135,62,11,0.380719,0.10678,0.068223,0.148857,0.0973829,0.0388359,0.150463
espérance de la formule > 0,300,99,57,11,0.361319,0.0568926,0.0300801,0.0844557,0.0633713,-0.0145545,0.139467
espérance de la formule > 0,500,80,56,11,0.330092,0.0184275,0.00196799,0.0324284,0.0612325,-0.0489638,0.17535
espérance de la formule > 0,1000,80,54,11,0.316225,0.00587588,-0.0195034,0.0245038,0.0375826,-0.0619817,0.151909
espérance de la formule > 0,2000,86,55,11,0.30445,-0.000288279,-0.0201195,0.018908,0.000796018,-0.100903,0.129943
espérance de la formule > 0,5000,86,54,11,0.302721,-0.0138938,-0.0317528,0.00870315,-0.032294,-0.130832,0.104906
