sigma,k,logloss_1re_moitie
park,0.8,0.571688
park,0.85,0.56827
park,0.9,0.565471
park,0.95,0.563144
park,1,0.561234
park,1.05,0.559642
park,1.1,0.558349
park,1.15,0.557328
park,1.2,0.55653
park,1.25,0.555912
park,1.3,0.555451
park,1.35,0.555126
park,1.4,0.554908
park,1.45,0.554776
park,1.5,0.554714
park,1.55,0.554718
park,1.6,0.554772
park,1.65,0.554857
park,1.7,0.554981
park,1.75,0.555134
park,1.8,0.555325
park,1.85,0.555545
park,1.9,0.555789
park,1.95,0.556054
park,2,0.556347
park,2.05,0.55666
park,2.1,0.556983
park,2.15,0.557325
park,2.2,0.557678
ewma,0.8,0.563724
ewma,0.85,0.560988
ewma,0.9,0.558746
ewma,0.95,0.556965
ewma,1,0.555551
ewma,1.05,0.554435
ewma,1.1,0.553594
ewma,1.15,0.552966
ewma,1.2,0.552513
ewma,1.25,0.552189
ewma,1.3,0.551988
ewma,1.35,0.551896
ewma,1.4,0.551875
ewma,1.45,0.551927
ewma,1.5,0.552041
ewma,1.55,0.552211
ewma,1.6,0.552414
ewma,1.65,0.552654
ewma,1.7,0.552927
ewma,1.75,0.55322
ewma,1.8,0.553543
ewma,1.85,0.553891
ewma,1.9,0.554259
ewma,1.95,0.554644
ewma,2,0.55504
ewma,2.05,0.55545
ewma,2.1,0.555867
ewma,2.15,0.556293
ewma,2.2,0.556725
tfm,0.8,0.562139
tfm,0.85,0.560239
tfm,0.9,0.558782
tfm,0.95,0.55768
tfm,1,0.556888
tfm,1.05,0.556335
tfm,1.1,0.555943
tfm,1.15,0.555673
tfm,1.2,0.555535
tfm,1.25,0.555511
tfm,1.3,0.55557
tfm,1.35,0.555695
tfm,1.4,0.555872
tfm,1.45,0.556102
tfm,1.5,0.556387
tfm,1.55,0.556711
tfm,1.6,0.557069
tfm,1.65,0.557453
tfm,1.7,0.557862
tfm,1.75,0.558286
tfm,1.8,0.558726
tfm,1.85,0.559182
tfm,1.9,0.559653
tfm,1.95,0.560133
tfm,2,0.560626
tfm,2.05,0.561124
tfm,2.1,0.561628
tfm,2.15,0.562139
tfm,2.2,0.562651
