variante,instant,n,moyenne,ecart_type,p05,p25,mediane,p75,p95,part_abs_sup_5pts,part_abs_sup_10pts
brute,S-45,4171,0.000835324,0.0233285,-0.0362195,-0.0118588,7.06646e-06,0.0139143,0.0399897,0.0433949,0.00167825
brute,S-30,4175,0.00100928,0.0310856,-0.0483815,-0.015878,0.000211133,0.0192574,0.049973,0.0960479,0.00814371
brute,S-20,4180,0.00195887,0.0356827,-0.0533743,-0.0184415,0.00125346,0.0222572,0.0586984,0.13756,0.0131579
brute,S-10,4180,0.00174479,0.0446062,-0.0671659,-0.0220788,0.000579977,0.0258565,0.0726086,0.201196,0.0382775
brute,S-5,4180,0.00211173,0.0456733,-0.0690833,-0.0229682,0.000956255,0.0261276,0.0746124,0.201675,0.0397129
brute,S-2,4180,0.00202369,0.0489554,-0.0728356,-0.0253316,0.0010524,0.0278527,0.0789005,0.234211,0.0495215
brute,S,4180,0.00269638,0.0529966,-0.0776087,-0.026888,0.000839327,0.0302335,0.0854084,0.260048,0.0619617
brute,S+2,4180,0.00189335,0.0607999,-0.0943959,-0.0306863,0.0016536,0.0332684,0.104733,0.322488,0.0995215
brute,S+5,4180,0.00173988,0.0531708,-0.0826748,-0.0263921,0.00147195,0.030405,0.0867794,0.27201,0.0672249
brute,S+10,4180,0.00215054,0.0485236,-0.0747334,-0.0244116,0.00176782,0.0293918,0.0796955,0.244258,0.0447368
brute,S+30,4180,0.00164824,0.0554641,-0.0864439,-0.0300827,0.00101825,0.0335933,0.0912786,0.310048,0.0700957
brute,S+60,4182,0.000452297,0.0609417,-0.0969358,-0.0377504,0.00110388,0.0383917,0.0978996,0.380918,0.0920612
brute,S+120,4182,0.00119788,0.0640826,-0.095363,-0.0371663,0.00244687,0.0403573,0.0953046,0.380679,0.0870397
brute,E-90,4182,-0.000105509,0.0636221,-0.096762,-0.0193204,0.000249091,0.0184585,0.0959311,0.23912,0.091583
brute,E-60,4182,-0.00124196,0.0723341,-0.106982,-0.01,0.000790124,0.01,0.0993317,0.201817,0.103778
brute,E-30,4182,-0.000628056,0.076909,-0.0522621,-0.01,0.001,0.01,0.0423829,0.0963654,0.0645624
brute,E-10,4182,0.00122524,0.113235,-0.01,-0.01,0.001,0.01,0.01,0.0384983,0.033955
corrigée,S-45,4171,0.000822236,0.0234822,-0.0371003,-0.0124162,7.62636e-06,0.0142273,0.0400025,0.0433949,0.00167825
corrigée,S-30,4175,0.00103582,0.0281387,-0.0440017,-0.01494,0.000522014,0.0178773,0.0452559,0.0711377,0.00335329
corrigée,S-20,4180,0.00178583,0.0303812,-0.0464363,-0.0161066,0.00156168,0.0195615,0.0500946,0.0870813,0.00669856
corrigée,S-10,4180,0.00158409,0.0361368,-0.0536924,-0.0183631,0.00118835,0.021686,0.0560665,0.132297,0.0184211
corrigée,S-5,4180,0.0018084,0.0369192,-0.0556862,-0.0189579,0.00144938,0.0224817,0.0599696,0.142823,0.0181818
corrigée,S-2,4180,0.00172275,0.039143,-0.0598885,-0.020008,0.00176493,0.0237406,0.0607514,0.158373,0.0229665
corrigée,S,4180,0.00221822,0.0415192,-0.061757,-0.0209798,0.00209505,0.0249906,0.0667293,0.17201,0.0315789
corrigée,S+2,4180,0.00161942,0.0459342,-0.0717822,-0.0244033,0.0019395,0.0265814,0.0751176,0.214833,0.0444976
corrigée,S+5,4180,0.00159836,0.0412484,-0.0627218,-0.0223797,0.00192416,0.0256463,0.0660208,0.179187,0.0255981
corrigée,S+10,4180,0.00178919,0.0390788,-0.0600365,-0.0224162,0.00162282,0.0256785,0.0638169,0.172488,0.0160287
corrigée,S+30,4180,0.00120939,0.0428241,-0.0645998,-0.0249267,0.0006056,0.026752,0.0671418,0.203828,0.0236842
corrigée,S+60,4182,0.000290291,0.0461548,-0.0703247,-0.0279468,0.000595668,0.028515,0.0712084,0.23649,0.0322812
corrigée,S+120,4182,0.00124511,0.0530926,-0.0761304,-0.0278549,0.0010262,0.0309485,0.0841067,0.270445,0.0502152
corrigée,E-90,4182,0.000457608,0.0636486,-0.103626,-0.0174958,0.000596096,0.0181504,0.100531,0.267336,0.104495
corrigée,E-60,4182,-0.00154642,0.0694686,-0.105169,-0.01,-0.000448747,0.00999995,0.104408,0.204448,0.107365
corrigée,E-30,4182,-0.00111059,0.0686584,-0.0544091,-0.01,-0.000794874,0.01,0.042065,0.0992348,0.0655189
corrigée,E-10,4182,0.00077678,0.0866993,-0.01,-0.01,0.001,0.01,0.01,0.0588235,0.0483022
