instant,n,age_median_s,pente_t,pente_t_lo,pente_t_hi,pente_t_eff,pente_t_eff_lo,pente_t_eff_hi,d_brier_eff,d_brier_eff_lo,d_brier_eff_hi
S-45,4171,2,0.185368,-0.504444,0.911868,0.0771795,-0.668286,0.835798,0.000428463,-0.000351284,0.0011817
S-30,4175,2,0.310204,-0.247328,0.875612,0.194193,-0.431678,0.801176,0.000406305,-0.000411843,0.00121908
S-20,4180,1,0.62018,0.087248,1.17605,0.618485,0.0283051,1.2211,-0.000179274,-0.00109462,0.00070683
S-10,4180,1,0.656474,0.234342,1.08481,0.594833,0.0769846,1.11709,-0.000182982,-0.00118767,0.000817941
S-5,4180,0,0.719807,0.315195,1.1595,0.611028,0.183226,1.07029,-0.000254192,-0.00132925,0.000729038
S-2,4180,0,0.714693,0.316673,1.10912,0.409379,-0.0299113,0.869183,0.000224378,-0.00093168,0.00131453
S,4180,0,0.595229,0.250777,0.97704,0.210222,-0.205701,0.651139,0.000762624,-0.000403168,0.00186259
S+2,4180,1,0.743622,0.417839,1.06501,0.125937,-0.262889,0.521513,0.00111062,-6.66168e-05,0.00227441
S+5,4180,1,0.426795,0.0417428,0.787383,0.0532419,-0.361314,0.45865,0.00122513,0.000112209,0.00237546
S+10,4180,0,0.486064,0.0921119,0.851161,-0.0658853,-0.474035,0.326121,0.00169679,0.000524902,0.0029176
S+30,4180,0,0.24702,-0.124092,0.607766,-0.189844,-0.555861,0.18636,0.0024186,0.00109343,0.00374153
S+60,4182,0,0.518309,0.215776,0.832684,0.1975,-0.132708,0.524138,0.00122709,-9.79469e-05,0.00252778
S+120,4182,0,0.12153,-0.125941,0.392101,0.040722,-0.227089,0.303689,0.00245267,0.00106578,0.00387623
E-90,4182,0,0.243887,0.0280866,0.446606,-0.0315598,-0.246325,0.179385,0.00412486,0.00252952,0.00579977
E-60,4182,0,0.388525,0.2051,0.574776,0.142253,-0.0521308,0.334585,0.00328231,0.0015348,0.00499316
E-30,4182,2,0.22884,0.0544452,0.388421,0.0714185,-0.0901861,0.231519,0.00379778,0.0023068,0.00530357
E-10,4182,4,0.038659,-0.0641996,0.15652,-0.0172552,-0.0964394,0.0703025,0.00765961,0.00577313,0.00967645
