variante,instant,n,brier_empilement,brier_marche,d_brier_emp_marche,lo,hi,d_logloss_emp_marche,lo_ll,hi_ll,pente_ecart,pente_lo,pente_hi
brute,S-45,4171,0.249585,0.24919,0.000395086,-0.000391938,0.00123966,0.000789977,-0.000793858,0.00248212,0.140635,-0.597213,0.831879
brute,S-30,4175,0.248949,0.248557,0.000391963,-0.000380891,0.00116232,0.000796507,-0.000768888,0.00236622,0.279041,-0.250245,0.799104
brute,S-20,4180,0.248309,0.248216,9.29492e-05,-0.000849867,0.00105251,0.000259445,-0.00165538,0.00221941,0.478587,0.00020698,0.933462
brute,S-10,4180,0.246525,0.246632,-0.000106966,-0.00106573,0.00088032,-0.000281414,-0.00224749,0.00170558,0.470014,0.11706,0.805226
brute,S-5,4180,0.246321,0.246384,-6.33395e-05,-0.000967798,0.000869862,-0.000169491,-0.00201801,0.00175024,0.437308,0.0763955,0.792282
brute,S-2,4180,0.245408,0.245455,-4.70961e-05,-0.000912405,0.00090068,-3.13175e-05,-0.00180331,0.00193783,0.464274,0.121965,0.794705
brute,S,4180,0.244183,0.244171,1.25264e-05,-0.000985468,0.000994539,0.000125968,-0.00194143,0.00226699,0.414781,0.113777,0.713983
brute,S+2,4180,0.242596,0.243259,-0.000662518,-0.00180118,0.000484859,-0.00127097,-0.00368764,0.00116953,0.529256,0.275364,0.788264
brute,S+5,4180,0.241474,0.241136,0.000338226,-0.000468892,0.00118508,0.000774412,-0.000900042,0.00259581,0.250659,-0.0474887,0.530545
brute,S+10,4180,0.237847,0.237529,0.00031801,-0.000439144,0.00108844,0.000722375,-0.000913978,0.00235571,0.307711,-0.0120191,0.64023
brute,S+30,4180,0.225095,0.224918,0.000177448,-0.000484356,0.000805828,0.000461509,-0.00103196,0.00188658,0.27919,0.0109819,0.548763
brute,S+60,4182,0.214198,0.21288,0.00131835,0.000420825,0.00222077,0.00346491,0.00117017,0.00583377,0.338328,0.109014,0.560898
brute,S+120,4182,0.182621,0.182238,0.000383181,-0.000298043,0.00111114,0.00110528,-0.00062151,0.00297162,0.0830294,-0.132905,0.296592
brute,E-90,4182,0.0837045,0.083629,7.55648e-05,-0.000393099,0.000547628,0.00027524,-0.00126321,0.00180569,0.273581,0.0561961,0.489879
brute,E-60,4182,0.05056,0.0510506,-0.000490588,-0.000882878,-9.71795e-05,-0.00207127,-0.00321233,-0.00088166,0.41683,0.222779,0.599705
brute,E-30,4182,0.0158316,0.015922,-9.03362e-05,-0.000586177,0.000430092,-0.00432891,-0.00657537,-0.0019233,0.213061,0.0490999,0.370427
brute,E-10,4182,0.00492338,0.00451539,0.000407989,-0.000286348,0.00117773,-0.000464715,-0.00522124,0.00545418,0.0692618,-0.0131109,0.161473
corrigée,S-45,4171,0.249583,0.24919,0.000393576,-0.000335871,0.0011988,0.000786201,-0.000674353,0.00240286,0.185368,-0.567418,0.868671
corrigée,S-30,4175,0.248867,0.248557,0.000310156,-0.000402968,0.00103436,0.000625753,-0.000807347,0.00210407,0.310204,-0.302446,0.882633
corrigée,S-20,4180,0.248247,0.248216,3.08949e-05,-0.000874462,0.000966788,0.000124439,-0.00171313,0.00202117,0.62018,0.0456192,1.16616
corrigée,S-10,4180,0.246458,0.246632,-0.000174233,-0.00110658,0.000785649,-0.00040469,-0.00230452,0.00155707,0.656474,0.207043,1.07098
corrigée,S-5,4180,0.246256,0.246384,-0.000127652,-0.00100825,0.000811518,-0.000295404,-0.00209697,0.00164053,0.719807,0.297218,1.15279
corrigée,S-2,4180,0.245369,0.245455,-8.58927e-05,-0.000917201,0.000835273,-0.000126356,-0.00184485,0.00179682,0.714693,0.302086,1.12152
corrigée,S,4180,0.244141,0.244171,-2.9683e-05,-0.00101606,0.000963498,2.05616e-05,-0.00199908,0.00209483,0.595229,0.216007,0.98291
corrigée,S+2,4180,0.242623,0.243259,-0.000636009,-0.0017419,0.000474465,-0.00123636,-0.00357437,0.00114027,0.743622,0.408487,1.09149
corrigée,S+5,4180,0.241497,0.241136,0.000361537,-0.000411933,0.00120688,0.000824263,-0.000810827,0.0026263,0.426795,0.048309,0.791854
corrigée,S+10,4180,0.237891,0.237529,0.000361898,-0.00038718,0.00110491,0.000807586,-0.000800438,0.00240662,0.486064,0.103941,0.881951
corrigée,S+30,4180,0.225049,0.224918,0.000131281,-0.000527943,0.00074817,0.000338113,-0.00112019,0.00178591,0.24702,-0.117993,0.604284
corrigée,S+60,4182,0.214197,0.21288,0.00131727,0.000411159,0.00221672,0.003465,0.00117372,0.00584888,0.518309,0.199573,0.844706
corrigée,S+120,4182,0.18257,0.182238,0.000331661,-0.000340695,0.00104506,0.000938946,-0.000770928,0.002802,0.12153,-0.154545,0.382882
corrigée,E-90,4182,0.08364,0.083629,1.1034e-05,-0.000505188,0.000521789,-0.000102817,-0.00180497,0.00159831,0.243887,0.0407874,0.45201
corrigée,E-60,4182,0.0504373,0.0510506,-0.000613224,-0.00107135,-0.000170106,-0.00298117,-0.00427636,-0.00171633,0.388525,0.186698,0.573954
corrigée,E-30,4182,0.0157166,0.015922,-0.000205337,-0.000690911,0.000289634,-0.00509494,-0.00725811,-0.00281211,0.22884,0.0646748,0.393421
corrigée,E-10,4182,0.00507867,0.00451539,0.000563285,-0.000130063,0.00131519,-0.00137714,-0.00530328,0.00359057,0.038659,-0.0583745,0.147041
