variante,duree,instant,a,b_formule,c_marche,n_apprentissage
brute,5m,S-45,-0.0251827,1.12337,0.306023,2875
brute,5m,S-30,-0.0248082,0.532683,0.453376,2875
brute,5m,S-20,-0.0255782,0.437061,0.580404,2875
brute,5m,S-10,-0.0288231,0.467722,0.525924,2875
brute,5m,S-5,-0.0300939,0.400101,0.623436,2875
brute,5m,S-2,-0.0342465,0.394451,0.628723,2875
brute,5m,S,-0.0389441,0.546105,0.432963,2875
brute,5m,S+2,-0.0344216,0.531063,0.443575,2875
brute,5m,S+5,-0.0294252,0.218646,0.838152,2875
brute,5m,S+10,-0.0346251,0.181331,0.852303,2875
brute,5m,S+30,-0.0289835,-0.0144452,1.08932,2876
brute,5m,S+60,-0.0452447,-0.12922,1.34179,2876
brute,5m,S+120,-0.0398967,0.108127,0.885207,2876
brute,5m,E-90,-0.0087999,0.0656441,0.984191,2877
brute,5m,E-60,-0.0182211,0.0920985,0.946625,2876
brute,5m,E-30,0.123494,0.0661833,1.22482,2876
brute,5m,E-10,0.60401,0.0141809,1.477,2876
brute,15m,S-45,-0.114643,1.56821,0.316141,958
brute,15m,S-30,-0.117798,0.629006,0.496217,958
brute,15m,S-20,-0.117711,1.08258,0.3446,958
brute,15m,S-10,-0.113274,0.764666,0.367839,958
brute,15m,S-5,-0.110957,0.689024,0.141446,958
brute,15m,S-2,-0.115222,0.449613,0.307916,958
brute,15m,S,-0.118375,0.298848,0.454324,958
brute,15m,S+2,-0.116782,0.43711,0.410663,958
brute,15m,S+5,-0.113883,0.648015,0.087789,958
brute,15m,S+10,-0.118127,0.733153,0.211009,958
brute,15m,S+30,-0.117004,0.0282031,1.18885,958
brute,15m,S+60,-0.123559,0.0988106,1.03519,958
brute,15m,S+120,-0.133347,0.584132,0.290434,958
brute,15m,E-90,-0.253061,0.0832201,0.783651,959
brute,15m,E-60,-0.213289,0.118178,0.780087,958
brute,15m,E-30,-0.720566,0.0637894,1.42443,958
brute,15m,E-10,-5.23799,-0.134931,5.96582,958
corrigée,5m,S-45,-0.0249271,0.895256,0.323316,2875
corrigée,5m,S-30,-0.0247799,0.523393,0.511657,2875
corrigée,5m,S-20,-0.0254561,0.48038,0.617727,2875
corrigée,5m,S-10,-0.0286954,0.562649,0.538955,2875
corrigée,5m,S-5,-0.0301858,0.463751,0.654112,2875
corrigée,5m,S-2,-0.0340762,0.461944,0.658663,2875
corrigée,5m,S,-0.0384331,0.681593,0.441567,2875
corrigée,5m,S+2,-0.0346275,0.685172,0.440603,2875
corrigée,5m,S+5,-0.0296794,0.266807,0.855711,2875
corrigée,5m,S+10,-0.0351126,0.223208,0.868603,2875
corrigée,5m,S+30,-0.0283717,0.0123034,1.05936,2876
corrigée,5m,S+60,-0.045593,-0.187863,1.34834,2876
corrigée,5m,S+120,-0.0399575,0.180949,0.86226,2876
corrigée,5m,E-90,-0.00794452,0.150219,0.930398,2877
corrigée,5m,E-60,-0.0165214,0.164188,0.899071,2876
corrigée,5m,E-30,0.128937,0.127166,1.1762,2876
corrigée,5m,E-10,0.683273,0.315224,1.21495,2876
corrigée,15m,S-45,-0.114074,1.18278,0.319018,958
corrigée,15m,S-30,-0.117406,0.693816,0.497599,958
corrigée,15m,S-20,-0.11717,1.25617,0.36227,958
corrigée,15m,S-10,-0.11321,0.937356,0.374634,958
corrigée,15m,S-5,-0.110581,0.866236,0.131789,958
corrigée,15m,S-2,-0.115069,0.577862,0.302058,958
corrigée,15m,S,-0.11763,0.402371,0.443723,958
corrigée,15m,S+2,-0.116377,0.575275,0.400986,958
corrigée,15m,S+5,-0.113456,0.842579,0.100135,958
corrigée,15m,S+10,-0.118143,0.913271,0.277184,958
corrigée,15m,S+30,-0.116284,0.042405,1.18541,958
corrigée,15m,S+60,-0.123355,0.178993,0.995566,958
corrigée,15m,S+120,-0.132833,0.796184,0.318805,958
corrigée,15m,E-90,-0.252766,0.146157,0.734774,959
corrigée,15m,E-60,-0.212016,0.191843,0.715114,958
corrigée,15m,E-30,-0.691863,0.153355,1.32813,958
corrigée,15m,E-10,-3.61698,-0.0852589,4.54531,958
