slug,S,n,min_ms,mediane_ms,p95_ms
btc-updown-15m-1790397000,1790397000,133834,-5.58301,1.53467,855.277
btc-updown-15m-1790397900,1790397900,179489,-12.2922,-1.06519,132.744
btc-updown-15m-1790398800,1790398800,165310,-21.8032,-10.8071,35.4695
btc-updown-15m-1790399700,1790399700,144042,-29.1992,-5.75549,53.5093
btc-updown-15m-1790400600,1790400600,149774,-34.9624,-25.4341,10.589
btc-updown-15m-1790401500,1790401500,100268,-44.6272,-37.7676,64.6043
btc-updown-15m-1790416800,1790416800,94043,-7.38281,3.29663,144.366
btc-updown-15m-1790417700,1790417700,157736,-21.1909,-8.53088,789.617
btc-updown-15m-1790418600,1790418600,171069,-31.7485,-22.3481,96.7268
btc-updown-15m-1790419500,1790419500,158809,-41.9104,-31.1575,43.4252
btc-updown-5m-1790397000,1790397000,30011,4.5022,7.77686,96.4302
btc-updown-5m-1790397300,1790397300,160746,-3.50098,32.6686,1335.68
btc-updown-5m-1790397600,1790397600,78974,-5.67944,-1.19971,107.966
btc-updown-5m-1790397900,1790397900,110562,-9.24731,-5.35205,58.6384
btc-updown-5m-1790398200,1790398200,113719,-11.8135,-2.30664,57.2372
btc-updown-5m-1790398500,1790398500,58007,-14.0291,-5.88916,713.571
btc-updown-5m-1790398800,1790398800,49212,-15.5352,-9.7229,712.336
btc-updown-5m-1790399100,1790399100,65707,-13.0327,-8.16528,31.6087
btc-updown-5m-1790399400,1790399400,44409,-17.9443,-13.1873,33.3409
btc-updown-5m-1790399700,1790399700,36638,-24.2698,-19.9872,-0.985059
btc-updown-5m-1790400000,1790400000,29895,-23.646,-18.5786,74.1776
btc-updown-5m-1790400300,1790400300,48130,-27.446,6.7887,98.0477
btc-updown-5m-1790400600,1790400600,47247,-27.4834,-4.86328,59.9395
btc-updown-5m-1790400900,1790400900,58128,-30.1448,-4.29834,85.9147
btc-updown-5m-1790401200,1790401200,81062,-36.4202,-29.5243,2872.43
btc-updown-5m-1790401500,1790401500,42799,-40.7283,-6.28662,69.6039
btc-updown-5m-1790401800,1790401800,36431,-42.5776,-38.8999,30.8314
btc-updown-5m-1790402100,1790402100,101290,-45.7803,-40.0079,115.939
btc-updown-5m-1790402400,1790402400,67259,-48.6489,-44.8435,72.8733
btc-updown-5m-1790416800,1790416800,33056,1.26831,6.52441,119.585
btc-updown-5m-1790417100,1790417100,47602,-0.106445,5.71448,148.031
btc-updown-5m-1790417400,1790417400,41857,-8.99756,-2.66235,217.642
btc-updown-5m-1790417700,1790417700,62964,-12.8213,-7.05896,48.6664
btc-updown-5m-1790418000,1790418000,108089,-14.7908,128.85,8176.52
btc-updown-5m-1790418300,1790418300,51640,-18.4534,-12.3369,101.937
btc-updown-5m-1790418600,1790418600,66980,-24.3389,-13.2711,486.177
btc-updown-5m-1790418900,1790418900,75104,-26.4304,-20.1385,297.835
btc-updown-5m-1790419200,1790419200,70162,-29.0605,-16.7003,485.395
btc-updown-5m-1790419500,1790419500,50174,-35.665,-29.2944,151.227
btc-updown-5m-1790419800,1790419800,78597,-40.6592,-35.2527,215.884
btc-updown-5m-1790420100,1790420100,62549,-41.1104,-34.7263,37.2981
eth-updown-5m-1790397000,1790397000,22482,3.77441,6.84021,30.2836
eth-updown-5m-1790397300,1790397300,93936,-0.927246,12.7578,1980.96
eth-updown-5m-1790397600,1790397600,33604,-4.97144,-0.735718,87.6612
eth-updown-5m-1790397900,1790397900,62269,-7.9834,-4.25757,34.042
eth-updown-5m-1790398200,1790398200,40722,-10.134,-6.28687,21.7649
eth-updown-5m-1790398500,1790398500,42469,-12.6404,-7.31738,430.503
eth-updown-5m-1790398800,1790398800,49431,-12.3945,-7.51416,81.8229
eth-updown-5m-1790399100,1790399100,38003,-15.4946,-10.1929,15.3474
eth-updown-5m-1790399400,1790399400,23754,-21.6121,-17.5511,-0.0842651
eth-updown-5m-1790399700,1790399700,31351,-22.3323,-17.8911,16.7875
eth-updown-5m-1790400000,1790400000,17986,-23.7771,9.0415,187
eth-updown-5m-1790400300,1790400300,29137,-29.1833,-20.7952,52.7854
eth-updown-5m-1790400600,1790400600,30808,-29.7927,-7.87488,57.3378
eth-updown-5m-1790400900,1790400900,39489,-32.7354,-28.823,-6.90449
eth-updown-5m-1790401200,1790401200,47151,-36.563,4.85083,99.0262
eth-updown-5m-1790401500,1790401500,50796,-37.9836,0.276367,71.2016
eth-updown-5m-1790401800,1790401800,27581,-39.3276,-34.8013,25.3228
eth-updown-5m-1790402100,1790402100,41578,-41.282,-38.1311,-19.3742
eth-updown-5m-1790402400,1790402400,29954,-47.7979,-43.389,102.679
eth-updown-5m-1790416800,1790416800,22448,3.89575,9.50537,107.033
eth-updown-5m-1790417100,1790417100,62687,0.00976562,4.74683,124.774
eth-updown-5m-1790417400,1790417400,15112,-3.08813,2.86011,160.9
eth-updown-5m-1790417700,1790417700,41873,-12.7749,-7.99756,163.925
eth-updown-5m-1790418000,1790418000,75734,-15.9231,3.38904,5132.32
eth-updown-5m-1790418300,1790418300,29487,-20.2959,-13.8708,107.707
eth-updown-5m-1790418600,1790418600,42899,-26.2065,-20.0486,40.2813
eth-updown-5m-1790418900,1790418900,61708,-21.9319,-16.3533,56.8577
eth-updown-5m-1790419200,1790419200,53095,-32.197,-27.1121,75.8556
eth-updown-5m-1790419500,1790419500,41696,-37.8081,-30.5642,9.88611
eth-updown-5m-1790419800,1790419800,48659,-36.3684,-30.8389,91.1528
eth-updown-5m-1790420100,1790420100,51880,-44.0564,-38.8258,-8.65887
