variante,marge,moitie,delta_s,decisions,executees,pnl_total,pnl_par_part
brute,0,1re moitié,0,43431,28646,6.93928,0.000242242
brute,0,1re moitié,1,43431,29408,-92.5355,-0.00314661
brute,0,1re moitié,2,43431,29612,-262.031,-0.00884881
brute,0,1re moitié,3,43431,29966,-351.629,-0.0117343
brute,0,1re moitié,5,43431,28952,-389.341,-0.0134478
brute,0,1re moitié,10,43431,28263,-418.761,-0.0148166
brute,0,2e moitié,0,47606,31324,-97.2644,-0.00310511
brute,0,2e moitié,1,47606,31794,-280.211,-0.00881334
brute,0,2e moitié,2,47606,32123,-474.391,-0.014768
brute,0,2e moitié,3,47606,32200,-577.297,-0.0179285
brute,0,2e moitié,5,47606,31531,-655.94,-0.020803
brute,0,2e moitié,10,47606,30994,-719.588,-0.023217
brute,0.005,1re moitié,0,31335,25658,25.3866,0.000989421
brute,0.005,1re moitié,1,31335,26331,-76.0612,-0.00288866
brute,0.005,1re moitié,2,31335,26494,-241.67,-0.00912169
brute,0.005,1re moitié,3,31335,26808,-323.858,-0.0120807
brute,0.005,1re moitié,5,31335,26000,-367.341,-0.0141285
brute,0.005,1re moitié,10,31335,25363,-377.977,-0.0149027
brute,0.005,2e moitié,0,33050,27919,-61.1575,-0.00219053
brute,0.005,2e moitié,1,33050,28317,-255.865,-0.00903574
brute,0.005,2e moitié,2,33050,28567,-433.388,-0.0151709
brute,0.005,2e moitié,3,33050,28564,-531.495,-0.0186072
brute,0.005,2e moitié,5,33050,27999,-603.312,-0.0215476
brute,0.005,2e moitié,10,33050,27558,-671.73,-0.0243751
brute,0.01,1re moitié,0,27414,22834,87.5884,0.00383588
brute,0.01,1re moitié,1,27414,23439,-18.953,-0.000808611
brute,0.01,1re moitié,2,27414,23610,-172.02,-0.00728591
brute,0.01,1re moitié,3,27414,23880,-251.562,-0.0105344
brute,0.01,1re moitié,5,27414,23230,-298.006,-0.0128285
brute,0.01,1re moitié,10,27414,22690,-318.353,-0.0140305
brute,0.01,2e moitié,0,28786,24791,-8.11886,-0.000327492
brute,0.01,2e moitié,1,28786,25175,-203.047,-0.00806544
brute,0.01,2e moitié,2,28786,25372,-359.33,-0.0141625
brute,0.01,2e moitié,3,28786,25348,-460.146,-0.0181532
brute,0.01,2e moitié,5,28786,24872,-541.69,-0.0217791
brute,0.01,2e moitié,10,28786,24476,-607.505,-0.0248204
brute,0.02,1re moitié,0,21533,18298,129.67,0.00708655
brute,0.02,1re moitié,1,21533,18772,14.9287,0.000795265
brute,0.02,1re moitié,2,21533,18882,-130.607,-0.00691699
brute,0.02,1re moitié,3,21533,19095,-176.183,-0.00922665
brute,0.02,1re moitié,5,21533,18637,-226.502,-0.0121533
brute,0.02,1re moitié,10,21533,18254,-244.941,-0.0134185
brute,0.02,2e moitié,0,22045,19456,33.1849,0.00170564
brute,0.02,2e moitié,1,22045,19739,-132.87,-0.00673133
brute,0.02,2e moitié,2,22045,19866,-283.216,-0.0142563
brute,0.02,2e moitié,3,22045,19838,-377.432,-0.0190257
brute,0.02,2e moitié,5,22045,19449,-440.869,-0.022668
brute,0.02,2e moitié,10,22045,19151,-492.764,-0.0257305
brute,0.03,1re moitié,0,17105,14772,135.958,0.0092038
brute,0.03,1re moitié,1,17105,15181,40.0549,0.00263849
brute,0.03,1re moitié,2,17105,15230,-97.1916,-0.00638159
brute,0.03,1re moitié,3,17105,15398,-156.38,-0.0101559
brute,0.03,1re moitié,5,17105,15007,-198.939,-0.0132564
brute,0.03,1re moitié,10,17105,14710,-220.642,-0.0149995
brute,0.03,2e moitié,0,16864,15187,102.557,0.00675295
brute,0.03,2e moitié,1,16864,15395,-36.7138,-0.00238479
brute,0.03,2e moitié,2,16864,15463,-180.723,-0.0116875
brute,0.03,2e moitié,3,16864,15444,-261.282,-0.016918
brute,0.03,2e moitié,5,16864,15149,-325.656,-0.0214969
brute,0.03,2e moitié,10,16864,14879,-383.981,-0.0258069
brute,0.05,1re moitié,0,11161,9890,134.9,0.01364
brute,0.05,1re moitié,1,11161,10155,45.5365,0.00448415
brute,0.05,1re moitié,2,11161,10183,-67.2759,-0.00660669
brute,0.05,1re moitié,3,11161,10276,-124.44,-0.0121098
brute,0.05,1re moitié,5,11161,10027,-162.992,-0.0162553
brute,0.05,1re moitié,10,11161,9820,-167.937,-0.0171015
brute,0.05,2e moitié,0,10205,9429,165.979,0.0176031
brute,0.05,2e moitié,1,10205,9527,61.5742,0.00646313
brute,0.05,2e moitié,2,10205,9539,-58.5198,-0.00613479
brute,0.05,2e moitié,3,10205,9542,-123.671,-0.0129607
brute,0.05,2e moitié,5,10205,9361,-179.348,-0.019159
brute,0.05,2e moitié,10,10205,9185,-213.591,-0.0232544
brute,0.075,1re moitié,0,6749,6106,113.587,0.0186024
brute,0.075,1re moitié,1,6749,6266,53.5991,0.00855395
brute,0.075,1re moitié,2,6749,6274,-28.2086,-0.00449612
brute,0.075,1re moitié,3,6749,6337,-65.8415,-0.01039
brute,0.075,1re moitié,5,6749,6167,-101.789,-0.0165054
brute,0.075,1re moitié,10,6749,6029,-99.2227,-0.0164576
brute,0.075,2e moitié,0,5569,5256,179.077,0.034071
brute,0.075,2e moitié,1,5569,5297,97.5616,0.0184183
brute,0.075,2e moitié,2,5569,5302,7.37532,0.00139104
brute,0.075,2e moitié,3,5569,5302,-41.1044,-0.00775263
brute,0.075,2e moitié,5,5569,5203,-72.2063,-0.0138778
brute,0.075,2e moitié,10,5569,5081,-85.8165,-0.0168897
brute,0.1,1re moitié,0,4149,3787,81.0433,0.0214004
brute,0.1,1re moitié,1,4149,3875,33.8979,0.00874784
brute,0.1,1re moitié,2,4149,3884,-26.8511,-0.00691327
brute,0.1,1re moitié,3,4149,3921,-61.6534,-0.0157239
brute,0.1,1re moitié,5,4149,3809,-88.7351,-0.0232962
brute,0.1,1re moitié,10,4149,3729,-84.7,-0.0227139
brute,0.1,2e moitié,0,3099,2958,155.948,0.0527208
brute,0.1,2e moitié,1,3099,2976,98.6914,0.0331624
brute,0.1,2e moitié,2,3099,2972,31.0055,0.0104325
brute,0.1,2e moitié,3,3099,2973,-5.5812,-0.0018773
brute,0.1,2e moitié,5,3099,2925,-26.8259,-0.00917124
brute,0.1,2e moitié,10,3099,2820,-24.9607,-0.00885131
brute,0.15,1re moitié,0,1824,1667,54.7325,0.0328329
brute,0.15,1re moitié,1,1824,1706,24.9772,0.0146408
brute,0.15,1re moitié,2,1824,1713,-11.5862,-0.00676371
brute,0.15,1re moitié,3,1824,1726,-34.0607,-0.0197339
brute,0.15,1re moitié,5,1824,1659,-47.927,-0.0288891
brute,0.15,1re moitié,10,1824,1623,-49.0584,-0.030227
brute,0.15,2e moitié,0,1173,1123,75.6489,0.0673632
