variante,groupe,delta_s,decisions,executees,taux_execution,pnl_par_part,lo,hi,pnl_total,prix_moyen,surcout_vs_ask_estime,avantage_estime,taux_gain
brute,tous les instants,0,16864,15187,0.900557,0.00675295,-0.00688312,0.019456,102.557,0.605142,0.00947474,0.0786029,0.626193
brute,tous les instants,1,16864,15395,0.912891,-0.00238479,-0.0159642,0.0106401,-36.7138,0.614649,0.0186416,0.0782221,0.626437
brute,tous les instants,2,16864,15463,0.916924,-0.0116875,-0.0250585,0.00134966,-180.723,0.625372,0.0290016,0.0780741,0.627692
brute,tous les instants,3,16864,15444,0.915797,-0.016918,-0.0301858,-0.00422635,-261.282,0.631348,0.0349421,0.0779791,0.628335
brute,tous les instants,5,16864,15149,0.898304,-0.0214969,-0.0349697,-0.00832093,-325.656,0.634694,0.0385303,0.078154,0.626906
brute,tous les instants,10,16864,14879,0.882294,-0.0258069,-0.0392206,-0.0126131,-383.981,0.637489,0.0420394,0.0771285,0.625176
brute,tous les instants,-1,16864,16864,1,0.017319,0.0033959,0.0304404,292.068,0.590448,0,0.0769483,0.622391
brute,avant S (S−45…S−2),0,3930,3127,0.795674,-0.000450069,-0.0285826,0.0270786,-1.40737,0.544777,0.00972843,0.0635577,0.561241
brute,avant S (S−45…S−2),1,3930,3152,0.802036,-0.00508117,-0.0332266,0.0220902,-16.0159,0.550722,0.0165593,0.0632214,0.5625
brute,avant S (S−45…S−2),2,3930,3199,0.813995,-0.014577,-0.0422502,0.0126896,-46.6319,0.556385,0.0218383,0.0629964,0.558612
brute,avant S (S−45…S−2),3,3930,3226,0.820865,-0.0180535,-0.0465534,0.0086255,-58.2405,0.563339,0.0294341,0.0631418,0.561996
brute,avant S (S−45…S−2),5,3930,3139,0.798728,-0.0240784,-0.0536929,0.00290438,-75.5822,0.567819,0.0343613,0.0628892,0.56037
brute,avant S (S−45…S−2),10,3930,3185,0.810433,-0.0356925,-0.0635032,-0.00929107,-113.68,0.581697,0.0473325,0.0628514,0.562323
brute,avant S (S−45…S−2),-1,3930,3930,1,0.0158595,-0.0128906,0.042963,62.328,0.527382,0,0.0611386,0.560305
brute,ouverture (S…S+10),0,4965,4687,0.944008,0.0042494,-0.016872,0.0254806,19.9169,0.57445,0.015232,0.0726045,0.59505
brute,ouverture (S…S+10),1,4965,4756,0.957905,-0.00565223,-0.0266614,0.0158074,-26.882,0.583172,0.0245762,0.0724917,0.593776
brute,ouverture (S…S+10),2,4965,4737,0.954079,-0.0166003,-0.0377101,0.00425594,-78.6358,0.597306,0.0384668,0.0724245,0.596791
brute,ouverture (S…S+10),3,4965,4697,0.946022,-0.0278427,-0.0484069,-0.00669272,-130.777,0.609123,0.0496863,0.0725406,0.59719
brute,ouverture (S…S+10),5,4965,4602,0.926888,-0.033841,-0.0551248,-0.0126451,-155.736,0.615665,0.0556305,0.0725929,0.597566
brute,ouverture (S…S+10),10,4965,4549,0.916213,-0.037393,-0.0594835,-0.0160793,-170.101,0.615368,0.0547811,0.0723792,0.593537
brute,ouverture (S…S+10),-1,4965,4965,1,0.0198388,-0.00110761,0.0412954,98.4997,0.557335,0,0.0716855,0.593756
brute,milieu (S+30…E−60),0,7293,6740,0.924174,0.00933345,-0.00314976,0.0219234,62.9074,0.664042,0.00527067,0.0758757,0.685608
brute,milieu (S+30…E−60),1,7293,6862,0.940902,-0.000867234,-0.0136141,0.0119743,-5.95096,0.674451,0.0149131,0.07563,0.68566
brute,milieu (S+30…E−60),2,7293,6911,0.947621,-0.00855402,-0.0210379,0.00423327,-59.1169,0.684981,0.0249668,0.0754833,0.688323
brute,milieu (S+30…E−60),3,7293,6915,0.948169,-0.0107003,-0.023273,0.00191438,-73.9922,0.687213,0.0269194,0.0754578,0.688359
brute,milieu (S+30…E−60),5,7293,6834,0.937063,-0.014341,-0.0265306,-0.00165787,-98.0063,0.689153,0.028931,0.075576,0.686421
brute,milieu (S+30…E−60),10,7293,6689,0.917181,-0.0150807,-0.0273262,-0.00266987,-100.875,0.690743,0.0312309,0.0757036,0.686949
brute,milieu (S+30…E−60),-1,7293,7293,1,0.014485,0.00199004,0.0274506,105.639,0.657356,0,0.0749433,0.684355
brute,"fin (E−30, E−10)",0,676,633,0.936391,0.0333966,0.00471777,0.0624915,21.14,0.503451,0.0103557,0.226379,0.545024
brute,"fin (E−30, E−10)",1,676,625,0.924556,0.019416,-0.0089018,0.047663,12.135,0.519987,0.0249182,0.22594,0.5472
brute,"fin (E−30, E−10)",2,676,616,0.911243,0.00594329,-0.0189768,0.0321349,3.66107,0.530692,0.0386813,0.228888,0.543831
brute,"fin (E−30, E−10)",3,676,606,0.89645,0.00285177,-0.0224247,0.029728,1.72817,0.528173,0.0415283,0.227888,0.537954
brute,"fin (E−30, E−10)",5,676,574,0.849112,0.00639134,-0.0176651,0.0306578,3.66863,0.504591,0.038517,0.23691,0.517422
brute,"fin (E−30, E−10)",10,676,456,0.674556,0.00148224,-0.0238959,0.0268397,0.6759,0.466658,0.0365082,0.24513,0.473684
brute,"fin (E−30, E−10)",-1,676,676,1,0.0378712,0.00949882,0.0650711,25.601,0.478448,0,0.229144,0.525148
brute,S-45,0,142,80,0.56338,-0.0425164,-0.155416,0.0708207,-3.40131,0.462692,0.00113812,0.0482584,0.4375
brute,S-45,1,142,87,0.612676,-0.0587269,-0.164718,0.0499922,-5.10924,0.466688,0.00558968,0.0479566,0.425287
brute,S-45,2,142,75,0.528169,-0.103225,-0.205115,0.00562426,-7.74187,0.472577,0.0106018,0.0479671,0.386667
brute,S-45,3,142,72,0.507042,-0.0997159,-0.207529,0.0105771,-7.17954,0.4713,0.0114135,0.0485563,0.388889
brute,S-45,5,142,73,0.514085,-0.0508521,-0.16654,0.0642522,-3.71221,0.471898,0.0148031,0.0480709,0.438356
brute,S-45,10,142,78,0.549296,-0.110698,-0.21899,-0.00043714,-8.63444,0.478019,0.0186287,0.0471563,0.384615
brute,S-45,-1,142,142,1,0.00126434,-0.0817023,0.0880603,0.179537,0.453285,0,0.0472632,0.471831
brute,S-30,0,397,294,0.740554,-0.0300284,-0.0908555,0.0260495,-8.82835,0.50928,0.00661047,0.0547956,0.496599
brute,S-30,1,397,303,0.763224,-0.0272825,-0.084722,0.028059,-8.26661,0.514911,0.0134611,0.0538894,0.50495
brute,S-30,2,397,315,0.793451,-0.045452,-0.103033,0.0100933,-14.3174,0.523442,0.0227244,0.0535973,0.495238
brute,S-30,3,397,305,0.768262,-0.0311147,-0.0879898,0.0240409,-9.48998,0.525352,0.0251892,0.0534843,0.511475
brute,S-30,5,397,248,0.624685,-0.0378471,-0.102077,0.0201065,-9.38607,0.528722,0.0304749,0.0535722,0.508065
brute,S-30,10,397,204,0.513854,-0.0337065,-0.104184,0.0368423,-6.87612,0.526354,0.0284851,0.0537729,0.509804
brute,S-30,-1,397,397,1,0.00846715,-0.0408214,0.0576107,3.36146,0.495579,0,0.0528233,0.521411
brute,S-20,0,598,441,0.737458,0.0036079,-0.0443329,0.0555748,1.59108,0.527943,0.00848655,0.0563411,0.548753
brute,S-20,1,598,444,0.742475,-0.00342239,-0.0509728,0.0493099,-1.51954,0.535834,0.0169617,0.0564334,0.54955
brute,S-20,2,598,443,0.740803,-0.00772441,-0.0554157,0.0435021,-3.42191,0.539149,0.0199198,0.0563288,0.548533
brute,S-20,3,598,439,0.734114,-0.00529036,-0.0539536,0.0462886,-2.32247,0.544047,0.0261696,0.0563097,0.555809
brute,S-20,5,598,418,0.698997,-0.00889087,-0.0597839,0.0420453,-3.71638,0.544511,0.0285205,0.0558065,0.552632
brute,S-20,10,598,400,0.668896,-0.0177233,-0.0629212,0.0311003,-7.0893,0.555844,0.0362504,0.0565101,0.555
brute,S-20,-1,598,598,1,0.0178121,-0.0244682,0.0627676,10.6517,0.515087,0,0.0547245,0.550167
brute,S-10,0,849,668,0.786808,0.0139564,-0.0239185,0.0513254,9.32288,0.546918,0.0141567,0.0661875,0.577844
brute,S-10,1,849,694,0.817432,0.00771479,-0.0310951,0.0457769,5.35406,0.550268,0.0171576,0.0656341,0.574928
brute,S-10,2,849,713,0.839812,-0.00574749,-0.0440137,0.0320013,-4.09796,0.561156,0.0270476,0.0650142,0.57223
brute,S-10,3,849,698,0.822144,-0.0123305,-0.0515229,0.0250088,-8.60666,0.570122,0.0359029,0.0648636,0.574499
brute,S-10,5,849,653,0.76914,-0.0195148,-0.0582331,0.0178434,-12.7431,0.572559,0.0396634,0.0648422,0.569678
brute,S-10,10,849,716,0.843345,-0.0257331,-0.0632434,0.00976762,-18.4249,0.572024,0.0409776,0.0642525,0.562849
brute,S-10,-1,849,849,1,0.0278748,-0.00740342,0.0626032,23.6657,0.52744,0,0.0630511,0.572438
brute,S-5,0,910,739,0.812088,-0.00350491,-0.0437088,0.0342466,-2.59013,0.557798,0.00874818,0.0663376,0.571042
brute,S-5,1,910,744,0.817582,-0.00236878,-0.0412421,0.0348958,-1.76237,0.565003,0.017177,0.0667665,0.579301
