duree,phase,variante,zone,n,attendu,observe,surprises
5m,2,brute,P < 0.02,0,,,0
5m,2,brute,P > 0.98,0,,,0
5m,2,corrigée,P < 0.02,0,,,0
5m,2,corrigée,P > 0.98,0,,,0
5m,3,brute,P < 0.02,1869,0.00286525,0.0149813,28
5m,3,brute,P > 0.98,1908,0.00279206,0.0141509,27
5m,3,corrigée,P < 0.02,1390,0.00332468,0.00503597,7
5m,3,corrigée,P > 0.98,1431,0.00318731,0.00489168,7
5m,4,brute,P < 0.02,2892,0.00029079,0.00484094,14
5m,4,brute,P > 0.98,2945,0.000318862,0.00679117,20
5m,4,corrigée,P < 0.02,2730,0.000483939,0,0
5m,4,corrigée,P > 0.98,2772,0.000571321,0.000721501,2
15m,2,brute,P < 0.02,0,,,0
15m,2,brute,P > 0.98,0,,,0
15m,2,corrigée,P < 0.02,0,,,0
15m,2,corrigée,P > 0.98,0,,,0
15m,3,brute,P < 0.02,766,0.00136475,0.0104439,8
15m,3,brute,P > 0.98,783,0.00105732,0.00383142,3
15m,3,corrigée,P < 0.02,674,0.00163571,0.00593472,4
15m,3,corrigée,P > 0.98,706,0.00145831,0.00283286,2
15m,4,brute,P < 0.02,988,0.000186056,0.00202429,2
15m,4,brute,P > 0.98,1035,0.000199534,0.00676329,7
15m,4,corrigée,P < 0.02,967,0.000373086,0,0
15m,4,corrigée,P > 0.98,996,0.000277616,0.00100402,1
tous,2,brute,P < 0.02,0,,,0
tous,2,brute,P > 0.98,0,,,0
tous,2,corrigée,P < 0.02,0,,,0
tous,2,corrigée,P > 0.98,0,,,0
tous,3,brute,P < 0.02,2635,0.00242905,0.0136622,36
tous,3,brute,P > 0.98,2691,0.0022873,0.0111483,30
tous,3,corrigée,P < 0.02,2064,0.00277315,0.00532946,11
tous,3,corrigée,P > 0.98,2137,0.0026161,0.00421151,9
tous,4,brute,P < 0.02,3880,0.000264121,0.00412371,16
tous,4,brute,P > 0.98,3980,0.000287831,0.00678392,27
tous,4,corrigée,P < 0.02,3697,0.000454944,0,0
tous,4,corrigée,P > 0.98,3768,0.000493685,0.000796178,3
