duree,instant,variante,n,brier_formule,brier_marche,d_brier,d_brier_lo,d_brier_hi,logloss_formule,logloss_marche,d_logloss,d_logloss_lo,d_logloss_hi,auc_formule,auc_marche,justesse_formule,justesse_marche,n_vwap,brier_formule_vwap,brier_marche_vwap,age_median_s,pente_calibration_formule,pente_calibration_marche
5m,S-45,brute,3134,0.249591,0.248791,0.000799319,-8.23315e-05,0.00150145,0.69233,0.690726,0.00160359,-0.000162589,0.00300874,0.531767,0.540944,0.51723,0.522655,2185,0.249558,0.248684,2,1.36662,1.98747
5m,S-45,corrigée,3134,0.249507,0.248791,0.000715313,-0.00015315,0.00138214,0.692161,0.690726,0.00143508,-0.000306168,0.00277207,0.535519,0.540944,0.525526,0.522655,2185,0.249496,0.248684,2,1.44819,1.98747
5m,S-30,brute,3134,0.24889,0.247994,0.00089654,-0.000108235,0.00181246,0.690999,0.689138,0.00186096,-0.000189853,0.0037712,0.538807,0.552987,0.525846,0.532227,2632,0.24844,0.247795,1,0.782226,1.40438
5m,S-30,corrigée,3134,0.248705,0.247994,0.000711168,-0.000173582,0.00149559,0.690591,0.689138,0.00145271,-0.000346703,0.00307013,0.540672,0.552987,0.529036,0.532227,2632,0.248251,0.247795,1,0.942148,1.40438
5m,S-20,brute,3134,0.24789,0.247509,0.000381344,-0.00105378,0.00149549,0.68914,0.688159,0.00098149,-0.00187626,0.00332279,0.55843,0.559655,0.544671,0.544033,2989,0.247679,0.247288,0,0.72,0.988901
5m,S-20,corrigée,3134,0.247546,0.247509,3.6966e-05,-0.00116627,0.00098656,0.688327,0.688159,0.000168479,-0.00224566,0.00210257,0.559891,0.559655,0.546267,0.544033,2989,0.247373,0.247288,0,0.891411,0.988901
5m,S-10,brute,3134,0.245956,0.245548,0.00040885,-0.00107233,0.00200424,0.684876,0.684141,0.000735228,-0.00253591,0.00411155,0.574089,0.575022,0.557435,0.550415,2825,0.246803,0.246878,1,0.736138,0.979185
5m,S-10,corrigée,3134,0.245329,0.245548,-0.000218701,-0.00141655,0.000952445,0.683586,0.684141,-0.00055496,-0.0030521,0.00185617,0.575345,0.575022,0.557754,0.550415,2825,0.245983,0.246878,1,0.926188,0.979185
5m,S-5,brute,3134,0.245912,0.245305,0.000606171,-0.000870586,0.0020568,0.684855,0.683617,0.00123816,-0.0019474,0.00436576,0.57999,0.576924,0.570198,0.558711,3125,0.245938,0.244611,0,0.6714,0.841626
5m,S-5,corrigée,3134,0.244866,0.245305,-0.000439697,-0.00157569,0.00068521,0.682593,0.683617,-0.00102401,-0.00342253,0.00129551,0.580916,0.576924,0.568922,0.558711,3125,0.244883,0.244611,0,0.85155,0.841626
5m,S-2,brute,3134,0.244588,0.244312,0.000275238,-0.00170251,0.00188093,0.682747,0.681617,0.00113062,-0.00335495,0.00467704,0.593554,0.586675,0.576579,0.56956,3115,0.244678,0.244135,0,0.682914,0.856505
5m,S-2,corrigée,3134,0.243608,0.244312,-0.000704145,-0.00208844,0.0005288,0.68027,0.681617,-0.0013467,-0.00428052,0.00130139,0.593874,0.586675,0.575941,0.56956,3115,0.243688,0.244135,0,0.868796,0.856505
5m,S,brute,3134,0.243449,0.242659,0.000789726,-0.00111496,0.00252859,0.680551,0.678263,0.00228787,-0.00218625,0.00629278,0.600977,0.59905,0.57977,0.58328,3116,0.243684,0.243719,0,0.69301,0.926254
5m,S,corrigée,3134,0.2425,0.242659,-0.000158784,-0.00151658,0.00100837,0.677994,0.678263,-0.000268847,-0.00306297,0.00221333,0.600957,0.59905,0.577537,0.58328,3116,0.24269,0.243719,0,0.885143,0.926254
