duree,phase,periode,variante,n,brier,logloss,auc,accuracy,pente_calibration
5m,2,2e moitié,brute,22176,0.246458,0.686189,0.572986,0.554248,0.710918
5m,2,2e moitié,corrigée,22176,0.245865,0.684784,0.573835,0.555646,0.903958
5m,2,toute la période,brute,42336,0.24597,0.685044,0.571057,0.548068,0.755895
5m,2,toute la période,corrigée,42336,0.245604,0.684178,0.571862,0.550123,0.946499
5m,3,2e moitié,brute,25344,0.183489,0.535284,0.793641,0.704664,0.775324
5m,3,2e moitié,corrigée,25344,0.182838,0.530126,0.793772,0.702888,1.06046
5m,3,toute la période,brute,48384,0.184624,0.540417,0.7907,0.70081,0.769782
5m,3,toute la période,corrigée,48384,0.184225,0.535165,0.790738,0.700087,1.05681
5m,4,2e moitié,brute,6336,0.0185817,0.0746401,0.997564,0.974905,0.772505
5m,4,2e moitié,corrigée,6336,0.0159424,0.0522251,0.998413,0.978851,1.23426
5m,4,toute la période,brute,12096,0.0230169,0.0978944,0.995641,0.969163,0.705308
5m,4,toute la période,corrigée,12096,0.0198395,0.0658002,0.997461,0.971396,1.12005
15m,2,2e moitié,brute,7392,0.248896,0.690968,0.540116,0.53612,0.72897
15m,2,2e moitié,corrigée,7392,0.248743,0.690633,0.538767,0.53355,0.920125
15m,2,toute la période,brute,14112,0.249182,0.691535,0.53648,0.529195,0.676567
15m,2,toute la période,corrigée,14112,0.248983,0.691112,0.53454,0.524731,0.862823
15m,3,2e moitié,brute,8448,0.192166,0.545831,0.754889,0.666548,0.773917
15m,3,2e moitié,corrigée,8448,0.191566,0.54283,0.754398,0.66572,1.02569
15m,3,toute la période,brute,16128,0.195596,0.558898,0.749136,0.663938,0.699135
15m,3,toute la période,corrigée,16128,0.194784,0.553513,0.748607,0.662078,0.906808
15m,4,2e moitié,brute,2112,0.0139233,0.0573506,0.997881,0.981534,0.783397
15m,4,2e moitié,corrigée,2112,0.0118948,0.0380407,0.999207,0.982008,1.04192
15m,4,toute la période,brute,4032,0.0144618,0.0634653,0.997706,0.981151,0.760959
15m,4,toute la période,corrigée,4032,0.0125963,0.0422021,0.999018,0.982887,1.02843
tous,2,2e moitié,brute,29568,0.247068,0.687384,0.565618,0.549716,0.714156
tous,2,2e moitié,corrigée,29568,0.246584,0.686246,0.56609,0.550122,0.905048
tous,2,toute la période,brute,56448,0.246773,0.686667,0.562991,0.54335,0.748459
tous,2,toute la période,corrigée,56448,0.246449,0.685912,0.563259,0.543775,0.940264
tous,3,2e moitié,brute,33792,0.185658,0.537921,0.785336,0.695135,0.775289
tous,3,2e moitié,corrigée,33792,0.18502,0.533302,0.785399,0.693596,1.05515
tous,3,toute la période,brute,64512,0.187367,0.545037,0.781456,0.691592,0.7562
tous,3,toute la période,corrigée,64512,0.186865,0.539752,0.781413,0.690585,1.03126
tous,4,2e moitié,brute,8448,0.0174171,0.0703177,0.997662,0.976562,0.772694
tous,4,2e moitié,corrigée,8448,0.0149305,0.048679,0.998602,0.97964,1.17481
tous,4,toute la période,brute,16128,0.0208781,0.0892871,0.996261,0.97216,0.71344
tous,4,toute la période,corrigée,16128,0.0180287,0.0599007,0.99789,0.974268,1.09252
