duree,instant,sigma,n,brier,logloss,auc,accuracy,pente_calibration
5m,S-45,park,3168,0.249519,0.692185,0.532738,0.51673,1.43535
5m,S-45,ewma,3168,0.249549,0.692246,0.532556,0.51673,1.46324
5m,S-45,tfm,3168,0.249606,0.692358,0.532237,0.51673,1.83133
5m,S-45,park_k,3168,0.249622,0.692391,0.532738,0.51673,2.16351
5m,S-45,ewma_k,3168,0.24963,0.692408,0.532556,0.51673,2.05436
5m,S-45,tfm_k,3168,0.249661,0.692468,0.532237,0.51673,2.29052
5m,S-45,corr,3168,0.249456,0.69206,0.536626,0.525253,1.54526
5m,S-30,park,3168,0.248767,0.690814,0.540805,0.527462,0.780998
5m,S-30,ewma,3168,0.24881,0.690837,0.540376,0.527462,0.803498
5m,S-30,tfm,3168,0.248709,0.690604,0.541135,0.527462,1.03354
5m,S-30,park_k,3168,0.24876,0.690696,0.540805,0.527462,1.17737
5m,S-30,ewma_k,3168,0.248787,0.690739,0.540376,0.527462,1.12823
5m,S-30,tfm_k,3168,0.248787,0.690737,0.541135,0.527462,1.29296
5m,S-30,corr,3168,0.248619,0.690417,0.542513,0.530934,0.975042
5m,S-20,park,3168,0.247667,0.689094,0.560227,0.54577,0.708669
5m,S-20,ewma,3168,0.247752,0.688856,0.559677,0.54577,0.741105
5m,S-20,tfm,3168,0.247526,0.688292,0.560856,0.54577,0.948072
5m,S-20,park_k,3168,0.247502,0.688286,0.560227,0.54577,1.07408
5m,S-20,ewma_k,3168,0.247552,0.688285,0.559677,0.54577,1.04321
5m,S-20,tfm_k,3168,0.247606,0.688388,0.560856,0.54577,1.1883
5m,S-20,corr,3168,0.247413,0.688057,0.561317,0.547348,0.908869
5m,S-10,park,3168,0.246065,0.685362,0.57559,0.558712,0.70166
5m,S-10,ewma,3168,0.245854,0.684695,0.575525,0.558712,0.741385
5m,S-10,tfm,3168,0.245563,0.684078,0.574908,0.558712,0.925165
5m,S-10,park_k,3168,0.245463,0.683896,0.57559,0.558712,1.06504
5m,S-10,ewma_k,3168,0.245354,0.683654,0.575525,0.558712,1.04437
5m,S-10,tfm_k,3168,0.245611,0.684193,0.574908,0.558712,1.16091
5m,S-10,corr,3168,0.245222,0.683383,0.57693,0.559028,0.934303
5m,S-5,park,3168,0.245967,0.68509,0.580996,0.57197,0.652453
5m,S-5,ewma,3168,0.245758,0.68455,0.581259,0.57197,0.678985
5m,S-5,tfm,3168,0.245105,0.683113,0.580644,0.57197,0.849162
5m,S-5,park_k,3168,0.24479,0.682414,0.580996,0.57197,0.988674
5m,S-5,ewma_k,3168,0.244754,0.682381,0.581259,0.57197,0.956646
5m,S-5,tfm_k,3168,0.244975,0.682858,0.580644,0.57197,1.06558
5m,S-5,corr,3168,0.244723,0.682309,0.582298,0.570707,0.862599
5m,S-2,park,3168,0.244611,0.682908,0.594731,0.577967,0.666761
5m,S-2,ewma,3168,0.244322,0.682189,0.595089,0.577967,0.693584
5m,S-2,tfm,3168,0.24387,0.681051,0.594583,0.577967,0.857775
5m,S-2,park_k,3168,0.24354,0.679982,0.594731,0.577967,1.01109
5m,S-2,ewma_k,3168,0.243409,0.679818,0.595089,0.577967,0.979801
5m,S-2,tfm_k,3168,0.24384,0.680774,0.594583,0.577967,1.07869
5m,S-2,corr,3168,0.24337,0.679779,0.595516,0.577336,0.883151
5m,S,park,3168,0.243289,0.680302,0.602527,0.581124,0.690361
5m,S,ewma,3168,0.243164,0.679954,0.602566,0.581124,0.703421
5m,S,tfm,3168,0.242673,0.678632,0.602692,0.581124,0.879528
5m,S,park_k,3168,0.242362,0.67758,0.602527,0.581124,1.05376
5m,S,ewma_k,3168,0.242261,0.677449,0.602566,0.581124,0.995255
5m,S,tfm_k,3168,0.242721,0.678475,0.602692,0.581124,1.10906
5m,S,corr,3168,0.242251,0.677481,0.602634,0.578914,0.899025
5m,S+2,park,3168,0.241768,0.67786,0.611807,0.582702,0.685674
5m,S+2,ewma,3168,0.241558,0.676791,0.6117,0.582702,0.709333
5m,S+2,tfm,3168,0.241132,0.675722,0.611348,0.582702,0.875545
5m,S+2,park_k,3168,0.240789,0.674478,0.611807,0.582702,1.04802
5m,S+2,ewma_k,3168,0.240554,0.673906,0.6117,0.582702,1.0034
5m,S+2,tfm_k,3168,0.241205,0.675481,0.611348,0.582702,1.10032
5m,S+2,corr,3168,0.240572,0.67399,0.611443,0.57702,0.916262
5m,S+5,park,3168,0.241217,0.677071,0.616186,0.58428,0.65874
5m,S+5,ewma,3168,0.240923,0.67558,0.616473,0.58428,0.685825
5m,S+5,tfm,3168,0.240323,0.674019,0.615502,0.58428,0.848929
5m,S+5,park_k,3168,0.239776,0.672367,0.616186,0.58428,1.01108
5m,S+5,ewma_k,3168,0.239515,0.671696,0.616473,0.58428,0.972847
5m,S+5,tfm_k,3168,0.240262,0.673486,0.615502,0.58428,1.06706
