cellule,niveau,n,écart_moyen_pb,écart_sd_pb,rmse_variation_pb,corr_variation,accord_signe,description
BTC 5m,spot_1s,2015,3.1207014691593282,3.8282701733893254,4.32554052652926,0.9329035479312375,0.8823821339950372,dernier prix (close 1s) avant t
BTC 5m,twap60_1s,2015,3.0547854741973652,2.1664263049125085,0.527655288890509,0.9989488525522006,0.9796526054590571,"moyenne des closes 1s sur (t−60, t]"
BTC 5m,twap60_open_1s,2015,3.052428865472955,2.153379444816212,0.44179477174412357,0.9992653089219837,0.9811414392059553,"moyenne des opens 1s sur [t−60, t)"
BTC 5m,vwap60_1s,2015,3.0486805403253605,2.3608390344867782,1.4302272773219895,0.9926237911072949,0.9588089330024814,VWAP 60 s (1s)
BTC 5m,twap30_1s,2015,3.0862706256722645,2.7579551242369402,2.3460450039632286,0.9796473341826235,0.9379652605459057,"moyenne des closes 1s sur (t−30, t]"
BTC 5m,vwap_1m,2015,3.048680540325361,2.3608390344867938,1.4302272773220939,0.9926237911072943,0.9588089330024814,"VWAP de la bougie 1m [t−1m, t)"
BTC 5m,ohlc4_1m,2015,3.047843141323291,2.4112502714374084,1.5104495880212143,0.9913408000377957,0.9503722084367245,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
BTC 5m,close_1m,2015,3.1207014691593282,3.8282701733893254,4.32554052652926,0.9329035479312375,0.8823821339950372,"close de la bougie 1m [t−1m, t)"
BTC 15m,spot_1s,671,3.258054310661334,3.489589115128474,3.6618250007583875,0.9850277039215752,0.9478390461997019,dernier prix (close 1s) avant t
BTC 15m,twap60_1s,671,3.064752707812178,2.1676357902919396,0.5728823761093599,0.9996299113529057,0.9850968703427719,"moyenne des closes 1s sur (t−60, t]"
BTC 15m,twap60_open_1s,671,3.059570770094618,2.1562500238696676,0.5145178177774263,0.99970153211859,0.9850968703427719,"moyenne des opens 1s sur [t−60, t)"
BTC 15m,vwap60_1s,671,3.0598626922382683,2.2628021073111935,1.267311602836436,0.9982395124012957,0.9761549925484352,VWAP 60 s (1s)
BTC 15m,twap30_1s,671,3.1229405115772693,2.6224178056229746,2.111339540203539,0.994993753278779,0.9687034277198212,"moyenne des closes 1s sur (t−30, t]"
BTC 15m,vwap_1m,671,3.059862692238171,2.262802107311181,1.2673116028362874,0.998239512401296,0.9761549925484352,"VWAP de la bougie 1m [t−1m, t)"
BTC 15m,ohlc4_1m,671,3.0991846339926776,2.3559887906813612,1.420507201274175,0.997721533986766,0.9761549925484352,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
BTC 15m,close_1m,671,3.258054310661334,3.489589115128474,3.6618250007583875,0.9850277039215752,0.9478390461997019,"close de la bougie 1m [t−1m, t)"
ETH 5m,spot_1s,2014,3.1848839648012346,4.809335418981963,5.97860729408885,0.9252382293661761,0.871896722939424,dernier prix (close 1s) avant t
ETH 5m,twap60_1s,2014,3.1327545559647754,2.1388264899162825,0.700884517341387,0.9989344823864079,0.9860973187686196,"moyenne des closes 1s sur (t−60, t]"
ETH 5m,twap60_open_1s,2014,3.1302004308195026,2.1162565253882804,0.5676928743327145,0.9993025752478826,0.9905660377358491,"moyenne des opens 1s sur [t−60, t)"
ETH 5m,vwap60_1s,2014,3.0974383566857644,2.7825952628682638,2.539247228284401,0.9869122723091032,0.9568023833167825,VWAP 60 s (1s)
ETH 5m,twap30_1s,2014,3.1713550049415247,3.147470480544118,3.3026080325883123,0.9765196414762746,0.9364448857994042,"moyenne des closes 1s sur (t−30, t]"
ETH 5m,vwap_1m,2014,3.0974383566857537,2.782595262868235,2.5392472282843883,0.9869122723091033,0.9568023833167825,"VWAP de la bougie 1m [t−1m, t)"
ETH 5m,ohlc4_1m,2014,3.081039311168325,2.7493006893608682,2.3932776874947725,0.9875869518759018,0.951837140019861,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
ETH 5m,close_1m,2014,3.1848839648012346,4.809335418981963,5.97860729408885,0.9252382293661761,0.871896722939424,"close de la bougie 1m [t−1m, t)"
ETH 15m,spot_1s,671,3.4241559342830437,4.376188503601918,5.304584593021641,0.9801927742689468,0.9329359165424739,dernier prix (close 1s) avant t
ETH 15m,twap60_1s,671,3.1402726029070758,2.1405099598051964,0.7022139728853475,0.9996542411468865,0.9955290611028316,"moyenne des closes 1s sur (t−60, t]"
ETH 15m,twap60_open_1s,671,3.1328782032029103,2.120458427915147,0.6002433625069213,0.9997474736757819,0.9940387481371088,"moyenne des opens 1s sur [t−60, t)"
ETH 15m,vwap60_1s,671,3.21041659897093,2.3961494301195745,1.8382600665302276,0.9976917130031572,0.9791356184798807,VWAP 60 s (1s)
ETH 15m,twap30_1s,671,3.2245377521185628,2.984508929874182,3.0391493007331642,0.9935035294695834,0.9731743666169895,"moyenne des closes 1s sur (t−30, t]"
ETH 15m,vwap_1m,671,3.2104165989710114,2.3961494301196082,1.8382600665302926,0.9976917130031566,0.9791356184798807,"VWAP de la bougie 1m [t−1m, t)"
ETH 15m,ohlc4_1m,671,3.189382918445616,2.533900869909357,1.978495338940825,0.9972524672888626,0.9791356184798807,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
ETH 15m,close_1m,671,3.4241559342830437,4.376188503601918,5.304584593021641,0.9801927742689468,0.9329359165424739,"close de la bougie 1m [t−1m, t)"
SOL 5m,spot_1s,2015,3.1193736992888215,5.596777067999055,7.180957758179005,0.9317774519416656,0.8858560794044665,dernier prix (close 1s) avant t
SOL 5m,twap60_1s,2015,3.0551613310171875,2.1266381482365464,0.8130234090551965,0.9990688812134969,0.9890818858560794,"moyenne des closes 1s sur (t−60, t]"
SOL 5m,twap60_open_1s,2015,3.0540421493472896,2.095564200887335,0.658637074990895,0.9993908336760894,0.9910669975186104,"moyenne des opens 1s sur [t−60, t)"
SOL 5m,vwap60_1s,2015,2.9718214169113812,2.7454741369246345,2.5150620953030525,0.9915891248230936,0.96575682382134,VWAP 60 s (1s)
SOL 5m,twap30_1s,2015,3.075279811143144,3.5373998465588454,4.0284403158612605,0.9777440496137159,0.9424317617866005,"moyenne des closes 1s sur (t−30, t]"
SOL 5m,vwap_1m,2015,2.971821416911417,2.745474136924661,2.515062095303064,0.9915891248230937,0.96575682382134,"VWAP de la bougie 1m [t−1m, t)"
SOL 5m,ohlc4_1m,2015,2.991866688506432,2.8192114491477818,2.589430797938816,0.9905423469087901,0.961786600496278,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
SOL 5m,close_1m,2015,3.1193736992888215,5.596777067999055,7.180957758179005,0.9317774519416656,0.8858560794044665,"close de la bougie 1m [t−1m, t)"
SOL 15m,spot_1s,671,3.431917771644962,5.212945387818527,6.676347108278954,0.9798927100913676,0.9359165424739195,dernier prix (close 1s) avant t
SOL 15m,twap60_1s,671,3.084013859687766,2.118616725651889,0.7989698393615062,0.999710767265893,0.9940387481371088,"moyenne des closes 1s sur (t−60, t]"
SOL 15m,twap60_open_1s,671,3.078554886358924,2.090027428080905,0.6673960823484192,0.9997982020073907,0.9940387481371088,"moyenne des opens 1s sur [t−60, t)"
SOL 15m,vwap60_1s,671,3.020945786377808,2.6788373639367227,2.2776266535779293,0.9976961633499308,0.9761549925484352,VWAP 60 s (1s)
SOL 15m,twap30_1s,671,3.177609882123501,3.295447536667722,3.7403122396754167,0.9936596900553459,0.9642324888226528,"moyenne des closes 1s sur (t−30, t]"
SOL 15m,vwap_1m,671,3.0209457863778075,2.678837363936716,2.2776266535778724,0.9976961633499317,0.9761549925484352,"VWAP de la bougie 1m [t−1m, t)"
SOL 15m,ohlc4_1m,671,3.110314740856377,2.7607596048492153,2.4916617253479147,0.9971914496945579,0.9836065573770492,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
SOL 15m,close_1m,671,3.431917771644962,5.212945387818527,6.676347108278954,0.9798927100913676,0.9359165424739195,"close de la bougie 1m [t−1m, t)"
Tous 5m,spot_1s,6044,3.1416458917161987,4.799326190485914,5.94474557847831,0.9298720015078011,0.8800463269358041,dernier prix (close 1s) avant t
Tous 5m,twap60_1s,6044,3.080891874291923,2.1441652365472113,0.6905696081919933,0.9990033119186702,0.9849437458636664,"moyenne des closes 1s sur (t−60, t]"
Tous 5m,twap60_open_1s,6044,3.078881992477377,2.1220038424944674,0.5631039102400227,0.999339175329223,0.9875909993381866,"moyenne des opens 1s sur [t−60, t)"
Tous 5m,vwap60_1s,6044,3.0393038210121053,2.6368038583994453,2.222469745307902,0.9902593428133518,0.9604566512243548,VWAP 60 s (1s)
Tous 5m,twap30_1s,6044,3.110958489433368,3.163684386644858,3.2984574555821924,0.9776855244377506,0.9389477167438782,"moyenne des closes 1s sur (t−30, t]"
Tous 5m,vwap_1m,6044,3.0393038210121137,2.636803858399449,2.2224697453079236,0.9902593428133515,0.9604566512243548,"VWAP de la bougie 1m [t−1m, t)"
Tous 5m,ohlc4_1m,6044,3.040242964890784,2.665898583565071,2.214646654231803,0.9897376754777526,0.9546657842488419,"(O+H+L+C)/4 de la bougie 1m [t−1m, t)"
Tous 5m,close_1m,6044,3.1416458917161987,4.799326190485914,5.94474557847831,0.9298720015078011,0.8800463269358041,"close de la bougie 1m [t−1m, t)"
Tous 15m,spot_1s,2013,3.37137600552978,4.4156270000858475,5.357897309919458,0.9809905872270729,0.9388971684053651,dernier prix (close 1s) avant t
Tous 15m,twap60_1s,2013,3.096346390135673,2.142055356071978,0.6975317160725815,0.9996770358411782,0.9915548931942375,"moyenne des closes 1s sur (t−60, t]"
Tous 15m,twap60_open_1s,2013,3.090334619885484,2.1221179353741064,0.5973380421442223,0.9997632321368471,0.9910581222056631,"moyenne des opens 1s sur [t−60, t)"
Tous 15m,vwap60_1s,2013,3.097075025862335,2.452824482673457,1.8414543114951445,0.9978013953142749,0.9771485345255837,VWAP 60 s (1s)
Tous 15m,twap30_1s,2013,3.1750293819397775,2.9797245965767067,3.03776885100669,0.9938686612587758,0.9687034277198212,"moyenne des closes 1s sur (t−30, t]"
Tous 15m,vwap_1m,2013,3.0970750258623294,2.4528244826734635,1.8414543114951087,0.9978013953142754,0.9771485345255837,"VWAP de la bougie 1m [t−1m, t)"
