variant,half,duration,n_markets,log_loss,brier
ewma1s_h120,2e moitié,15m,1056,0.5036847050723093,0.16418726071784961
ewma1s_h120,2e moitié,5m,3168,0.48296657927318265,0.1576508314436197
ewma1s_h120,1re moitié,15m,960,0.526306070826545,0.172547936723559
ewma1s_h120,1re moitié,5m,2880,0.5003990717035665,0.16397539801135755
ewma1s_h1200,2e moitié,15m,1056,0.48699117895956756,0.16130159493003388
ewma1s_h1200,2e moitié,5m,3168,0.4773230229339883,0.15658008072304608
ewma1s_h1200,1re moitié,15m,960,0.5115049139426802,0.17023419907588047
ewma1s_h1200,1re moitié,5m,2880,0.49402343290661466,0.16281170875738032
ewma1s_h1800,2e moitié,15m,1056,0.4861553680897199,0.16105588055150605
ewma1s_h1800,2e moitié,5m,3168,0.4778584258333168,0.15665365583975469
ewma1s_h1800,1re moitié,15m,960,0.5121699272434276,0.17033953310722436
ewma1s_h1800,1re moitié,5m,2880,0.4942641811613501,0.16289687668578356
ewma1s_h30,2e moitié,15m,1056,0.5305854091505363,0.16789941361298905
ewma1s_h30,2e moitié,5m,3168,0.5051074256459356,0.16142208273342495
ewma1s_h30,1re moitié,15m,960,0.5787877648659008,0.18029188663621454
ewma1s_h30,1re moitié,5m,2880,0.5432969788233052,0.17091748393782513
ewma1s_h300,2e moitié,15m,1056,0.49406977671661123,0.16264451366719687
ewma1s_h300,2e moitié,5m,3168,0.4790587677752827,0.15692807085428143
ewma1s_h300,1re moitié,15m,960,0.5149834560037593,0.17083279178868746
ewma1s_h300,1re moitié,5m,2880,0.4944972134884302,0.16286362004910143
ewma1s_h3600,2e moitié,15m,1056,0.4853972536305442,0.16067715741359842
ewma1s_h3600,2e moitié,5m,3168,0.47927866388785667,0.15699879303081204
ewma1s_h3600,1re moitié,15m,960,0.513245377210978,0.17061052490470943
ewma1s_h3600,1re moitié,5m,2880,0.49497636054391103,0.16320944333789456
ewma1s_h60,2e moitié,15m,1056,0.514083727098231,0.1656480561850617
ewma1s_h60,2e moitié,5m,3168,0.4901340080186844,0.1589533301343406
ewma1s_h60,1re moitié,15m,960,0.5448831164085701,0.17542160072541105
ewma1s_h60,1re moitié,5m,2880,0.5143861858696755,0.16651570242623315
ewma1s_h600,2e moitié,15m,1056,0.4892869524928211,0.16179106067318455
ewma1s_h600,2e moitié,5m,3168,0.47763943960632077,0.1566787587958303
ewma1s_h600,1re moitié,15m,960,0.511566988959093,0.17031412102928628
ewma1s_h600,1re moitié,5m,2880,0.49379334884076287,0.16274466014066044
ewma_S,2e moitié,15m,1056,0.4798948438079102,0.16006485052924962
ewma_S,2e moitié,5m,3168,0.47376154362518375,0.156591989537931
ewma_S,1re moitié,15m,960,0.5098990625291205,0.1698437357057265
ewma_S,1re moitié,5m,2880,0.4918217755425243,0.1630371289172322
timesfm_S,2e moitié,15m,1056,0.4817338094079797,0.16005309202405582
timesfm_S,2e moitié,5m,3168,0.47384835365672867,0.15664246536898144
timesfm_S,1re moitié,15m,960,0.5147369869326784,0.1707550723206303
timesfm_S,1re moitié,5m,2880,0.4957343168120794,0.1637530137511691
ewma1s_h120,2e moitié,toutes,4224,0.48814611072296427,0.1592849387621772
ewma1s_h120,1re moitié,toutes,3840,0.5068758214843111,0.16611853268940788
ewma1s_h1200,2e moitié,toutes,4224,0.47974006194038304,0.15776045927479304
ewma1s_h1200,1re moitié,toutes,3840,0.49839380316563103,0.16466733133700537
ewma1s_h1800,2e moitié,toutes,4224,0.4799326613974175,0.1577542120176925
ewma1s_h1800,1re moitié,toutes,3840,0.4987406176818695,0.16475754079114377
ewma1s_h30,2e moitié,toutes,4224,0.5114769215220859,0.163041415453316
ewma1s_h30,1re moitié,toutes,3840,0.552169675333954,0.17326108461242248
ewma1s_h300,2e moitié,toutes,4224,0.4828115200106149,0.1583571815575103
ewma1s_h300,1re moitié,toutes,3840,0.49961877411726247,0.16485591298399793
ewma1s_h3600,2e moitié,toutes,4224,0.4808083113235285,0.15791838412650863
ewma1s_h3600,1re moitié,toutes,3840,0.49954361471067776,0.16505971372959827
ewma1s_h60,2e moitié,toutes,4224,0.4961214377885711,0.16062701164702087
ewma1s_h60,1re moitié,toutes,3840,0.5220104185043991,0.16874217700102764
ewma1s_h600,2e moitié,toutes,4224,0.4805513178279459,0.15795683426516885
ewma1s_h600,1re moitié,toutes,3840,0.4982367588703454,0.16463702536281694
ewma_S,2e moitié,toutes,4224,0.4752948686708654,0.15746020478576067
ewma_S,1re moitié,toutes,3840,0.4963410972891734,0.1647387806143558
timesfm_S,2e moitié,toutes,4224,0.4758197175945415,0.15749512203275004
timesfm_S,1re moitié,toutes,3840,0.5004849843422292,0.1655035283935344
