slug,duration,half,strategy,label,side,price,t_place,t_cancel,q_ahead,crossing,placed,executed,t_fill,delay_fill_s,fill_reason,y,would_win,pnl_per_share,pnl_per_placed_share,pnl_order,rebate_per_share,model
btc-updown-15m-1788499800,15m,1re moitié,signal,0.49/S+0,down,0.49,1788499770.0,1788499800.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788501600,15m,1re moitié,signal,0.49/S+0,down,0.49,1788501570.0,1788501600.0,59.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788502500,15m,1re moitié,signal,0.49/S+0,down,0.49,1788502470.0,1788502500.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788520500,15m,1re moitié,signal,0.49/S+0,down,0.49,1788520470.0,1788520500.0,59.0,False,True,False,,,,1.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788521400,15m,1re moitié,signal,0.49/S+0,down,0.49,1788521370.0,1788521400.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788523200,15m,1re moitié,signal,0.49/S+0,down,0.49,1788523170.0,1788523200.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788525900,15m,1re moitié,signal,0.49/S+0,up,0.49,1788525870.0,1788525900.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788533100,15m,1re moitié,signal,0.49/S+0,up,0.49,1788533070.0,1788533100.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788537600,15m,1re moitié,signal,0.49/S+0,up,0.49,1788537570.0,1788537600.0,70.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788550200,15m,1re moitié,signal,0.49/S+0,down,0.49,1788550170.0,1788550200.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788551100,15m,1re moitié,signal,0.49/S+0,up,0.49,1788551070.0,1788551100.0,70.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788552900,15m,1re moitié,signal,0.49/S+0,down,0.49,1788552870.0,1788552900.0,59.0,False,True,False,,,,0.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788554700,15m,1re moitié,signal,0.49/S+0,up,0.49,1788554670.0,1788554700.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788561000,15m,1re moitié,signal,0.49/S+0,down,0.49,1788560970.0,1788561000.0,59.0,False,True,True,1788560988.0,18.0,traversal,0.0,1.0,0.51,0.51,51.0,0.0034986000000000006,hgb_m5
btc-updown-15m-1788565500,15m,1re moitié,signal,0.49/S+0,up,0.49,1788565470.0,1788565500.0,70.0,False,True,False,,,,0.0,0.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788566400,15m,1re moitié,signal,0.49/S+0,up,0.49,1788566370.0,1788566400.0,70.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,hgb_m5
btc-updown-15m-1788570000,15m,1re moitié,signal,0.49/S+0,up,0.49,1788569970.0,1788570000.0,70.0,False,True,False,,,,1.0,1.0,,0.0,0.0,,hgb_m5
