half,model,label,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,pnl_per_placed_ic_lo_adj,pnl_per_placed_ic_hi_adj,adverse_selection_ic_lo,adverse_selection_ic_hi,strategy,config,duration
1re moitié,hgb_m0,0.47/S+0,3584,3584,250,0.2709263392857143,0.9814624098867147,0.018537590113285273,18.0,24.0,3584,0.1291852678571437,0.476828012358397,0.34857403561267875,463.0,0.4747682801235839,0.5621890547263682,-8.742077460278425,0.2569288005500776,0.2851925463181705,-0.7066954977699129,0.9538697756840697,-2.56943278483787,3.5028752855494987,-1.451990849139581,1.5328765050670474,-12.15550745545068,-5.13941554752541,signal,,
1re moitié,hgb_m0,0.48/S+0,3405,3405,429,0.3077826725403818,0.9770992366412213,0.022900763358778626,16.0,24.0,3405,0.20440528634361282,0.6641221374045818,0.3492859209089585,696.0,0.4866412213740458,0.563852354688163,-7.721113331411717,0.2922290630512594,0.32311343332314446,-0.727655566221917,1.117827662801728,-2.3844938231219213,3.644340478215384,-1.3894142338813344,1.7882505759252996,-11.407067406237559,-4.112273882146887,signal,,
1re moitié,hgb_m0,0.49/S+0,3061,3061,773,0.36099313949689643,0.7981900452488688,0.20180995475113123,15.0,22.0,3061,0.24665142110421456,0.683257918552036,0.3497136932418054,755.0,0.4968325791855204,0.565439672801636,-6.860709361611561,0.3432563551466294,0.37748980755576234,-0.8062699239531064,1.2957413266088615,-2.2407724505327247,3.6076457405536013,-1.4452311338603143,2.2664548244989677,-10.445878638250823,-3.2055185472743584,signal,,
1re moitié,hgb_m0,0.50/S+0,2065,2065,1769,0.398547215496368,0.8578371810449574,0.1421628189550425,13.0,21.5,2065,0.4116222760290557,1.0328068043742407,0.3498034827931112,850.0,0.5103280680437424,0.573268921095008,-6.294085305126562,0.37680404155512226,0.42017791440000946,-0.9927313972856233,1.7833249905064372,-2.5243892766497464,4.512195121951219,-1.778220728644396,2.6798801248483035,-10.842887981172478,-1.9491794830060394,signal,,
1re moitié,hgb_m2,0.47/S+0,2605,2605,139,0.24683301343570058,0.9766718506998445,0.02332814930015552,18.0,24.0,2605,0.8748560460652598,3.5443234836702997,0.3484893757074821,2279.0,0.505443234836703,0.5626911314984709,-5.724789666176799,0.23106508439338286,0.2626077468348665,-0.06662142612835224,1.834957512568051,-0.26050537239136384,7.313568188109008,-0.7069562338710896,2.348961765199556,-10.040017029575932,-1.334365143743878,signal,,
1re moitié,hgb_m2,0.48/S+0,2499,2499,245,0.2781112444977991,0.9769784172661871,0.02302158273381295,16.0,24.0,2499,0.8163265306122455,2.935251798561153,0.3492076620325014,2040.0,0.5093525179856115,0.5637472283813747,-5.439471039576316,0.26092136616362194,0.29555516152472694,-0.2679184057485998,1.8676630250696618,-0.9506863581233687,6.62578268078998,-0.7543999031438011,2.401432440142204,-9.871706752678424,-1.2148026454672634,signal,,
1re moitié,hgb_m2,0.49/S+0,2296,2296,448,0.32926829268292684,0.8002645502645502,0.19973544973544974,16.0,22.0,2296,1.026132404181185,3.116402116402117,0.349646152158988,2356.0,0.5211640211640212,0.564935064935065,-4.377104377104379,0.3093267666897218,0.3484519872124214,-0.18315299008675473,2.2477920355905914,-0.5732953148720489,6.78734220521584,-0.8334275503828581,3.0095168544982,-8.448710999992342,-0.21680644277781774,signal,,
1re moitié,hgb_m2,0.50/S+0,1662,1662,1082,0.3712394705174489,0.8703403565640194,0.12965964343598055,13.0,22.0,1662,1.1732851985559567,3.1604538087520258,0.3497378708893524,1950.0,0.5316045380875203,0.5751196172248804,-4.3515079137360075,0.3471789920643269,0.3936520738112065,-0.2686647456084788,2.6465464011745916,-0.7272774298288197,7.142857142857143,-1.1132724798071136,3.844233627269971,-9.33920663114312,0.5668585521934238,signal,,
1re moitié,hgb_m5,0.47/S+0,1211,1211,60,0.23699421965317918,0.9721254355400697,0.027874564459930314,18.0,24.0,1211,1.578034682080926,6.658536585365857,0.3481784967941149,1911.0,0.5365853658536586,0.5584415584415584,-2.1856192587899836,0.2125170002478662,0.2609070576295902,0.26544426046215974,2.950703893180638,1.1468665897731642,12.451055789438787,-0.33907928481708444,4.018711077920793,-8.974168123491937,4.730864029270133,signal,,
1re moitié,hgb_m5,0.48/S+0,1174,1174,97,0.25894378194207834,0.9835526315789473,0.01644736842105263,16.0,22.0,1174,1.6252129471890975,6.276315789473685,0.3489088326071989,1908.0,0.5427631578947368,0.5540229885057472,-1.1259830611010324,0.23341729638958858,0.28520552386780346,0.26377990673154905,3.0338201320131986,1.013157894736842,11.782798723016112,-0.48412407143464753,4.237543230709229,-7.572012312527509,5.540176158542646,signal,,
