strategy,n_orders,n_markets,n_crossing,fill_rate,share_traversal,share_queue,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,pnl_total_usd,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi,adverse_selection_ic_lo,adverse_selection_ic_hi,q_variant,rule,delay_mean_s,pnl_per_market_usd,pnl_per_market_ic_lo,pnl_per_market_ic_hi,config,note
signal,1433,1433,187,0.3098394975575715,0.8378378378378378,0.16216216216216217,16.0,23.0,1433.0,0.1702721563154223,0.5495495495495489,0.34985999999999995,244.0,0.4954954954954955,0.5935288169868554,-9.803332149135995,0.2852068658355711,0.33220840961436243,-1.3269384561891515,1.644969045107494,-4.216088849298142,5.299131016042778,-15.368633205504132,-4.207849996019294,measured,0,,,,,,
two_sided,7603,4222,845,0.5086150203866895,0.9500905094388414,0.04990949056115852,36.0,48.0,7603.0,-1.2516112061028535,-2.4608223429014724,0.3494400000000001,-9516.0,0.4553917765709853,0.550321199143469,-9.492942257248371,0.4996037754549131,0.5173108123103515,-1.9428266427757777,-0.6245667306326359,-3.815858578227695,-1.2329071051796572,-12.283967063963894,-6.753538834580789,measured,0,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,measured,1,,,,,,
two_sided,7603,4222,845,0.5017756148888597,1.0,0.0,36.0,49.0,7603.0,-1.2652900170985126,-2.521625163826997,0.34944000000000014,-9620.0,0.45478374836173,0.5496304118268216,-9.484666346509158,0.4924972396416711,0.5106162718980874,-1.9669569855031657,-0.6346217725793002,-3.939426860163005,-1.2563034464887282,-12.284811596037892,-6.830898295819414,measured,1,,,,,,
signal,1433,1433,187,0.32309839497557574,0.7213822894168467,0.2786177105831533,16.0,23.0,1433.0,0.4975575715282626,1.5399568034557225,0.34985999999999995,713.0,0.5053995680345572,0.5907216494845361,-8.532208144997888,0.2980882614693187,0.3455593096229169,-1.028364899223307,1.959096653223133,-3.176272939354156,6.13795429492769,-14.059842612168197,-3.084694707605613,0,0,,,,,,
two_sided,7603,4222,845,0.5203209259502828,0.8119312436804853,0.18806875631951467,36.0,48.0,7603.0,-1.2479284492963296,-2.3983822042467122,0.34944000000000014,-9488.0,0.45601617795753285,0.5519605154921854,-9.594433753465253,0.5111924395689506,0.5293977825907399,-1.9333927051241828,-0.6144632061900492,-3.70755741063511,-1.1896616482718287,-12.433464293010076,-6.953840956386236,0,0,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,0,1,,,,,,
two_sided,7603,4222,845,0.5017756148888597,1.0,0.0,36.0,49.0,7603.0,-1.2652900170985126,-2.521625163826997,0.34944000000000014,-9620.0,0.45478374836173,0.5496304118268216,-9.484666346509158,0.4924972396416711,0.5106162718980874,-1.9669569855031657,-0.6346217725793002,-3.939426860163005,-1.2563034464887282,-12.284811596037892,-6.830898295819414,0,1,,,,,,
signal,1433,1433,187,0.30425680390788556,1.0,0.0,16.0,23.0,1433.0,0.09490579204466167,0.311926605504586,0.34986,136.0,0.49311926605504586,0.5937813440320963,-10.06620779770504,0.28016582071787605,0.3258594651958881,-1.407879449388076,1.6091343281832402,-4.656160847710909,5.254506269592468,-15.820042149604628,-4.460660592565113,500,0,,,,,,
two_sided,7603,4222,845,0.5023017230040774,0.9984289080911233,0.0015710919088766694,36.0,49.0,7603.0,-1.2773905037485194,-2.5430741031683675,0.34944000000000014,-9712.0,0.4545692589683163,0.5499471458773785,-9.537788690906218,0.4931591984889409,0.5110916437375304,-1.976789844466672,-0.6468250783030415,-3.962160811275178,-1.2843946337149539,-12.343847760117582,-6.849980464241365,500,0,,,,,,
