t_rel_s,cellule,n_marches,spread_median,mid_median,depth_best_bid_median,depth_best_ask_median,depth_bid_10c_median,depth_ask_10c_median,bid_up_048_median,bid_up_049_median,bid_up_050_median,bid_up_051_median,bid_up_052_median,bid_dn_048_median,bid_dn_049_median,bid_dn_050_median,bid_dn_051_median,bid_dn_052_median,spread_p25,depth_best_bid_p25,spread_p75,depth_best_bid_p75
-150,Tous,48,0.01,0.53,28.815,100.29,1073.31,1116.79,67.92,167.74,143.5,39.315,17.5,0,0,0,0,0,0.01,18.56,0.01,85.5
-149,Tous,48,0.01,0.54,28.815,126.515,1073.31,1116.79,72.92,107.74,143.5,51.815,2.5,0,0,0,0,0,0.01,20.845,0.01,101.983
-148,Tous,48,0.01,0.535,35,108.38,565.22,631.95,60.84,70.38,50,30,0,0,0,0,0,0,0.01,21.44,0.01,82.25
-147,Tous,48,0.01,0.535,35,108.38,565.22,631.95,60.84,70.38,50,30,0,0,0,0,0,0,0.01,21.44,0.01,82.25
-146,Tous,48,0.01,0.53,37.5,100.29,1073.31,1120.86,72.92,90.19,50,35,0,0,0,0,0,0,0.01,22.035,0.01,61.22
-145,Tous,48,0.01,0.53,37.5,100.29,1073.31,1120.86,72.92,90.19,50,35,0,0,0,0,0,0,0.01,22.035,0.01,61.22
-144,Tous,48,0.01,0.53,37.5,100.29,1083.21,1120.86,72.92,90.19,55,35,0,0,0,0,0,0,0.01,22.035,0.01,61.22
-143,Tous,48,0.01,0.525,40.19,92.2,1619.61,1586.06,85,110,50,30,0,0,0,0,0,0,0.01,28.815,0.01,105.655
-142,Tous,48,0.01,0.515,40,90.78,1581.4,1285.65,82,75.19,35,5,0,45,0,0,0,0,0.01,20.25,0.01,87
-141,Tous,48,0.01,0.51,40.095,84.58,1108.34,967.045,71.42,72.785,27.5,2.5,0,47.92,5.095,0,0,0,0.01,24.4725,0.01,84.0475
-140,Tous,48,0.01,0.505,40.19,90.78,1581.4,1285.65,82,70.38,35,0,0,50.84,10.19,0,0,0,0.01,28.815,0.01,105.655
-139,Tous,48,0.01,0.505,49.16,84.58,1600.51,1395.16,79.5,72.785,27.5,0,0,58.465,30.095,0,0,0,0.01,31.9075,0.01,132.833
-138,Tous,48,0.01,0.505,87,97,1619.61,1605.04,87,145.1,50,0,0,92,71.47,0,0,0,0.01,37.5,0.01,172.795
-137,Tous,48,0.01,0.505,87,92.2,1619.61,1605.04,87,145.1,60,0,0,95.67,71.47,0,0,0,0.01,40,0.01,178.59
-136,Tous,48,0.01,0.505,69.08,81.125,1591.28,1559.62,83.5,97.5,35,0,0,92,60.19,0,0,0,0.01,35,0.01,169.898
-135,Tous,48,0.01,0.505,69.08,81.125,1591.28,1559.62,83.5,97.5,35,0,0,92,60.19,0,0,0,0.01,35,0.01,169.898
-134,Tous,48,0.01,0.505,69.08,81.125,1591.28,1559.62,83.5,97.5,35,0,0,92,60.19,0,0,0,0.01,35,0.01,169.898
-133,Tous,48,0.01,0.505,60.55,91.49,1550.84,1523.8,79.5,77.595,32.11,0,0,93.835,70.83,0,0,0,0.01,31.25,0.01,164.85
-132,Tous,48,0.01,0.505,62.97,90.78,1520.28,1514.43,77,75.19,29.22,0,0,95.67,71.47,0,0,0,0.01,32.5,0.01,162.7
-131,Tous,48,0.01,0.505,50,71.47,1456.02,1433.06,75,70.38,20,0,0,92,70.19,0,0,0,0.01,35,0.01,158.4
-130,Tous,48,0.01,0.505,45.45,69.235,1290.04,1400.09,70.42,70.38,16.5,0,0,92,60.32,0,0,0,0.01,29.805,0.01,132.282
-129,Tous,48,0.01,0.505,45.45,71.47,1225.7,1388.93,70,70.38,15,0,0,92,60.19,0,0,0,0.01,30,0.01,124.31
-128,Tous,48,0.01,0.505,45.45,67,1225.7,1388.93,70,70.38,15,0,0,92,60.19,0,0,0,0.01,29.61,0.01,126.45
-127,Tous,48,0.01,0.505,45.45,65.29,1289.96,1388.93,70.84,80,18,0,0,85.84,60.45,0,0,0,0.01,30,0.01,128.59
-126,Tous,48,0.01,0.505,47.725,65.215,1257.83,1360.7,72.92,75.19,16.5,0,0,88.13,60.32,0,0,0,0.01,31.25,0.01,127.52
-125,Tous,48,0.01,0.505,47.725,65.215,1257.83,1360.7,72.92,75.19,16.5,0,0,88.13,60.32,0,0,0,0.01,31.25,0.01,127.52
-124,Tous,48,0.01,0.505,50,65.14,1290.12,1372.91,76.1,75.19,15,0,0,85.84,60.45,0,0,0,0.01,32.5,0.01,141.495
-123,Tous,48,0.01,0.505,50.095,65.215,1299.49,1380.92,76.55,77.595,16.5,0,0,85.42,62.725,0,0,0,0.01,33.75,0.01,140.797
