cellule,phase,niveau,n,median,p25,p75
Tous,"avant S (S−60 s, S−30 s)",bid_up_048,36,97.82,55.83,152.82
Tous,"avant S (S−60 s, S−30 s)",bid_up_049,36,55.755,31.02,148.425
Tous,"avant S (S−60 s, S−30 s)",bid_up_050,36,0,0,173.007
Tous,"avant S (S−60 s, S−30 s)",bid_up_051,36,0,0,9.9475
Tous,"avant S (S−60 s, S−30 s)",bid_up_052,36,0,0,0
Tous,"avant S (S−60 s, S−30 s)",bid_dn_048,36,82.445,32.12,112.892
Tous,"avant S (S−60 s, S−30 s)",bid_dn_049,36,45.05,0,70.2375
Tous,"avant S (S−60 s, S−30 s)",bid_dn_050,36,0,0,21.25
Tous,"avant S (S−60 s, S−30 s)",bid_dn_051,36,0,0,0
Tous,"avant S (S−60 s, S−30 s)",bid_dn_052,36,0,0,0
Tous,"après S (S, S+30 s)",bid_up_048,36,23.115,0,135.04
Tous,"après S (S, S+30 s)",bid_up_049,36,5,0,134.52
Tous,"après S (S, S+30 s)",bid_up_050,36,10,0,128.3
Tous,"après S (S, S+30 s)",bid_up_051,36,0,0,122.653
Tous,"après S (S, S+30 s)",bid_up_052,36,0,0,67.79
Tous,"après S (S, S+30 s)",bid_dn_048,36,5,0,33.4025
Tous,"après S (S, S+30 s)",bid_dn_049,36,0,0,10
Tous,"après S (S, S+30 s)",bid_dn_050,36,0,0,6.25
Tous,"après S (S, S+30 s)",bid_dn_051,36,0,0,1.25
Tous,"après S (S, S+30 s)",bid_dn_052,36,0,0,0
BTC 15m,"avant S (S−60 s, S−30 s)",bid_up_048,4,197.285,162.08,232.49
BTC 15m,"avant S (S−60 s, S−30 s)",bid_up_049,4,146.63,78.75,223.26
BTC 15m,"avant S (S−60 s, S−30 s)",bid_up_050,4,209.015,159.09,241.5
BTC 15m,"avant S (S−60 s, S−30 s)",bid_up_051,4,0,0,0
BTC 15m,"avant S (S−60 s, S−30 s)",bid_up_052,4,0,0,0
BTC 15m,"avant S (S−60 s, S−30 s)",bid_dn_048,4,173.955,137.5,222.91
BTC 15m,"avant S (S−60 s, S−30 s)",bid_dn_049,4,71.605,58.165,127.9
BTC 15m,"avant S (S−60 s, S−30 s)",bid_dn_050,4,0,0,0
BTC 15m,"avant S (S−60 s, S−30 s)",bid_dn_051,4,0,0,0
BTC 15m,"avant S (S−60 s, S−30 s)",bid_dn_052,4,0,0,0
BTC 15m,"après S (S, S+30 s)",bid_up_048,4,81.58,35,176.46
BTC 15m,"après S (S, S+30 s)",bid_up_049,4,194,38.75,353.5
BTC 15m,"après S (S, S+30 s)",bid_up_050,4,115,32.5,257
BTC 15m,"après S (S, S+30 s)",bid_up_051,4,245.835,0,758.253
BTC 15m,"après S (S, S+30 s)",bid_up_052,4,55,0,909.5
BTC 15m,"après S (S, S+30 s)",bid_dn_048,4,0,0,10.6025
BTC 15m,"après S (S, S+30 s)",bid_dn_049,4,0,0,0
BTC 15m,"après S (S, S+30 s)",bid_dn_050,4,0,0,0
BTC 15m,"après S (S, S+30 s)",bid_dn_051,4,0,0,0
BTC 15m,"après S (S, S+30 s)",bid_dn_052,4,0,0,0
BTC 5m,"avant S (S−60 s, S−30 s)",bid_up_048,16,135.32,108.82,157.705
BTC 5m,"avant S (S−60 s, S−30 s)",bid_up_049,16,140.28,57.94,200.85
BTC 5m,"avant S (S−60 s, S−30 s)",bid_up_050,16,10.5,0,266.827
BTC 5m,"avant S (S−60 s, S−30 s)",bid_up_051,16,0,0,58.965
BTC 5m,"avant S (S−60 s, S−30 s)",bid_up_052,16,0,0,8.75
BTC 5m,"avant S (S−60 s, S−30 s)",bid_dn_048,16,88.8,30,147.82
BTC 5m,"avant S (S−60 s, S−30 s)",bid_dn_049,16,3.755,0,118.445
BTC 5m,"avant S (S−60 s, S−30 s)",bid_dn_050,16,0,0,52.75
BTC 5m,"avant S (S−60 s, S−30 s)",bid_dn_051,16,0,0,0
BTC 5m,"avant S (S−60 s, S−30 s)",bid_dn_052,16,0,0,0
