durée,t_rel_s,n,brier_juste_valeur,brier_marché,d_brier,d_brier_ic_bas,d_brier_ic_haut,justesse_juste_valeur,justesse_marché
toutes,30,46,0.2131,0.231081,-0.0179809,-0.0531712,0.00793745,0.586957,0.565217
toutes,60,46,0.197724,0.202551,-0.00482753,-0.0424123,0.0284359,0.652174,0.652174
toutes,150,40,0.0993139,0.0993587,-4.48861e-05,-0.0562088,0.0575377,0.825,0.85
toutes,240,23,0.164921,0.120772,0.0441488,-0.0691914,0.115185,0.826087,0.826087
toutes,450,6,0.406988,0.231658,0.17533,0.0117715,0.363062,0.5,0.666667
toutes,840,6,0.138395,0.028825,0.10957,-0.0412601,0.370959,0.833333,1
15m,30,6,0.316525,0.267592,0.048933,-0.00234353,0.109957,0.333333,0.333333
15m,60,6,0.345074,0.279792,0.0652827,-0.00344835,0.143589,0.333333,0.333333
15m,450,6,0.406988,0.231658,0.17533,0.0117715,0.363062,0.5,0.666667
15m,840,6,0.138395,0.028825,0.10957,-0.0412601,0.370959,0.833333,1
5m,30,40,0.197586,0.225604,-0.028018,-0.0645311,-0.00192392,0.625,0.6
5m,60,40,0.175621,0.190965,-0.0153441,-0.0573916,0.0272791,0.7,0.7
5m,150,40,0.0993139,0.0993587,-4.48861e-05,-0.0562088,0.0575377,0.825,0.85
5m,240,23,0.164921,0.120772,0.0441488,-0.0691914,0.115185,0.826087,0.826087
