slug,asset,duration,start_ts,strategy,label,side,price,size,t_place_rel,t_cancel_rel,status,placed,q_ahead0,q_ahead_end,filled,fill_ratio,executed,executed_full,fill_reason,traded_at_level,mid_at_place,t_fill_rel,delay_s,resolved_up,would_win,pnl_per_share,pnl_order,pnl_per_placed_share,rebate_per_share,tag_price,tag_cancel,tag_gap,tag_pair,tag_p_up,slot,half,cellule
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.48/S+0,down,0.48,10,-30,0,filled,True,121.25,0,10,1,True,True,queue,88.29,0.505,-26.619,3.081,True,0,-0.48,-4.8,-0.48,0.0034944,0.48,0,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.48/S+30,down,0.48,10,-30,30,filled,True,121.25,0,10,1,True,True,queue,88.29,0.505,-26.619,3.081,True,0,-0.48,-4.8,-0.48,0.0034944,0.48,30,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.48/S+60,down,0.48,10,-30,60,filled,True,121.25,0,10,1,True,True,queue,88.29,0.505,-26.619,3.081,True,0,-0.48,-4.8,-0.48,0.0034944,0.48,60,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.49/S+0,down,0.49,10,-30,0,filled,True,68.03,0,10,1,True,True,traversal,22,0.505,-26.815,2.885,True,0,-0.49,-4.9,-0.49,0.0034986,0.49,0,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.49/S+30,down,0.49,10,-30,30,filled,True,68.03,0,10,1,True,True,traversal,22,0.505,-26.815,2.885,True,0,-0.49,-4.9,-0.49,0.0034986,0.49,30,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.49/S+60,down,0.49,10,-30,60,filled,True,68.03,0,10,1,True,True,traversal,22,0.505,-26.815,2.885,True,0,-0.49,-4.9,-0.49,0.0034986,0.49,60,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.50/S+0,down,0.5,10,-30,0,crossing,False,,,0,0,False,False,,0,0.505,,,True,0,-0.5,-0,-0,0.0035,0.5,0,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.50/S+30,down,0.5,10,-30,30,crossing,False,,,0,0,False,False,,0,0.505,,,True,0,-0.5,-0,-0,0.0035,0.5,30,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,signal,0.50/S+60,down,0.5,10,-30,60,crossing,False,,,0,0,False,False,,0,0.505,,,True,0,-0.5,-0,-0,0.0035,0.5,60,-4.76368e-08,,,1989331,1re moitié,BTC 15m
btc-updown-15m-1790397900,btc,15m,1790397900,two_sided,0.49/S+0,up,0.49,10,-60,0,cancelled,True,243.26,40,0,0,False,False,,0,0.505,,,True,1,0.51,0,0,0.0034986,0.49,0,,0,,1989331,1re moitié,BTC 15m
