cellule,instant_s,mesure,n,median,p25,p75
Tous,-60,spread,48,0.01,0.01,0.01
Tous,-60,mid,48,0.505,0.495,0.51
Tous,-60,depth_best_bid,48,47.725,34.09,137.345
Tous,-60,depth_best_ask,48,45.82,16.8675,96.5525
Tous,-60,depth_bid_10c,48,1522.96,612.5,1818.36
Tous,-60,depth_ask_10c,48,1382.12,641.358,1790.7
Tous,-60,bid_up_048,48,101.32,66.4375,133.57
Tous,-60,bid_up_049,48,77.595,48.8625,167.26
Tous,-60,bid_up_050,48,28,0,152.113
Tous,-60,bid_up_051,48,0,0,0
Tous,-60,bid_up_052,48,0,0,0
Tous,-60,bid_dn_048,48,81.5,35.205,136.942
Tous,-60,bid_dn_049,48,42.5,0,78.715
Tous,-60,bid_dn_050,48,0,0,7
Tous,-60,bid_dn_051,48,0,0,0
Tous,-60,bid_dn_052,48,0,0,0
Tous,-30,spread,48,0.01,0.01,0.01
Tous,-30,mid,48,0.505,0.495,0.5225
Tous,-30,depth_best_bid,48,30.05,16.8,100.54
Tous,-30,depth_best_ask,48,39.5,14.305,90.38
Tous,-30,depth_bid_10c,48,894.45,452.522,1351.15
Tous,-30,depth_ask_10c,48,837.21,471.712,1277.99
Tous,-30,bid_up_048,48,76.5,45.32,127.385
Tous,-30,bid_up_049,48,44.205,10.8725,92.575
Tous,-30,bid_up_050,48,26.24,0,114.588
Tous,-30,bid_up_051,48,0,0,30
Tous,-30,bid_up_052,48,0,0,0
Tous,-30,bid_dn_048,48,71.25,0,118.595
Tous,-30,bid_dn_049,48,30,0,52.15
Tous,-30,bid_dn_050,48,0,0,12.5
Tous,-30,bid_dn_051,48,0,0,0
Tous,-30,bid_dn_052,48,0,0,0
Tous,0,spread,48,0.03,0.02,0.0825
Tous,0,mid,48,0.515,0.4725,0.565
Tous,0,depth_best_bid,48,30,10.41,40.32
Tous,0,depth_best_ask,48,30,10,55.275
Tous,0,depth_bid_10c,48,323,84.5875,484.045
Tous,0,depth_ask_10c,48,318.155,115.102,467.185
Tous,0,bid_up_048,48,20.41,0,41.7625
Tous,0,bid_up_049,48,7.5,0,35.5425
Tous,0,bid_up_050,48,0,0,31.25
Tous,0,bid_up_051,48,0,0,20
