strategy,label,half,n_orders,n_markets,n_no_book,n_crossing,fill_rate,fill_rate_full,share_by_queue,share_by_traversal,share_by_cross,q_ahead0_median,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi
signal,0.48/S+0,1re moitié,19,19,0,4,0.421053,0.421053,0.375,0.625,0,70.53,18.6155,22.092,19,-4.42105,-10.5,0.34944,0.375,0.545455,-17.0455,0.125,0.55,-8.95238,1.09091,-48,2
signal,0.48/S+30,1re moitié,19,19,0,4,0.631579,0.631579,0.25,0.75,0,70.53,23.09,30.7793,19,-4,-6.33333,0.34944,0.416667,0.571429,-15.4762,0.375,0.7,-26.1818,8.18182,-48,12
signal,0.48/S+60,1re moitié,19,19,0,4,0.684211,0.684211,0.230769,0.769231,0,70.53,25.086,32.289,19,-1.26316,-1.84615,0.34944,0.461538,0.5,-3.84615,0.375,0.818182,-26.1818,15.2727,-48,18.6667
signal,0.49/S+0,1re moitié,17,17,0,6,0.411765,0.411765,0.142857,0.857143,0,50.45,14.174,16.407,17,-2.52941,-6.14286,0.34986,0.428571,0.6,-17.1429,0,0.631579,-7.44332,0.631579,-15.6667,1
signal,0.49/S+30,1re moitié,17,17,0,6,0.764706,0.764706,0.230769,0.769231,0,50.45,18.527,32.264,17,-2.17647,-2.84615,0.34986,0.461538,0.75,-28.8462,0.285714,0.947368,-21.7778,16.7368,-49,17.6667
signal,0.49/S+60,1re moitié,17,17,0,6,0.764706,0.764706,0.230769,0.769231,0,50.45,18.527,32.264,17,-2.17647,-2.84615,0.34986,0.461538,0.75,-28.8462,0.285714,0.947368,-21.7778,16.7368,-49,17.6667
signal,0.50/S+0,1re moitié,13,13,0,10,0.307692,0.307692,0.25,0.75,0,50,13.362,15.2413,13,0,0,0.35,0.5,0.666667,-16.6667,0,0.5,-23.1787,23.0769,-50,50
signal,0.50/S+30,1re moitié,13,13,0,10,0.769231,0.769231,0.1,0.9,0,50,30.579,32.2695,13,0,0,0.35,0.5,1,-50,0.285714,1,-25,46.1538,-50,50
signal,0.50/S+60,1re moitié,13,13,0,10,0.769231,0.769231,0.1,0.9,0,50,30.579,32.2695,13,0,0,0.35,0.5,1,-50,0.285714,1,-25,46.1538,-50,50
two_sided,0.49/S+0,1re moitié,41,23,0,5,0.560976,0.560976,0.173913,0.826087,0,70.38,32.879,43.6725,41,-5.53659,-9.86957,0.34986,0.391304,0.777778,-38.6473,0.416667,0.637681,-13.7143,9.54545,-24,21
two_sided,0.49/S+30,1re moitié,41,23,0,5,0.707317,0.707317,0.206897,0.793103,0,70.38,39.85,48.527,41,-5.39024,-7.62069,0.34986,0.413793,0.916667,-50.2874,0.545455,0.813953,-14.4419,8.30769,-24,13.5
two_sided,0.49/S+60,1re moitié,41,23,0,5,0.707317,0.707317,0.206897,0.793103,0,70.38,39.85,48.527,41,-5.39024,-7.62069,0.34986,0.413793,0.916667,-50.2874,0.545455,0.813953,-14.4419,8.30769,-24,13.5
fair_value,± 1 c,1re moitié,940,23,0,42,0.320213,0.314894,0.375415,0.624585,0,139.58,3.745,7.241,940,-2.03456,-6.15615,0.267842,0.418605,0.56651,-14.7906,0.280355,0.384822,-8.14359,4.75242,-24.7727,12.5751
signal,0.48/S+0,2e moitié,24,24,0,1,0.166667,0.166667,0.25,0.75,0,97.41,17.86,21.6195,22,2.54545,18.6667,0.34944,0.666667,0.315789,35.0877,0.0384615,0.285714,-5.33333,13,-48,52
signal,0.48/S+30,2e moitié,24,24,0,1,0.625,0.583333,0.2,0.8,0,97.41,33.38,39.837,22,-9.70636,-12.2857,0.34944,0.357143,0.375,-1.78571,0.375,0.84,-26.6808,10,-39.6667,15.6364
signal,0.48/S+60,2e moitié,24,24,0,1,0.666667,0.625,0.1875,0.8125,0,97.41,34.6335,42.3213,22,-7.34273,-8,0.34944,0.4,0.285714,11.4286,0.5,0.84,-25.8633,11.6031,-30.3529,18.6667
signal,0.49/S+0,2e moitié,23,23,0,2,0.391304,0.391304,0.333333,0.666667,0,50.38,13.739,21.068,21,-2.04762,-6.14286,0.34986,0.428571,0.357143,7.14286,0.0769231,0.777778,-10.8889,7.85714,-49,11
signal,0.49/S+30,2e moitié,23,23,0,2,0.695652,0.695652,0.375,0.625,0,50.38,21.543,34.0053,21,-8.85714,-13.2857,0.34986,0.357143,0.428571,-7.14286,0.413742,0.961765,-24.3986,11,-40.6667,14.6364
signal,0.49/S+60,2e moitié,23,23,0,2,0.73913,0.73913,0.352941,0.647059,0,50.38,21.774,35.887,21,-6.42857,-9,0.34986,0.4,0.333333,6.66667,0.541667,0.961765,-23.3005,11.9163,-31.3529,17.6667
