strategy,label,n_orders,n_markets,n_no_book,n_crossing,fill_rate,fill_rate_full,share_by_queue,share_by_traversal,share_by_cross,q_ahead0_median,delay_median_s,delay_p75_s,n_scored,pnl_per_placed_c,pnl_per_executed_c,rebate_per_executed_c,win_rate_executed,win_rate_not_executed,adverse_selection_pts,fill_rate_ic_lo,fill_rate_ic_hi,pnl_per_placed_ic_lo,pnl_per_placed_ic_hi,pnl_per_executed_ic_lo,pnl_per_executed_ic_hi
signal,0.48/S+0,14,14,0,4,0.571429,0.571429,0.625,0.125,0.25,70.89,15.278,18.4778,12,-11.3333,-19.4286,0.34944,0.285714,0.6,-31.4286,0,0.714286,-24,0,-48,-8
signal,0.48/S+30,14,14,0,4,0.714286,0.714286,0.5,0.2,0.3,70.89,17.4115,20.457,12,-7,-10.5,0.34944,0.375,0.5,-12.5,0,0.857143,-24,1.71429,-48,2
signal,0.48/S+60,14,14,0,4,0.785714,0.785714,0.454545,0.181818,0.363636,70.89,18.455,25.685,12,-2.66667,-3.55556,0.34944,0.444444,0.333333,11.1111,0,1,-24,9.14286,-48,9.14286
signal,0.49/S+0,13,13,0,5,0.538462,0.538462,0.571429,0.428571,0,50.45,12.578,14.156,11,-8.54545,-15.6667,0.34986,0.333333,0.6,-26.6667,0,0.666667,-24.5,0.666667,-49,1
signal,0.49/S+30,13,13,0,5,0.846154,0.846154,0.545455,0.363636,0.0909091,50.45,14.162,30.582,11,-3.72727,-4.55556,0.34986,0.444444,0.5,-5.55556,0,1,-36.75,17.6667,-49,17.6667
signal,0.49/S+60,13,13,0,5,0.923077,0.923077,0.5,0.333333,0.166667,50.45,16.3445,33.6398,11,-8.18182,-9,0.34986,0.4,1,-60,0,1,-49,17.6667,-49,17.6667
signal,0.50/S+0,9,9,0,9,0.444444,0.444444,0,0.5,0.5,50,13.351,15.2278,8,0,0,0.35,0.5,0.75,-25,0,0.5,-33.3333,25,-50,50
signal,0.50/S+30,9,9,0,9,0.888889,0.888889,0.125,0.375,0.5,50,24.4015,33.5612,8,6.25,7.14286,0.35,0.571429,1,-42.8571,0,1,-50,50,-50,50
signal,0.50/S+60,9,9,0,9,0.888889,0.888889,0.125,0.375,0.5,50,24.4015,33.5612,8,6.25,7.14286,0.35,0.571429,1,-42.8571,0,1,-50,50,-50,50
two_sided,0.49/S+0,31,18,0,5,0.645161,0.645161,0.5,0.4,0.1,70.38,35.689,43.4187,25,-3.36,-5.25,0.34986,0.4375,0.888889,-45.1389,0.5,0.692308,-10.8462,25.5,-15.6667,51
two_sided,0.49/S+30,31,18,0,5,0.774194,0.741935,0.541667,0.333333,0.125,70.38,39.363,46.1503,25,-1.24,-1.63158,0.34986,0.473684,1,-52.6316,0.5,0.846154,-11.75,25.5,-15.6667,51
two_sided,0.49/S+60,31,18,0,5,0.774194,0.741935,0.541667,0.333333,0.125,70.38,39.363,46.1503,25,-1.24,-1.63158,0.34986,0.473684,1,-52.6316,0.5,0.846154,-11.75,25.5,-15.6667,51
fair_value,± 1 c,728,18,0,38,0.385989,0.384615,0.199288,0.0320285,0.768683,146.75,2.723,5.941,597,-0.331658,-0.838983,0.283905,0.487288,0.537396,-5.0108,0.35249,0.496241,-10.8308,8.7218,-29.9574,17.5758
