cellule,fenêtre,n_trades,part_traverse,part_depasse_profondeur,taille_mediane,taille_p90,part_achats,part_traverse_ic_bas,part_traverse_ic_haut
Tous,toutes,23922,0.198102,0.101706,8.33333,59,0.910584,0.182564,0.212721
Tous,avant S−60 s,188,0.0851064,0.164894,7.87157,89.5113,0.994681,0.0351706,0.128839
Tous,"[S−60 s, S)",1164,0.188144,0.148625,7,51.854,0.987113,0.150754,0.224095
Tous,"[S, S+60 s)",3668,0.227099,0.0984188,8.33333,46.2289,0.967285,0.202853,0.251093
Tous,après S+60 s,18902,0.194212,0.0988255,8.51173,60.9896,0.894032,0.17208,0.21412
BTC 15m,toutes,2635,0.222011,0.150285,10,69.7,0.85389,0.197187,0.238127
BTC 15m,avant S−60 s,6,0,0,12.5,36.7596,1,0,0
BTC 15m,"[S−60 s, S)",54,0.037037,0.0925926,8.40385,47.58,0.962963,0,0.0740741
BTC 15m,"[S, S+60 s)",90,0.1,0.144444,8.16393,119.991,0.966667,0.0533333,0.151525
BTC 15m,après S+60 s,2485,0.230986,0.152113,10,69.92,0.847082,0.206604,0.247838
BTC 5m,toutes,17151,0.18343,0.0822693,7.28,66,0.90951,0.159423,0.205344
BTC 5m,avant S−60 s,168,0.0714286,0.154762,5.94118,94.0769,0.994048,0.0287718,0.103963
BTC 5m,"[S−60 s, S)",943,0.202545,0.150583,6.3,57.8198,0.986214,0.158192,0.247
BTC 5m,"[S, S+60 s)",2819,0.21426,0.0837176,7.46269,50,0.963107,0.182819,0.244028
BTC 5m,après S+60 s,13221,0.176916,0.0761667,7.41,72.11,0.891536,0.139864,0.20884
ETH 5m,toutes,4136,0.243714,0.151354,10,31.1944,0.951161,0.219116,0.260304
ETH 5m,avant S−60 s,14,0.285714,0.357143,9.52,48.495,1,0.0769231,0.45472
ETH 5m,"[S−60 s, S)",167,0.155689,0.155689,11,33.5638,1,0.129407,0.179493
ETH 5m,"[S, S+60 s)",759,0.289855,0.147563,10,20.32,0.982872,0.245954,0.327505
ETH 5m,après S+60 s,3196,0.237171,0.151126,10,33.9736,0.940864,0.214412,0.251516
