slug,asset,duration,start,end,y,price_to_beat,final_price,cl_move_bps,tie_cl,volume,liquidity,fee_type,fee_rate,fee_exponent,twap_lookback_s,resolution_rule,n_hist_points,p_pre,p_pre_age_s,p_S,p_S_age_s,p_1m,t_1m,p_2m,t_2m,p_5m,t_5m,p_10m,t_10m,nowcast_1m,nowcast_2m,nowcast_5m,nowcast_10m,bn_open1m_S,bn_close1m_S,bn_close1m_E,bn_vwap1m_S,bn_vwap1m_first,bn_vwap1m_E,bn_ohlc4_S,bn_ohlc4_first,bn_ohlc4_E,bn_win1m,bn_open1s_S,bn_win1s,bn_twap60_S,bn_vwap60_S,bn_twap30_S,bn_twap60m4_S,bn_twap60_E,bn_vwap60_E,bn_twap30_E,bn_twap60m4_E,bn_first60_S,mom5_m60,mom15_m60,mom5_m30,mom15_m30,gap_m30,mom5_m0,mom15_m0,gap_m0_1m,gap_m0_1s,sigma_s,proxy_a_close_vs_open_1m,proxy_a2_close_vs_close_1m,proxy_b_vwap_last_vs_first_1m,proxy_b_ohlc4_last_vs_first_1m,proxy_b_vwap_last_vs_prev_1m,proxy_b_ohlc4_last_vs_prev_1m,proxy_b_twap60_last_vs_first_1s,proxy_b_twap60_1s,proxy_b_vwap60_1s,proxy_b_twap30_1s,proxy_x_twap60_1s_lag4,proxy_c_window_twap_vs_open_1m,proxy_c_window_twap_vs_open_1s
btc-updown-5m-1789689600,btc,5m,2026-09-18 00:00:00+00:00,2026-09-18 00:05:00+00:00,0,76389.76028,76363.95557,-3.37860344,False,30488.93555,,crypto_fees_v2,0.07,1,60,twap,21,0.505,18,0.505,48,0.335,1789689619,0.135,1789689673,0.085,1789689853,,,0.2661334696,0.05799904197,0.001,,76417.01,76417.01,76426.05,76435.90868,76420.0569,76428.19839,76446.095,76414.6,76433.03,76419.336,76417.01,76418.2061,76453.48567,76435.90868,76443.82633,76457.419,76426.812,76428.19839,76426.05667,76427.74183,76419.3595,0.0008855062292,0.0005219992861,0.0002778336268,0.0003028215073,-5.094087103e-05,-0.0005362550882,-0.000249651464,-0.000247279289,-0.0004772100359,3.494042283e-05,1,1,1,1,0,0,1,0,0,0,0,1,1
btc-updown-15m-1789689600,btc,15m,2026-09-18 00:00:00+00:00,2026-09-18 00:15:00+00:00,1,76389.76028,76396.12077,0.832602202,False,74926.63958,,crypto_fees_v2,0.07,1,60,twap,31,0.505,16,0.505,46,0.425,1789689624,0.295,1789689674,0.425,1789689854,0.135,1789690155,0.3512950111,0.2216404552,0.3382353585,0.1986101343,76417.01,76417.01,76472.35,76435.90868,76420.0569,76463.16484,76446.095,76414.6,76462.4025,76420.04867,76417.01,76419.75499,76453.48567,76435.90868,76443.82633,76457.419,76465.36617,76463.16484,76470.47267,76464.54317,76419.3595,0.0008855062292,0.0005219992861,0.0002778336268,0.0003028215073,-5.094087103e-05,-0.0005362550882,-0.000249651464,-0.000247279289,-0.0004772100359,3.494042283e-05,1,1,1,1,1,1,1,1,1,1,1,1,1
eth-updown-5m-1789689600,eth,5m,2026-09-18 00:00:00+00:00,2026-09-18 00:05:00+00:00,0,2446.803276,2445.453698,-5.5171966,False,2423.174447,,crypto_fees_v2,0.07,1,60,twap,21,0.5,18,0.5,48,0.385,1789689618,0.165,1789689673,0.03,1789689853,,,0.3106972953,0.08954724933,0.001,,2447.28,2447.28,2447.49,2448.627544,2447.509357,2447.534532,2448.19,2447.32,2447.7175,2447.234,2447.28,2447.226233,2448.743167,2448.627544,2448.381,2448.865,2447.550333,2447.534532,2447.54,2447.581167,2447.517167,0.0009763451563,0.0006412573765,8.98329516e-05,0.0005881440142,-2.177668338e-06,-0.0006535734359,-0.0001593478997,-0.0005504778869,-0.0005976959914,4.854709392e-05,1,1,1,1,0,0,1,0,0,0,0,0,0
eth-updown-15m-1789689600,eth,15m,2026-09-18 00:00:00+00:00,2026-09-18 00:15:00+00:00,0,2446.803276,2442.015285,-19.5875234,False,2285.285043,,crypto_fees_v2,0.07,1,60,twap,31,0.495,16,0.495,46,0.435,1789689624,0.325,1789689674,0.395,1789689854,0.055,1789690155,0.3896350238,0.256126313,0.334205905,0.08015928577,2447.28,2447.28,2444,2448.627544,2447.509357,2443.681461,2448.19,2447.32,2443.8675,2445.636667,2447.28,2445.748311,2448.743167,2448.627544,2448.381,2448.865,2443.867833,2443.681461,2443.966333,2443.875667,2447.517167,0.0009763451563,0.0006412573765,8.98329516e-05,0.0005881440142,-2.177668338e-06,-0.0006535734359,-0.0001593478997,-0.0005504778869,-0.0005976959914,4.854709392e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
sol-updown-5m-1789689600,sol,5m,2026-09-18 00:00:00+00:00,2026-09-18 00:05:00+00:00,0,101.6067502,101.5856151,-2.080305909,False,1107.674985,,crypto_fees_v2,0.07,1,60,twap,21,0.5,15,0.5,45,0.335,1789689626,0.175,1789689674,0.34,1789689854,,,0.2277691813,0.1710873725,0.4054892039,,101.63,101.64,101.67,101.6705963,101.6326349,101.6806211,101.67,101.63,101.675,101.65,101.63,101.6540333,101.6941667,101.6705963,101.679,101.6995,101.6783333,101.6806211,101.6706667,101.6795,101.6361667,0.00127883545,0.001771131035,0.0003933136727,0.001475724603,0.0001048685212,-0.0004918113511,0.0008858704256,-0.0003009812469,-0.0005327847143,6.391459125e-05,1,1,1,1,1,1,1,0,1,0,0,1,1
sol-updown-15m-1789689600,sol,15m,2026-09-18 00:00:00+00:00,2026-09-18 00:15:00+00:00,0,101.6067502,101.3632554,-23.99319213,False,1034.326908,,crypto_fees_v2,0.07,1,60,twap,31,0.48,16,0.48,46,0.395,1789689624,0.325,1789689674,0.47,1789689854,0.19,1789690155,0.4070787672,0.3220137276,0.4896121357,0.2566803323,101.63,101.64,101.48,101.6705963,101.6326349,101.4813545,101.67,101.63,101.4675,101.576,101.63,101.5808556,101.6941667,101.6705963,101.679,101.6995,101.459,101.4813545,101.4753333,101.457,101.6361667,0.00127883545,0.001771131035,0.0003933136727,0.001475724603,0.0001048685212,-0.0004918113511,0.0008858704256,-0.0003009812469,-0.0005327847143,6.391459125e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
btc-updown-5m-1789689900,btc,5m,2026-09-18 00:05:00+00:00,2026-09-18 00:10:00+00:00,0,76363.95557,76361.07483,-0.3772451676,False,42048.68424,,crypto_fees_v2,0.07,1,60,twap,21,0.505,18,0.505,48,0.505,1789689912,0.165,1789689973,0.005,1789690153,,,0.4137129666,0.1103158719,0.02792039026,,76426.05,76426.05,76440.01,76428.19839,76412.37567,76425.31496,76433.03,76408.5175,76417.005,76407.578,76426.05,76407.4919,76426.812,76428.19839,76426.05667,76427.74183,76427.06033,76425.31496,76438.042,76423.99333,76407.222,-0.0004707159265,-0.0003399473997,-0.000434181682,-0.0003916744762,-1.972257198e-05,0.0001182912722,-0.0003916745274,-2.811028429e-05,-9.970372684e-06,3.267159331e-05,1,1,1,1,0,0,1,1,0,1,0,0,0
eth-updown-5m-1789689900,eth,5m,2026-09-18 00:05:00+00:00,2026-09-18 00:10:00+00:00,0,2445.453698,2443.960837,-6.106504734,False,3633.195045,,crypto_fees_v2,0.07,1,60,twap,21,0.495,17,0.495,47,0.475,1789689913,0.075,1789689973,0.005,1789690153,,,0.3734229966,0.01652077124,0.001,,2447.48,2447.49,2446.48,2447.534532,2446.431308,2445.830702,2447.7175,2446.1925,2445.655,2445.466,2447.49,2445.528033,2447.550333,2447.534532,2447.54,2447.581167,2446.044167,2445.830702,2446.412333,2445.934,2445.961167,-0.0004696705246,-0.0005554126328,-0.0006167431665,-0.0005269102148,1.198464984e-05,8.58058704e-05,-0.0005350990367,-1.819498067e-05,-2.465080131e-05,4.432612183e-05,0,0,0,0,0,0,1,0,0,0,0,0,0
sol-updown-5m-1789689900,sol,5m,2026-09-18 00:05:00+00:00,2026-09-18 00:10:00+00:00,0,101.5856151,101.5341454,-5.067916426,False,1068.916953,,crypto_fees_v2,0.07,1,60,twap,21,0.505,16,0.505,46,0.39,1789689914,0.085,1789689974,0.005,1789690155,,,0.3057578127,0.01551979064,0.001,,101.66,101.67,101.62,101.6806211,101.5770586,101.6287017,101.675,101.595,101.605,101.582,101.66,101.5901667,101.6783333,101.6806211,101.6706667,101.6795,101.6291667,101.6287017,101.6396667,101.6258333,101.5815,-0.0003933136727,0.0006886713834,-0.0002949707509,0.0007870143053,3.933600819e-05,0.0002951158351,0.0005903187893,-0.0001044610085,-8.196116684e-05,5.968514248e-05,0,0,1,1,0,0,1,0,0,0,0,0,0
btc-updown-5m-1789690200,btc,5m,2026-09-18 00:10:00+00:00,2026-09-18 00:15:00+00:00,1,76361.07483,76396.12077,4.58845081,False,55661.91594,,crypto_fees_v2,0.07,1,60,twap,21,0.505,17,0.505,47,0.735,1789690212,0.625,1789690272,0.985,1789690452,,,0.6887372081,0.6182181717,0.999,,76440.01,76440.01,76472.35,76425.31496,76441.23125,76463.16484,76417.005,76441.1025,76462.4025,76433.232,76440.01,76433.56697,76427.06033,76425.31496,76438.042,76423.99333,76465.36617,76463.16484,76470.47267,76464.54317,76441.61517,-0.0006020911365,-0.0001873008339,7.117737588e-05,-8.517067928e-05,0.0002017870812,0.0001826435513,-0.0002353202646,0.0001922612971,0.0001694238879,3.533704988e-05,1,1,1,1,1,1,1,1,1,1,1,0,0
